Teste,Bucket,Num. Solves,Total Time,Final Cost
1,0,2.0,0.003126299,1.0
2,0,2.0,0.003577917,2.0
3,0,2.0,0.015407571,3.4142099999999997
4,0,2.0,0.016245382,3.4142099999999997
5,0,2.0,0.003939175,3.0
6,0,3.0,0.029340474,3.8284199999999995
7,0,2.0,0.005763061,1.41421
8,0,2.0,0.00351978,2.0
9,0,2.0,0.003899979,3.0
10,0,2.0,0.015766199,3.4142099999999997
11,5,6.0,0.60200876,23.970520000000004
12,5,5.0,0.531836483,21.970520000000004
13,5,5.0,0.677439405,22.142100000000003
14,5,2.0,0.247272587,23.313680000000005
15,5,3.0,0.093710854,23.656840000000003
16,5,5.0,0.14673831,21.07105
17,5,2.0,0.157947876,20.656840000000003
18,5,7.0,0.628618545,23.071050000000003
19,5,6.0,0.508665325,23.071050000000003
20,5,5.0,0.236385079,20.89947
21,10,8.0,1.036080168,41.55630999999998
22,10,9.0,1.345216662,42.38472999999998
23,10,11.0,1.859391495,42.213149999999985
24,10,8.0,2.396377166,42.183669999999985
25,10,9.0,1.631580862,40.556309999999996
26,10,10.0,2.431830611,43.79893999999999
27,10,9.0,1.630318875,40.213149999999985
28,10,12.0,2.436128626,40.28419999999999
29,10,9.0,3.369175016,42.59787999999999
30,10,12.0,2.956752262,40.45577999999999
31,15,12.0,6.014937396,60.56839999999995
32,15,16.0,6.240569051,60.08313999999996
33,15,16.0,8.264230352,60.73997999999996
34,15,12.0,6.82153746,60.568399999999954
35,15,16.0,7.639909279,61.15418999999996
36,15,15.0,7.628578263,61.32576999999996
37,15,16.0,8.137573765,61.15418999999996
38,15,14.0,6.610131847,60.91155999999995
39,15,16.0,8.237198839,61.32576999999996
40,15,17.0,8.725225136,62.15418999999996
