Teste,Bucket,Num. Solves,Total Time,Final Cost
1,0,2.0,0.003747829,1.0
2,0,4.0,0.007420562,2.0
3,0,4.0,0.009727468,3.4142099999999997
4,0,2.0,0.005351615,3.4142099999999997
5,0,4.0,0.009444461,3.0
6,0,4.0,0.009791317,3.8284199999999995
7,0,2.0,0.0037516,1.41421
8,0,4.0,0.00738079,2.0
9,0,4.0,0.008753519,3.0
10,0,4.0,0.010000398,3.4142099999999997
11,5,6.0,0.172749259,23.970520000000004
12,5,8.0,0.191385056,21.970520000000004
13,5,10.0,0.249853972,22.142100000000003
14,5,11.0,0.38294151,23.31368
15,5,5.0,0.094321322,23.65684
16,5,7.0,0.108307893,21.07105
17,5,4.0,0.11004651,20.65684
18,5,11.0,0.327252372,23.07105
19,5,6.0,0.202563924,23.071050000000003
20,5,10.0,0.203335162,20.89947
21,10,23.0,1.218709624,41.556309999999996
22,10,18.0,1.101534528,42.38472999999999
23,10,31.0,1.719707818,43.041569999999986
24,10,13.0,0.803501427,42.18366999999999
25,10,19.0,1.227553994,40.556309999999996
26,10,21.0,1.540269541,43.79893999999999
27,10,17.0,1.028096775,40.213149999999985
28,10,23.0,1.307675224,40.28419999999999
29,10,14.0,0.972377361,42.59787999999999
30,10,27.0,1.652987413,40.45578
31,15,18.0,1.922395631,60.568399999999954
32,15,33.0,3.052371488,60.08313999999995
33,15,92.0,13.417324564,80.49734999999995
34,15,23.0,2.201325656,60.568399999999954
35,15,17.0,1.743540402,61.15418999999996
36,15,22.0,2.895448622,62.15418999999996
37,15,27.0,2.510955146,61.15418999999996
38,15,52.0,5.640589593,61.49734999999995
39,15,25.0,2.430779047,61.32576999999996
40,15,37.0,4.413062537,62.98260999999995
