Teste,Bucket,Num. Solves,Total Time,Final Cost
1,0,2.0,0.003210343,1.0
2,0,2.0,0.003592569,2.0
3,0,3.0,0.006123174,3.4142099999999997
4,0,2.0,0.004227349,3.4142099999999997
5,0,2.0,0.004284475,3.0
6,0,3.0,0.005540353,3.8284199999999995
7,0,2.0,0.003245353,1.41421
8,0,2.0,0.003610424,2.0
9,0,2.0,0.003987135,3.0
10,0,3.0,0.006119481,3.4142099999999997
11,5,11.0,0.126053375,23.970520000000004
12,5,2.0,0.031601245,21.970520000000004
13,5,4.0,0.078938816,22.142100000000003
14,5,3.0,0.051826947,23.31368
15,5,4.0,0.045489117,23.656840000000003
16,5,4.0,0.043094276,21.071050000000003
17,5,2.0,0.032445239,20.656840000000003
18,5,4.0,0.073134054,23.071050000000003
19,5,6.0,0.107510417,23.071050000000003
20,5,7.0,0.074069343,20.89947
21,10,10.0,0.258150931,41.55630999999999
22,10,5.0,0.159586226,42.384729999999976
23,10,6.0,0.196033138,42.21314999999999
24,10,10.0,0.26141568,42.183669999999985
25,10,7.0,0.314881474,40.556309999999996
26,10,14.0,0.680215726,43.79893999999999
27,10,9.0,0.294917421,40.213149999999985
28,10,8.0,0.2793758,40.28419999999999
29,10,3.0,0.109190927,42.59787999999999
30,10,15.0,0.476184247,40.45577999999999
31,15,6.0,0.331315378,60.568399999999954
32,15,13.0,0.863653231,60.08313999999996
33,15,10.0,0.461353747,60.73997999999996
34,15,15.0,0.658188393,61.15418999999995
35,15,19.0,1.396283353,61.73997999999996
36,15,22.0,0.881447842,61.325769999999956
37,15,7.0,0.448889928,61.15418999999996
38,15,15.0,0.901036125,60.911559999999945
39,15,18.0,0.83075078,61.911559999999966
40,15,16.0,0.852271859,62.73997999999996
