Teste,Bucket,Num. Solves,Total Time,Final Cost
1,0,2.0,0.001481146,1.41421
2,0,2.0,0.00169589,1.41421
3,0,2.0,0.002241369,2.0
4,0,1.0,1.2246e-05,0.0
5,0,2.0,0.001618665,1.41421
6,0,3.0,0.005172304,3.4142099999999997
7,0,2.0,0.001779895,1.0
8,0,2.0,0.002606914,2.82842
9,0,2.0,0.003094532,3.0
10,0,3.0,0.004928602,3.8284199999999995
11,5,5.0,0.050195766,20.970520000000004
12,5,2.0,0.023597528,20.071050000000003
13,5,8.0,0.096571777,22.727890000000002
14,5,11.0,0.158017,24.31368
15,5,2.0,0.028882839,23.071050000000003
16,5,4.0,0.051101623,21.142100000000006
17,5,5.0,0.056311925,21.142100000000003
18,5,2.0,0.025197834,20.485260000000004
19,5,11.0,0.150157308,22.31368
20,5,4.0,0.055183061,22.727890000000002
21,10,33.0,1.377440918,41.79894
22,10,9.0,0.338921851,41.38473
23,10,17.0,0.529266675,42.071049999999985
24,10,9.0,0.380493973,40.384730000000005
25,10,19.0,0.716889609,40.65683999999999
26,10,9.0,0.337042306,40.31367999999999
27,10,10.0,0.372520495,41.31367999999999
28,10,12.0,0.413128238,41.071049999999985
29,10,8.0,0.205317934,41.24262999999999
30,10,26.0,1.047646887,44.21315
31,15,76.0,7.463638693,65.31367999999999
32,15,52.0,4.352844989,67.69840999999997
33,15,105.0,10.197050747,62.72788999999998
34,15,17.0,1.385489697,62.313679999999984
35,15,8.0,0.436553245,61.071049999999985
36,15,6.0,0.295113052,60.65683999999999
37,15,46.0,4.161531708,62.89946999999999
38,15,18.0,1.291013034,60.727889999999974
39,15,10.0,0.678061621,62.48525999999998
40,15,Não consegui convergir...,,
