Teste,Bucket,Num. Solves,Total Time,Final Cost
1,0,2.0,0.001931655,1.0
2,0,2.0,0.002237009,2.0
3,0,2.0,0.003002101,3.4142099999999997
4,0,2.0,0.002577203,3.4142099999999997
5,0,2.0,0.002534097,3.0
6,0,2.0,0.002765389,3.8284199999999995
7,0,2.0,0.001855875,1.41421
8,0,2.0,0.002165788,2.0
9,0,2.0,0.002514854,3.0
10,0,2.0,0.002902759,3.4142099999999997
11,5,2.0,0.05278878,23.970520000000004
12,5,3.0,0.077871869,21.970520000000004
13,5,2.0,0.07313443,22.142100000000003
14,5,2.0,0.07153724,23.313680000000005
15,5,2.0,0.027344717,23.65684
16,5,2.0,0.027758738,21.07105
17,5,2.0,0.050219065,20.65684
18,5,3.0,0.094279988,22.485260000000004
19,5,2.0,0.058929849,23.07105
20,5,2.0,0.035737323,20.89947
21,10,2.0,0.119369679,41.55630999999998
22,10,2.0,0.143348375,42.384729999999976
23,10,3.0,0.23344804,45.04156999999997
24,10,4.0,0.318976431,42.183669999999985
25,10,7.0,0.681065795,40.55630999999999
26,10,6.0,0.690059414,46.62735999999998
27,10,2.0,0.143418987,40.213149999999985
28,10,2.0,0.151827876,40.28419999999999
29,10,3.0,0.26487241,42.59787999999999
30,10,3.0,0.304045954,43.284199999999984
31,15,2.0,0.346817867,60.56839999999995
32,15,3.0,0.613289684,62.08313999999994
33,15,4.0,0.788808993,60.73997999999995
34,15,5.0,0.861772127,59.98260999999995
35,15,7.0,1.356372516,60.568399999999954
36,15,6.0,1.133750953,63.325769999999956
37,15,4.0,0.766259855,63.15418999999996
38,15,3.0,0.596585584,60.91155999999995
39,15,10.0,1.697586035,61.32576999999996
40,15,8.0,1.20457269,62.15418999999996
