Teste,Bucket,Num. Solves,Total Time,Final Cost
1,0,2.0,0.002067043,1.41421
2,0,2.0,0.002206354,1.41421
3,0,2.0,0.002831872,2.0
4,0,1.0,8.326e-06,0.0
5,0,2.0,0.00229108,1.41421
6,0,2.0,0.003635289,3.4142099999999997
7,0,2.0,0.002158091,1.0
8,0,2.0,0.002870172,2.82842
9,0,2.0,0.003524286,3.0
10,0,2.0,0.003628528,3.8284199999999995
11,5,2.0,0.03234132,20.970520000000004
12,5,2.0,0.033461818,20.071050000000003
13,5,8.0,0.207758097,22.727890000000002
14,5,5.0,0.149584937,23.727890000000002
15,5,2.0,0.043665259,23.071050000000003
16,5,3.0,0.052803274,21.142100000000006
17,5,4.0,0.066694463,21.142100000000003
18,5,2.0,0.036218243,20.485260000000004
19,5,9.0,0.215370056,22.31368
20,5,4.0,0.078217094,22.727890000000002
21,10,9.0,0.699193334,39.21315
22,10,9.0,1.116060824,40.21315
23,10,2.0,0.056344352,41.24262999999999
24,10,8.0,1.066643762,39.213150000000006
25,10,11.0,0.920294701,40.07104999999999
26,10,5.0,0.346842604,40.31367999999999
27,10,4.0,0.293916459,41.313679999999984
28,10,9.0,0.525284788,41.07104999999999
29,10,3.0,0.098790124,41.24262999999999
30,10,9.0,0.89645046,41.97052
31,15,11.0,2.379229855,63.071049999999985
32,15,13.0,2.434069816,59.89946999999998
33,15,11.0,2.156026787,63.31367999999998
34,15,10.0,1.666146563,59.727889999999974
35,15,2.0,0.131131912,61.071049999999985
36,15,2.0,0.107357102,60.65683999999999
37,15,12.0,2.395313522,61.48525999999998
38,15,13.0,2.447001204,60.14209999999997
39,15,4.0,0.337251204,64.14209999999997
40,15,16.0,3.285254197,59.48525999999999
