Teste,Bucket,Num. Solves,Total Time,Final Cost
1,0,2.0,0.001357034,1.41421
2,0,2.0,0.001377146,1.41421
3,0,2.0,0.00195493,2.0
4,0,1.0,1.2402e-05,0.0
5,0,2.0,0.001379571,1.41421
6,0,2.0,0.002373239,3.4142099999999997
7,0,2.0,0.00137123,1.0
8,0,2.0,0.001949763,2.82842
9,0,2.0,0.002355084,3.0
10,0,2.0,0.002332532,3.8284199999999995
11,5,2.0,0.008432015,20.970520000000004
12,5,2.0,0.009876655,20.071050000000003
13,5,48.0,0.607854444,22.727890000000002
14,5,44.0,0.548276702,23.727890000000002
15,5,2.0,0.010867778,23.071050000000003
16,5,77.0,0.487144561,21.727890000000006
17,5,63.0,0.408224288,21.142100000000003
18,5,2.0,0.010109197,20.485260000000004
19,5,64.0,0.742806449,22.31368
20,5,61.0,0.521284225,22.727890000000002
21,10,129.0,3.003861687,40.97052
22,10,108.0,3.193908241,41.38473
23,10,2.0,0.019561193,41.24262999999999
24,10,125.0,3.006973701,40.384730000000005
25,10,243.0,2.615465468,40.556309999999996
26,10,220.0,2.348106448,40.31367999999999
27,10,239.0,2.587868071,41.31367999999999
28,10,132.0,1.624079789,41.071049999999985
29,10,4.0,0.041988687,41.24262999999999
30,10,163.0,3.191011046,42.55631
31,15,334.0,7.42853408,63.65683999999999
32,15,317.0,6.27577149,60.48525999999998
33,15,318.0,6.430745206,61.89946999999998
34,15,321.0,6.008506189,60.65683999999999
35,15,165.0,2.818691185,61.071049999999985
36,15,209.0,4.119380284,60.65683999999999
37,15,349.0,7.329071174,62.07104999999999
38,15,356.0,6.376493379,60.72788999999998
39,15,268.0,4.757252453,62.48525999999998
40,15,358.0,7.136659165,60.07104999999999
