Teste,Bucket,Num. Solves,Total Time,Final Cost
1,0,2.0,0.001473126,1.41421
2,0,2.0,0.001487857,1.41421
3,0,2.0,0.002025244,2.0
4,0,1.0,1.248e-05,0.0
5,0,2.0,0.001621839,1.41421
6,0,2.0,0.002960392,3.4142099999999997
7,0,2.0,0.001452028,1.0
8,0,2.0,0.002210201,2.82842
9,0,2.0,0.00264212,3.0
10,0,3.0,0.004754077,3.8284199999999995
11,5,31.0,0.318546852,20.970520000000004
12,5,24.0,0.217557805,20.071050000000003
13,5,26.0,0.360654549,22.727890000000002
14,5,29.0,0.668888818,23.727890000000002
15,5,32.0,0.344104089,23.071050000000003
16,5,37.0,0.32824332,21.727890000000006
17,5,31.0,0.31604391,21.142100000000003
18,5,36.0,0.318963244,20.485260000000004
19,5,35.0,0.548336879,22.31368
20,5,34.0,0.433906043,22.727890000000002
21,10,72.0,2.61100742,40.97052
22,10,50.0,2.526591234,41.38473
23,10,59.0,1.077512225,41.24262999999999
24,10,68.0,2.011049248,40.384730000000005
25,10,107.0,1.897431888,40.556309999999996
26,10,98.0,1.383315599,40.31367999999999
27,10,105.0,1.521257434,41.31367999999999
28,10,59.0,1.068354107,41.071049999999985
29,10,59.0,1.121684682,41.24262999999999
30,10,86.0,2.612043815,42.55631
31,15,120.0,4.492154279,63.65683999999999
32,15,102.0,3.371840181,60.48525999999998
33,15,101.0,3.358310841,61.89946999999998
34,15,115.0,3.143282111,60.65683999999999
35,15,82.0,2.265834572,61.071049999999985
36,15,71.0,2.004740768,60.65683999999999
37,15,110.0,4.033098017,62.07104999999999
38,15,100.0,2.992811872,60.72788999999998
39,15,92.0,2.414258151,62.48525999999998
40,15,103.0,3.573442975,60.07104999999999
