Teste,Bucket,Num. Solves,Total Time,Final Cost
1,0,2.0,0.001652452,1.41421
2,0,2.0,0.002198599,1.41421
3,0,4.0,0.007524742,2.0
4,0,1.0,1.2134e-05,0.0
5,0,2.0,0.002238345,1.41421
6,0,4.0,0.010180554,3.4142099999999997
7,0,2.0,0.002241419,1.0
8,0,2.0,0.003607099,2.82842
9,0,4.0,0.011561874,3.0
10,0,4.0,0.010850987,3.8284199999999995
11,5,9.0,0.134968701,20.970520000000004
12,5,6.0,0.131087376,20.071050000000003
13,5,8.0,0.1691287,22.727890000000002
14,5,9.0,0.197492386,23.727890000000002
15,5,6.0,0.177830007,23.071050000000003
16,5,4.0,0.093038092,21.142100000000006
17,5,7.0,0.115266394,21.142100000000003
18,5,9.0,0.184375125,20.485260000000004
19,5,8.0,0.170991395,22.31368
20,5,7.0,0.148639713,22.727890000000002
21,10,21.0,1.035141763,42.86999
22,10,7.0,1.02323173,40.79894
23,10,7.0,0.497875627,41.24262999999999
24,10,10.0,0.712171256,39.79894
25,10,17.0,1.031123382,41.48526
26,10,17.0,1.129949846,40.31367999999999
27,10,17.0,1.289257755,41.89946999999999
28,10,7.0,0.486894091,41.071049999999985
29,10,5.0,0.262180884,41.24262999999999
30,10,32.0,1.814263584,43.627359999999996
31,15,Não consegui convergir...,,
32,15,Não consegui convergir...,,
33,15,Não consegui convergir...,,
34,15,21.0,2.722068982,60.65683999999999
35,15,10.0,1.072890118,61.071049999999985
36,15,17.0,1.855667427,60.65683999999999
37,15,Não consegui convergir...,,
38,15,30.0,3.304113658,60.72788999999998
39,15,12.0,1.579669449,62.48525999999998
40,15,Não consegui convergir...,,
