Teste,Bucket,Num. Solves,Total Time,Final Cost
1,0,2.0,0.003286796,1.0
2,0,2.0,0.003657606,2.0
3,0,2.0,0.052356263,3.4142099999999997
4,0,2.0,0.016235402,3.4142099999999997
5,0,2.0,0.00400252,3.0
6,0,3.0,0.069347399,3.8284199999999995
7,0,2.0,0.00588635,1.41421
8,0,2.0,0.003588988,2.0
9,0,2.0,0.003963784,3.0
10,0,2.0,0.051076031,3.4142099999999997
11,5,3.0,0.670261243,23.970520000000004
12,5,3.0,0.726116035,21.970520000000004
13,5,3.0,0.854484151,22.142100000000003
14,5,5.0,1.770194161,23.313680000000005
15,5,3.0,0.096855116,23.656840000000003
16,5,3.0,0.122804988,21.07105
17,5,2.0,0.765687944,20.656840000000003
18,5,3.0,0.623377873,23.071050000000003
19,5,4.0,0.653834762,23.071050000000003
20,5,3.0,0.251083503,20.89947
21,10,4.0,0.964415364,41.55630999999998
22,10,5.0,1.290680205,42.38472999999998
23,10,6.0,1.772222277,42.213149999999985
24,10,6.0,3.89538648,42.183669999999985
25,10,4.0,1.93326403,40.556309999999996
26,10,5.0,2.850317888,43.79893999999999
27,10,5.0,1.922598102,40.213149999999985
28,10,5.0,2.998256189,40.28419999999999
29,10,6.0,4.472093824,42.59787999999999
30,10,5.0,2.671745903,40.45577999999999
31,15,8.0,9.043744461,60.56839999999995
32,15,6.0,7.453214248,60.08313999999996
33,15,7.0,10.541215502,60.73997999999996
34,15,6.0,8.133484532,60.568399999999954
35,15,6.0,8.153377359,61.15418999999996
36,15,11.0,11.948384361,61.32576999999996
37,15,8.0,9.943590233,61.15418999999996
38,15,7.0,8.114181525,60.91155999999995
39,15,7.0,8.856635169,61.32576999999996
40,15,8.0,10.639149772,62.15418999999996
