Teste,Bucket,Num. Solves,Total Time,Final Cost
1,0,2.0,0.001808099,1.41421
2,0,2.0,0.059475704,1.41421
3,0,2.0,0.002184503,2.0
4,0,1.0,1.1911e-05,0.0
5,0,2.0,0.00713737,1.41421
6,0,2.0,0.011174216,3.4142099999999997
7,0,2.0,0.001506363,1.0
8,0,2.0,0.116606643,2.82842
9,0,2.0,0.002676709,3.0
10,0,3.0,0.121727703,3.8284199999999995
11,5,4.0,1.291261818,20.970520000000004
12,5,5.0,0.964867473,20.071050000000003
13,5,4.0,2.881441026,22.727890000000002
14,5,6.0,2.37718556,23.727890000000002
15,5,4.0,1.158898386,23.071050000000003
16,5,4.0,1.172150683,21.727890000000006
17,5,3.0,1.561837461,21.142100000000003
18,5,2.0,0.414699923,20.485260000000004
19,5,4.0,2.428417775,22.31368
20,5,3.0,1.714391054,22.727890000000002
21,10,4.0,2.787188499,40.97052
22,10,4.0,5.470270403,41.38473
23,10,4.0,0.792921693,41.24262999999999
24,10,5.0,4.411788414,40.384730000000005
25,10,6.0,1.836020974,40.556309999999996
26,10,5.0,1.62479158,40.31367999999999
27,10,4.0,1.604734877,41.31367999999999
28,10,4.0,0.761698292,41.071049999999985
29,10,4.0,0.695594657,41.24262999999999
30,10,4.0,3.7789967,42.55631
31,15,7.0,11.700729791,63.65683999999999
32,15,6.0,9.907141262,60.48525999999998
33,15,6.0,11.202790454,61.89946999999998
34,15,5.0,2.916994633,60.65683999999999
35,15,5.0,2.397512431,61.071049999999985
36,15,3.0,1.521955741,60.65683999999999
37,15,5.0,10.364426445,62.07104999999999
38,15,5.0,3.793607024,60.72788999999998
39,15,4.0,2.291521811,62.48525999999998
40,15,6.0,9.573307674,60.07104999999999
