Teste,Bucket,Num. Solves,Total Time,Final Cost
1,0,2.0,0.003254267,1.0
2,0,2.0,0.003717615,2.0
3,0,3.0,0.006041025,3.4142099999999997
4,0,2.0,0.004290469,3.4142099999999997
5,0,2.0,0.004210027,3.0
6,0,3.0,0.00550926,3.8284199999999995
7,0,2.0,0.00318173,1.41421
8,0,2.0,0.003575472,2.0
9,0,2.0,0.004036586,3.0
10,0,3.0,0.00600736,3.4142099999999997
11,5,11.0,0.127426745,23.970520000000004
12,5,2.0,0.031169767,21.970520000000004
13,5,4.0,0.078293897,22.142100000000003
14,5,3.0,0.052135128,23.31368
15,5,4.0,0.044018757,23.656840000000003
16,5,4.0,0.042692611,21.071050000000003
17,5,2.0,0.031935928,20.656840000000003
18,5,4.0,0.072994384,23.071050000000003
19,5,6.0,0.105996791,23.071050000000003
20,5,7.0,0.074727265,20.89947
21,10,10.0,0.25649467,41.55630999999999
22,10,5.0,0.159547552,42.384729999999976
23,10,6.0,0.193434992,42.21314999999999
24,10,10.0,0.257892033,42.183669999999985
25,10,7.0,0.316588981,40.556309999999996
26,10,14.0,0.684187205,43.79893999999999
27,10,9.0,0.294946112,40.213149999999985
28,10,8.0,0.281953136,40.28419999999999
29,10,3.0,0.109861742,42.59787999999999
30,10,15.0,0.47463966,40.45577999999999
31,15,10.0,0.564102424,61.98260999999995
32,15,12.0,0.786921817,60.08313999999996
33,15,10.0,0.463831751,60.73997999999996
34,15,12.0,0.463030586,61.15418999999995
35,15,19.0,1.373543953,61.73997999999996
36,15,28.0,1.986217181,61.32576999999996
37,15,7.0,0.406248783,61.15418999999996
38,15,15.0,0.896874252,60.911559999999945
39,15,11.0,0.747150437,61.911559999999966
40,15,8.0,0.451423809,62.15418999999996
