Teste,Bucket,Num. Solves,Total Time,Final Cost
1,0,2.0,0.001521663,1.41421
2,0,2.0,0.00157845,1.41421
3,0,2.0,0.00219352,2.0
4,0,1.0,1.2355e-05,0.0
5,0,2.0,0.001590034,1.41421
6,0,3.0,0.005353755,3.4142099999999997
7,0,2.0,0.001586936,1.0
8,0,2.0,0.002381958,2.82842
9,0,2.0,0.003120455,3.0
10,0,3.0,0.005068568,3.8284199999999995
11,5,5.0,0.050405309,20.970520000000004
12,5,2.0,0.023086463,20.071050000000003
13,5,8.0,0.098790538,22.727890000000002
14,5,11.0,0.155730603,24.31368
15,5,2.0,0.0288003,23.071050000000003
16,5,4.0,0.050537423,21.142100000000006
17,5,5.0,0.056834876,21.142100000000003
18,5,2.0,0.0246878,20.485260000000004
19,5,11.0,0.14642019,22.31368
20,5,4.0,0.056641861,22.727890000000002
21,10,23.0,0.799896036,41.55631
22,10,11.0,0.594469352,40.79894
23,10,18.0,0.483964876,41.24262999999999
24,10,20.0,0.58393953,39.79894
25,10,18.0,0.611668613,40.556309999999996
26,10,17.0,0.528372152,40.313680000000005
27,10,43.0,1.284660492,41.31368
28,10,15.0,0.470449982,41.899469999999994
29,10,12.0,0.36122649,41.24262999999999
30,10,Não consegui convergir...,,
31,15,Não consegui convergir...,,
32,15,69.0,3.238929664,62.142099999999985
33,15,47.0,2.377528404,62.14209999999997
34,15,69.0,3.170919871,63.14209999999998
35,15,17.0,0.785241997,61.89946999999998
36,15,14.0,0.567653385,60.65683999999999
37,15,37.0,2.226633279,64.55630999999998
38,15,30.0,1.532459599,61.556309999999975
39,15,11.0,0.553896584,62.48525999999998
40,15,30.0,1.745081635,60.899469999999994
