Teste,Bucket,Num. Solves,Total Time,Final Cost
1,0,2.0,0.002116474,1.41421
2,0,2.0,0.002140219,1.41421
3,0,2.0,0.002825699,2.0
4,0,1.0,6.783e-06,0.0
5,0,2.0,0.002155036,1.41421
6,0,2.0,0.003668208,3.4142099999999997
7,0,2.0,0.002169686,1.0
8,0,2.0,0.002961774,2.82842
9,0,2.0,0.003510083,3.0
10,0,2.0,0.003747886,3.8284199999999995
11,5,2.0,0.032507929,20.970520000000004
12,5,2.0,0.033421766,20.071050000000003
13,5,8.0,0.208318949,22.727890000000002
14,5,5.0,0.148480075,23.727890000000002
15,5,2.0,0.043920466,23.071050000000003
16,5,3.0,0.053993526,21.142100000000006
17,5,4.0,0.066401389,21.142100000000003
18,5,2.0,0.036077624,20.485260000000004
19,5,9.0,0.214352801,22.31368
20,5,4.0,0.079713828,22.727890000000002
21,10,9.0,0.698140153,39.21315
22,10,9.0,1.11139898,40.21315
23,10,2.0,0.056256617,41.24262999999999
24,10,8.0,1.065757742,39.213150000000006
25,10,11.0,0.900171177,40.07104999999999
26,10,5.0,0.351748203,40.31367999999999
27,10,4.0,0.289188953,41.313679999999984
28,10,9.0,0.532144062,41.07104999999999
29,10,3.0,0.098646874,41.24262999999999
30,10,9.0,0.898149393,41.97052
31,15,8.0,1.77429015,63.071049999999985
32,15,12.0,2.180043727,59.89946999999998
33,15,11.0,2.153725837,61.31367999999998
34,15,10.0,1.693512942,59.727889999999974
35,15,2.0,0.131094414,61.071049999999985
36,15,2.0,0.107452851,60.65683999999999
37,15,10.0,2.158022068,61.48525999999998
38,15,11.0,2.030446099,60.14209999999997
39,15,4.0,0.343592969,64.14209999999997
40,15,15.0,3.150048557,59.48525999999999
