Teste,Bucket,Num. Solves,Total Time,Final Cost
1,0,2.0,0.001675452,1.41421
2,0,2.0,0.002151411,1.41421
3,0,4.0,0.007522036,2.0
4,0,1.0,2.0371e-05,0.0
5,0,2.0,0.002365405,1.41421
6,0,4.0,0.010427445,3.4142099999999997
7,0,2.0,0.002274988,1.0
8,0,2.0,0.00368548,2.82842
9,0,4.0,0.011553662,3.0
10,0,4.0,0.010517919,3.8284199999999995
11,1,4.0,0.014714518,5.0
12,1,5.0,0.0231547,5.8284199999999995
13,1,4.0,0.013191324,4.8284199999999995
14,1,4.0,0.014858008,6.242629999999999
15,1,4.0,0.014784037,6.656839999999999
16,1,4.0,0.014472391,6.41421
17,1,4.0,0.01217836,4.41421
18,1,4.0,0.017111272,4.8284199999999995
19,1,5.0,0.038622216,7.8284199999999995
20,1,4.0,0.022586474,7.41421
21,2,5.0,0.037013033,9.41421
22,2,6.0,0.050770303,9.24263
23,2,4.0,0.038370854,11.65684
24,2,4.0,0.031977322,10.07105
25,2,4.0,0.023595482,8.41421
26,2,7.0,0.056833915,11.0
27,2,5.0,0.040399106,9.41421
28,2,4.0,0.027105491,8.41421
29,2,6.0,0.067446755,12.24263
30,2,2.0,0.017743771,10.24263
31,3,6.0,0.058815265,12.41421
32,3,6.0,0.061848519,12.65684
33,3,4.0,0.042793522,15.41421
34,3,6.0,0.048402806,12.071050000000001
35,3,8.0,0.07542113,12.24263
36,3,7.0,0.073437119,14.89947
37,3,4.0,0.052730481,12.48526
38,3,5.0,0.054496127,12.65684
39,3,4.0,0.040087056,13.828420000000001
40,3,8.0,0.076793676,13.65684
41,4,6.0,0.099554544,17.656840000000003
42,4,8.0,0.114335891,17.071050000000003
43,4,7.0,0.137894567,19.485260000000004
44,4,6.0,0.092848731,18.31368
45,4,5.0,0.078721281,17.242630000000002
46,4,4.0,0.059850497,17.31368
47,4,2.0,0.036406496,17.727890000000002
48,4,6.0,0.093316576,17.899470000000004
49,4,8.0,0.149458714,17.89947
50,4,2.0,0.038981628,18.313680000000005
51,5,9.0,0.13750796,20.970520000000004
52,5,6.0,0.129797598,20.071050000000003
53,5,8.0,0.167771237,22.727890000000002
54,5,9.0,0.201010591,23.727890000000002
55,5,6.0,0.180672716,23.071050000000003
56,5,4.0,0.092857441,21.142100000000006
57,5,7.0,0.115809523,21.142100000000003
58,5,9.0,0.181917377,20.485260000000004
59,5,8.0,0.168148964,22.31368
60,5,7.0,0.144166539,22.727890000000002
61,6,5.0,0.135117502,25.142100000000006
62,6,10.0,0.223735957,24.970520000000004
63,6,10.0,0.253504743,24.31368
64,6,7.0,0.24260638,26.071050000000003
65,6,4.0,0.077471501,24.41421
66,6,8.0,0.237754645,27.556310000000007
67,6,7.0,0.17048216,24.727890000000002
68,6,7.0,0.298538572,27.899470000000004
69,6,9.0,0.361560636,27.485260000000004
70,6,2.0,0.076089131,25.142100000000006
71,7,9.0,0.278171059,28.556310000000007
72,7,6.0,0.218307444,28.556310000000007
73,7,14.0,0.471016475,29.727890000000002
74,7,10.0,0.407694185,30.556310000000003
75,7,7.0,0.30112696,29.071050000000003
76,7,10.0,0.379653862,31.142100000000003
77,7,9.0,0.358618307,30.727890000000002
78,7,10.0,0.542081539,31.970520000000004
79,7,4.0,0.186118812,31.142100000000006
80,7,6.0,0.251889265,30.556310000000007
81,8,2.0,0.089267333,34.213150000000006
82,8,5.0,0.22535911,34.79894
83,8,2.0,0.083596221,34.72789
84,8,2.0,0.084062806,33.72789
85,8,6.0,0.227383462,34.313680000000005
86,8,18.0,0.790133028,32.97052000000001
87,8,8.0,0.418248642,32.65684
88,8,5.0,0.262697758,34.213150000000006
89,8,6.0,0.28730231,32.384730000000005
90,8,6.0,0.229159118,33.72789
91,9,5.0,0.260594591,35.62736
92,9,10.0,0.50629048,36.21315
93,9,7.0,0.383853695,36.384730000000005
94,9,5.0,0.257608843,36.72789
95,9,6.0,0.358698231,38.556309999999996
96,9,8.0,0.474298426,39.97051999999999
97,9,5.0,0.304224226,37.79894
98,9,11.0,0.794255355,37.556309999999996
99,9,7.0,0.339624153,37.142100000000006
100,9,7.0,0.37440738,39.97052
101,10,17.0,0.971670261,42.04157000000001
102,10,9.0,0.76668593,40.79894
103,10,7.0,0.562441051,41.24262999999999
104,10,7.0,0.934648637,39.79894
105,10,21.0,1.425531593,41.48526
106,10,14.0,1.158889589,40.31367999999999
107,10,11.0,0.878760176,41.89946999999999
108,10,6.0,0.409926358,41.071049999999985
109,10,6.0,0.343112004,41.24262999999999
110,10,23.0,1.375069089,43.1421
111,11,12.0,0.941380012,44.45578
112,11,12.0,0.957662325,44.869989999999994
113,11,9.0,0.771683892,45.48525999999999
114,11,8.0,0.340086514,44.828419999999994
115,11,6.0,0.462846464,44.07104999999999
116,11,8.0,0.570755215,45.656839999999995
117,11,7.0,0.450471071,45.24263
118,11,9.0,0.930766725,43.62736
119,11,9.0,0.996626323,45.455780000000004
120,11,8.0,0.701466638,46.899469999999994
121,12,10.0,0.726463799,52.65683999999999
122,12,8.0,0.666368169,48.24263
123,12,7.0,0.520799571,49.656839999999995
124,12,6.0,0.530491361,50.656839999999995
125,12,10.0,0.887283171,50.65684
126,12,7.0,0.668930237,49.48526
127,12,10.0,1.029526328,51.899469999999994
128,12,21.0,2.868931211,49.11261999999999
129,12,12.0,1.08747756,48.97051999999999
130,12,9.0,0.828614248,49.1421
131,13,Não consegui convergir...,,
132,13,11.0,1.161812282,54.24262999999999
133,13,7.0,0.617751365,54.071049999999985
134,13,Não consegui convergir...,,
135,13,6.0,0.683457241,54.89946999999999
136,13,7.0,0.565368669,55.656839999999995
137,13,13.0,1.494803077,52.65684
138,13,7.0,0.677114379,52.48526
139,13,13.0,1.296737764,55.899469999999994
140,13,11.0,1.24235421,54.72788999999999
141,14,20.0,2.871154498,59.41421
142,14,7.0,0.627629524,56.24262999999999
143,14,7.0,0.776215057,57.65683999999999
144,14,6.0,0.461396197,57.828419999999994
145,14,Não consegui convergir...,,
146,14,Não consegui convergir...,,
147,14,6.0,0.453173821,56.24262999999999
148,14,9.0,0.931359601,59.071049999999985
149,14,9.0,1.208029239,59.65683999999999
150,14,8.0,1.11967829,56.89946999999999
151,15,Não consegui convergir...,,
152,15,Não consegui convergir...,,
153,15,Não consegui convergir...,,
154,15,10.0,1.563232741,60.65683999999999
155,15,8.0,0.794676158,61.071049999999985
156,15,9.0,1.224159614,60.65683999999999
157,15,Não consegui convergir...,,
158,15,Não consegui convergir...,,
159,15,9.0,1.113486376,62.48525999999998
160,15,Não consegui convergir...,,
161,16,18.0,3.689201948,73.28419999999997
162,16,36.0,5.80538297,72.94103999999997
163,16,Não consegui convergir...,,
164,16,Não consegui convergir...,,
165,16,13.0,2.543913042,67.65683999999999
166,16,22.0,3.71270116,75.94103999999997
167,16,Não consegui convergir...,,
168,16,Não consegui convergir...,,
169,16,10.0,2.039172968,72.86998999999997
170,16,17.0,2.885044434,73.52682999999998
171,17,16.0,2.942243328,76.11261999999996
172,17,16.0,2.865227504,79.04156999999996
173,17,15.0,3.129053173,71.65683999999999
174,17,13.0,2.933448351,81.52682999999996
175,17,11.0,2.548827072,68.48525999999998
176,17,33.0,4.132416765,69.31367999999998
177,17,21.0,3.731642335,70.97051999999996
178,17,13.0,2.830809382,80.45577999999998
179,17,Não consegui convergir...,,
180,17,Não consegui convergir...,,
181,18,12.0,3.080502545,85.84050999999997
182,18,9.0,2.169589361,79.69840999999998
183,18,Não consegui convergir...,,
184,18,Não consegui convergir...,,
185,18,Não consegui convergir...,,
186,18,10.0,2.641163899,83.35524999999997
187,18,Não consegui convergir...,,
188,18,Não consegui convergir...,,
189,18,13.0,2.862782101,84.84050999999997
190,18,Não consegui convergir...,,
191,19,37.0,10.25966417,81.18366999999995
192,19,Não consegui convergir...,,
193,19,55.0,10.303045639,84.84050999999997
194,19,175.0,22.417072718,77.1421
195,19,17.0,4.421890286,88.49734999999995
196,19,Não consegui convergir...,,
197,19,24.0,5.016106591,77.45577999999998
198,19,Não consegui convergir...,,
199,19,Não consegui convergir...,,
200,19,21.0,5.352841479,88.91155999999997
201,20,24.0,5.385706021,91.66892999999996
202,20,13.0,3.507001673,90.25471999999996
203,20,Não consegui convergir...,,
204,20,Não consegui convergir...,,
205,20,22.0,5.384474535,89.84050999999997
206,20,20.0,5.362494978,90.66892999999995
207,20,42.0,8.492605436,86.84050999999995
208,20,9.0,2.288726224,90.01208999999997
209,20,16.0,3.782048228,89.76945999999998
210,20,11.0,2.860258363,89.01208999999997
211,21,Não consegui convergir...,,
212,21,18.0,4.76781294,92.01208999999994
213,21,24.0,5.848889616,95.32576999999993
214,21,25.0,6.497304263,84.28419999999996
215,21,11.0,3.381500305,92.25471999999995
216,21,Não consegui convergir...,,
217,21,Não consegui convergir...,,
218,21,17.0,3.841389146,85.42629999999996
219,21,36.0,7.251421455,84.59787999999995
220,21,31.0,6.583760448,84.76945999999995
