Teste,Bucket,Num. Solves,Total Time,Final Cost
1,0,2.0,0.001779434,1.41421
2,0,2.0,0.058928994,1.41421
3,0,2.0,0.002131955,2.0
4,0,1.0,1.1742e-05,0.0
5,0,2.0,0.007123802,1.41421
6,0,2.0,0.011192517,3.4142099999999997
7,0,2.0,0.001541845,1.0
8,0,2.0,0.117486774,2.82842
9,0,2.0,0.002764546,3.0
10,0,3.0,0.118749124,3.8284199999999995
11,1,2.0,0.003968905,5.0
12,1,3.0,0.030013888,5.8284199999999995
13,1,3.0,0.009983388,4.8284199999999995
14,1,3.0,0.016740634,6.242629999999999
15,1,3.0,0.032948996,6.65684
16,1,2.0,0.006295235,6.41421
17,1,2.0,0.007583003,4.41421
18,1,3.0,0.015231447,4.8284199999999995
19,1,3.0,0.764631784,7.8284199999999995
20,1,2.0,0.017953206,7.41421
21,2,2.0,0.05667603,9.41421
22,2,3.0,0.075094854,9.24263
23,2,3.0,0.121805336,11.65684
24,2,2.0,0.985595072,10.07105
25,2,2.0,0.063887726,8.41421
26,2,2.0,0.007299289,11.0
27,2,2.0,0.444051459,9.41421
28,2,2.0,0.063176278,8.41421
29,2,3.0,0.122131821,11.41421
30,2,3.0,0.185981173,10.24263
31,3,2.0,0.064843545,12.41421
32,3,3.0,0.410148579,12.65684
33,3,3.0,0.461647286,15.41421
34,3,3.0,0.306623857,12.071050000000001
35,3,3.0,0.048892552,12.242630000000002
36,3,3.0,0.423129319,14.899470000000003
37,3,3.0,1.112657439,12.485260000000002
38,3,3.0,0.153208817,12.65684
39,3,3.0,0.467314137,13.828420000000001
40,3,4.0,0.461773018,13.65684
41,4,3.0,0.588553156,17.656840000000003
42,4,4.0,0.805869316,17.071050000000003
43,4,4.0,0.9421729,19.485260000000004
44,4,4.0,0.764840918,18.31368
45,4,3.0,0.807374333,17.242630000000002
46,4,4.0,0.871603142,17.31368
47,4,4.0,0.858159363,17.727890000000002
48,4,4.0,2.007023302,17.899470000000004
49,4,3.0,0.786273393,17.899470000000004
50,4,4.0,0.815919442,18.313680000000005
51,5,4.0,1.278269315,20.970520000000004
52,5,5.0,0.96377735,20.071050000000003
53,5,4.0,2.87351695,22.727890000000002
54,5,6.0,2.368878011,23.727890000000002
55,5,4.0,1.154998542,23.071050000000003
