Teste,Bucket,Num. Solves,Total Time,Final Cost
1,0,2.0,0.001459527,1.41421
2,0,2.0,0.001645421,1.41421
3,0,2.0,0.00220548,2.0
4,0,1.0,1.2636e-05,0.0
5,0,2.0,0.00168871,1.41421
6,0,3.0,0.005257705,3.4142099999999997
7,0,2.0,0.001592412,1.0
8,0,2.0,0.002385907,2.82842
9,0,2.0,0.003134897,3.0
10,0,3.0,0.005071058,3.8284199999999995
11,1,2.0,0.004113599,5.0
12,1,2.0,0.004932367,5.8284199999999995
13,1,2.0,0.003687165,4.8284199999999995
14,1,2.0,0.004988402,6.242629999999999
15,1,4.0,0.011033252,6.656839999999999
16,1,2.0,0.005059576,6.41421
17,1,2.0,0.004006572,4.41421
18,1,2.0,0.004262959,4.8284199999999995
19,1,2.0,0.007422408,7.8284199999999995
20,1,2.0,0.007137699,7.41421
21,2,2.0,0.008577667,9.41421
22,2,2.0,0.00876032,9.24263
23,2,2.0,0.010744765,11.65684
24,2,2.0,0.007765192,10.07105
25,2,2.0,0.00731312,8.41421
26,2,2.0,0.00867849,11.0
27,2,2.0,0.008763307,9.41421
28,2,2.0,0.008003832,8.41421
29,2,3.0,0.017094577,11.41421
30,2,2.0,0.009787795,10.24263
31,3,2.0,0.010649529,12.41421
32,3,7.0,0.043023678,12.656839999999999
33,3,2.0,0.013790271,15.41421
34,3,6.0,0.033366346,12.07105
35,3,2.0,0.010755781,12.242630000000002
36,3,5.0,0.033280966,14.89947
37,3,4.0,0.025420056,12.48526
38,3,2.0,0.013093458,12.656840000000003
39,3,3.0,0.020046454,13.828420000000001
40,3,3.0,0.022010759,13.65684
41,4,3.0,0.029159139,17.656840000000003
42,4,3.0,0.028429427,17.071050000000003
43,4,2.0,0.023046324,19.485260000000004
44,4,7.0,0.069072897,18.31368
45,4,4.0,0.042232223,17.242630000000002
46,4,5.0,0.048038077,17.31368
47,4,5.0,0.045992147,17.727890000000002
48,4,4.0,0.043809163,17.899470000000004
49,4,4.0,0.052348583,17.899470000000004
50,4,4.0,0.043080949,18.313680000000005
51,5,5.0,0.049637882,20.970520000000004
52,5,2.0,0.023494856,20.071050000000003
53,5,8.0,0.096840274,22.727890000000002
54,5,11.0,0.152926662,24.31368
55,5,2.0,0.029355591,23.071050000000003
56,5,4.0,0.050911758,21.142100000000006
57,5,5.0,0.056643064,21.142100000000003
58,5,2.0,0.025482109,20.485260000000004
59,5,11.0,0.14627632,22.31368
60,5,4.0,0.054458253,22.727890000000002
61,6,7.0,0.11093554,25.142100000000006
62,6,6.0,0.078200864,24.970520000000004
63,6,6.0,0.083583009,24.31368
64,6,5.0,0.090861143,26.071050000000003
65,6,4.0,0.053343428,24.41421
66,6,6.0,0.094843661,27.556310000000007
67,6,4.0,0.064586169,24.727890000000002
68,6,6.0,0.130033734,27.899470000000004
69,6,5.0,0.104325008,27.485260000000004
70,6,4.0,0.071766106,25.142100000000006
71,7,5.0,0.081282669,28.556310000000007
72,7,9.0,0.171201295,29.142100000000006
73,7,Não consegui convergir...,,
74,7,12.0,0.232376878,29.727890000000002
75,7,5.0,0.106547272,29.071050000000003
76,7,10.0,0.202800578,31.142100000000003
77,7,15.0,0.323165346,30.727890000000002
78,7,12.0,0.274844265,31.970520000000004
79,7,18.0,0.547847045,31.142100000000006
80,7,6.0,0.154536968,31.142100000000006
81,8,7.0,0.185602559,35.86999
82,8,20.0,0.624302879,35.384730000000005
83,8,6.0,0.134831513,34.72789
84,8,6.0,0.132410047,33.72789
85,8,12.0,0.312685273,34.89947000000001
86,8,7.0,0.163692661,32.97052
87,8,5.0,0.11891684,32.65684
88,8,21.0,0.655650386,34.213150000000006
89,8,21.0,0.637290104,32.384730000000005
90,8,8.0,0.191476012,34.313680000000005
91,9,7.0,0.204549415,35.62736
92,9,17.0,0.563810617,36.213150000000006
93,9,9.0,0.259242998,36.384730000000005
94,9,9.0,0.25996369,36.72789
95,9,14.0,0.499017134,37.97051999999999
96,9,13.0,0.406440174,39.38472999999999
97,9,10.0,0.383283535,37.79894
98,9,10.0,0.252685118,37.556309999999996
99,9,9.0,0.264634786,37.1421
100,9,32.0,1.149282143,40.556309999999996
101,10,33.0,1.387921706,41.79894
102,10,9.0,0.340837429,41.38473
103,10,17.0,0.532137418,42.071049999999985
104,10,9.0,0.374199058,40.384730000000005
105,10,19.0,0.715604522,40.65683999999999
106,10,9.0,0.334426104,40.31367999999999
107,10,10.0,0.370195144,41.31367999999999
108,10,12.0,0.409166257,41.071049999999985
109,10,8.0,0.20012143,41.24262999999999
110,10,26.0,1.056583099,44.21315
111,11,18.0,0.771197999,44.45577999999999
112,11,25.0,1.031510899,45.45577999999999
113,11,6.0,0.175992757,44.65683999999999
114,11,6.0,0.14376256,44.828419999999994
115,11,8.0,0.235868257,44.07104999999999
116,11,8.0,0.206324916,44.82842
117,11,6.0,0.182952245,45.24263
118,11,19.0,1.048396106,45.38473
119,11,8.0,0.496460531,46.62735999999999
120,11,15.0,0.614235986,47.72788999999999
121,12,5.0,0.139872563,51.828419999999994
122,12,7.0,0.24038534,48.24263
123,12,6.0,0.245169861,49.656839999999995
124,12,9.0,0.327950469,50.656839999999995
125,12,9.0,0.421347214,50.65684
126,12,6.0,0.243307354,49.48526
127,12,9.0,0.460596372,51.89947
128,12,39.0,2.007185906,50.2842
129,12,22.0,1.088030533,50.627359999999996
130,12,14.0,0.546924025,49.1421
131,13,21.0,1.389497528,55.07104999999999
132,13,10.0,0.386753608,55.07104999999999
133,13,19.0,0.776505072,54.071049999999985
134,13,22.0,1.52989354,57.970519999999986
135,13,6.0,0.365241301,54.89946999999999
136,13,6.0,0.278495954,55.656839999999995
137,13,37.0,2.512099981,55.14209999999999
138,13,17.0,0.766716864,52.48526
139,13,16.0,0.925591434,55.899469999999994
140,13,Não consegui convergir...,,
141,14,68.0,6.736765645,61.899469999999994
142,14,7.0,0.283804063,56.24262999999999
143,14,6.0,0.283960914,57.65683999999999
144,14,5.0,0.173431482,57.828419999999994
145,14,119.0,8.766332598,58.48526
146,14,20.0,1.400672827,59.38472999999999
147,14,5.0,0.19451938,56.24262999999999
148,14,5.0,0.195252095,59.071049999999985
149,14,5.0,0.182754247,59.65683999999999
150,14,19.0,1.375249613,58.55630999999998
151,15,290.0,32.87429451,66.14209999999999
152,15,75.0,6.72826528,62.384729999999976
153,15,155.0,15.555472129,64.14209999999999
154,15,15.0,1.209581584,60.65683999999999
155,15,8.0,0.461886111,62.72788999999999
156,15,6.0,0.297747975,60.65683999999999
157,15,316.0,32.832369293,65.38472999999998
158,15,137.0,11.803275098,62.384729999999976
159,15,10.0,0.671919093,62.48525999999998
160,15,20.0,1.605813157,60.899469999999994
161,16,682.0,83.73137753,67.48525999999998
162,16,Não consegui convergir...,,
163,16,28.0,3.13057649,69.79893999999996
164,16,51.0,5.975525685,67.38472999999998
165,16,104.0,10.300222823,69.55631
166,16,23.0,1.817899431,67.89947
167,16,56.0,5.681684219,68.86998999999999
168,16,19.0,1.619889673,66.21314999999997
169,16,Não consegui convergir...,,
170,16,969.0,100.221350076,67.97052
171,17,Não consegui convergir...,,
172,17,Não consegui convergir...,,
173,17,Não consegui convergir...,,
174,17,20.0,2.056996343,74.79893999999999
175,17,100.0,12.73335101,69.31367999999998
176,17,63.0,7.21191281,70.97051999999998
177,17,115.0,13.414166546,70.38472999999996
178,17,Não consegui convergir...,,
179,17,104.0,11.739528326,72.11261999999995
180,17,Não consegui convergir...,,
181,18,108.0,11.410966256,76.72788999999999
182,18,87.0,8.434737421,72.24262999999999
183,18,Não consegui convergir...,,
184,18,261.0,30.686835579,75.04156999999996
185,18,14.0,1.3594609,74.14209999999999
186,18,121.0,11.891749004,78.97052
187,18,11.0,0.897765353,73.97051999999998
188,18,253.0,20.522076332,79.28419999999997
189,18,Não consegui convergir...,,
190,18,Não consegui convergir...,,
191,19,41.0,4.55128934,80.35524999999994
192,19,258.0,30.135464425,78.69840999999997
193,19,60.0,5.293112686,76.21314999999998
194,19,62.0,5.873005587,80.45577999999999
195,19,57.0,6.604825689,81.52682999999998
196,19,31.0,3.247886937,79.86998999999997
197,19,16.0,1.377428651,78.52682999999996
198,19,67.0,9.329792424,82.59787999999996
199,19,107.0,11.193702855,77.52682999999996
200,19,Não consegui convergir...,,
201,20,192.0,18.659831602,82.79893999999999
202,20,94.0,9.666925027,84.45577999999998
203,20,206.0,23.727135738,83.69840999999997
204,20,22.0,2.464664979,85.11261999999996
205,20,74.0,7.817032864,86.04156999999998
206,20,32.0,3.970478895,80.97052
207,20,42.0,3.789084597,83.52682999999996
208,20,Não consegui convergir...,,
209,20,248.0,25.721932047,84.79893999999999
210,20,Não consegui convergir...,,
211,21,151.0,18.63115448,85.86998999999997
212,21,47.0,6.027314398,87.28419999999997
213,21,39.0,4.322566203,87.52682999999996
214,21,22.0,2.745797655,87.35524999999994
215,21,53.0,4.503131639,86.94103999999996
216,21,29.0,3.208453977,87.76945999999995
217,21,29.0,2.644723501,87.21314999999998
218,21,Não consegui convergir...,,
219,21,103.0,15.155498596,84.59787999999996
220,21,Não consegui convergir...,,
