Teste,Bucket,Num. Solves,Total Time,Final Cost
1,0,2.0,0.002948064,1.0
2,0,2.0,0.003308688,2.0
3,0,2.0,0.003751186,3.4142099999999997
4,0,3.0,0.004896167,3.4142099999999997
5,0,2.0,0.003546832,3.0
6,0,2.0,0.003606171,3.8284199999999995
7,0,2.0,0.00295938,1.41421
8,0,2.0,0.003286064,2.0
9,0,2.0,0.003509886,3.0
10,0,2.0,0.003753651,3.4142099999999997
11,1,2.0,0.005008393,6.0
12,1,2.0,0.00491395,7.0
13,1,2.0,0.005124567,7.242629999999999
14,1,2.0,0.004512224,6.656839999999999
15,1,2.0,0.004748998,6.242629999999999
16,1,2.0,0.005616771,7.41421
17,1,2.0,0.004377631,5.0
18,1,2.0,0.005117706,6.8284199999999995
19,1,2.0,0.004174195,4.0
20,1,2.0,0.004214588,4.8284199999999995
21,2,2.0,0.005926854,9.41421
22,2,2.0,0.007653531,11.828420000000001
23,2,2.0,0.007047392,12.41421
24,2,2.0,0.006513462,11.65684
25,2,2.0,0.005052558,8.07105
26,2,2.0,0.005178196,8.48526
27,2,27.0,0.076064684,11.48526
28,2,2.0,0.00719562,10.41421
29,2,20.0,0.051873153,10.07105
30,2,2.0,0.005917377,8.41421
31,3,2.0,0.006931565,13.727890000000002
32,3,2.0,0.007989144,12.41421
33,3,2.0,0.006203295,12.727890000000002
34,3,2.0,0.006859104,13.727890000000002
35,3,2.0,0.008104527,12.41421
36,3,2.0,0.008393338,13.0
37,3,2.0,0.008444177,16.242630000000002
38,3,2.0,0.006650554,14.142100000000003
39,3,2.0,0.008235667,12.828420000000001
40,3,23.0,0.071276856,12.242630000000002
41,4,2.0,0.010236695,17.41421
42,4,2.0,0.009419025,16.242630000000002
43,4,2.0,0.008322525,17.142100000000003
44,4,2.0,0.009852849,16.41421
45,4,2.0,0.009711326,20.485260000000004
46,4,2.0,0.00973169,19.41421
47,4,2.0,0.009295591,17.485260000000004
48,4,2.0,0.008256755,16.31368
49,4,79.0,0.334692429,19.313680000000005
50,4,2.0,0.009033648,19.970520000000004
51,5,2.0,0.01144692,25.142100000000006
52,5,111.0,0.605983319,21.970520000000004
53,5,114.0,0.691776599,22.142100000000003
54,5,2.0,0.011268364,23.313680000000005
55,5,2.0,0.011665793,24.82842
56,5,2.0,0.010740547,22.242630000000002
57,5,2.0,0.01108351,20.656840000000003
58,5,128.0,0.783159009,23.071050000000003
59,5,2.0,0.012193034,23.071050000000003
60,5,2.0,0.010319194,22.071050000000003
