Teste,Bucket,Num. Solves,Total Time,Final Cost
1,0,2.0,0.001452489,1.41421
2,0,2.0,0.001495181,1.41421
3,0,2.0,0.002034384,2.0
4,0,1.0,1.1877e-05,0.0
5,0,2.0,0.001546716,1.41421
6,0,2.0,0.002950305,3.4142099999999997
7,0,2.0,0.001462302,1.0
8,0,2.0,0.002197727,2.82842
9,0,2.0,0.002699718,3.0
10,0,3.0,0.004667542,3.8284199999999995
11,1,2.0,0.003756888,5.0
12,1,7.0,0.01847086,5.8284199999999995
13,1,5.0,0.009541918,4.8284199999999995
14,1,7.0,0.018550472,6.242629999999999
15,1,7.0,0.019657155,6.65684
16,1,2.0,0.004532106,6.41421
17,1,2.0,0.003520597,4.41421
18,1,6.0,0.012744664,4.8284199999999995
19,1,12.0,0.042516726,7.8284199999999995
20,1,2.0,0.00525255,7.41421
21,2,2.0,0.006300394,9.41421
22,2,14.0,0.054928242,9.24263
23,2,22.0,0.099934687,11.65684
24,2,13.0,0.046824102,10.07105
25,2,2.0,0.005821194,8.41421
26,2,2.0,0.00706544,11.0
27,2,2.0,0.006269736,9.41421
28,2,2.0,0.005668684,8.41421
29,2,3.0,0.011151799,11.41421
30,2,16.0,0.073592346,10.24263
31,3,2.0,0.008008412,12.41421
32,3,20.0,0.132789662,12.65684
33,3,16.0,0.103855189,15.41421
34,3,23.0,0.128340667,12.071050000000001
35,3,13.0,0.055662602,12.242630000000002
36,3,24.0,0.161648167,14.899470000000003
37,3,24.0,0.106515501,12.485260000000002
38,3,26.0,0.126265512,12.65684
39,3,18.0,0.113488445,13.828420000000001
40,3,19.0,0.150064188,13.65684
41,4,23.0,0.186045708,17.656840000000003
42,4,25.0,0.187993016,17.071050000000003
43,4,33.0,0.264610737,19.485260000000004
44,4,34.0,0.246911071,18.31368
45,4,26.0,0.278004484,17.242630000000002
46,4,27.0,0.191124972,17.31368
47,4,28.0,0.194102728,17.727890000000002
48,4,27.0,0.229215962,17.899470000000004
49,4,39.0,0.285122873,17.899470000000004
50,4,25.0,0.212505751,18.313680000000005
51,5,31.0,0.316080167,20.970520000000004
52,5,24.0,0.21329659,20.071050000000003
53,5,26.0,0.367388978,22.727890000000002
54,5,29.0,0.634666443,23.727890000000002
55,5,32.0,0.343236246,23.071050000000003
56,5,37.0,0.325128721,21.727890000000006
57,5,31.0,0.312633965,21.142100000000003
58,5,36.0,0.298920351,20.485260000000004
59,5,35.0,0.541881757,22.31368
60,5,34.0,0.432405002,22.727890000000002
61,6,46.0,0.571956931,25.727890000000006
62,6,32.0,0.461554547,24.970520000000004
63,6,30.0,0.526972289,24.31368
64,6,41.0,0.489960635,26.071050000000003
65,6,2.0,0.015546365,24.41421
66,6,45.0,0.530371389,27.556310000000007
67,6,30.0,0.464647161,24.727890000000002
68,6,62.0,0.708981238,27.899470000000004
69,6,45.0,0.522393933,27.485260000000004
70,6,52.0,0.52136325,25.142100000000006
71,7,40.0,0.53178615,28.556310000000007
72,7,39.0,0.734579374,29.142100000000006
73,7,45.0,1.11834199,29.727890000000002
74,7,37.0,0.634014514,29.727890000000002
75,7,50.0,0.628836378,29.071050000000003
76,7,46.0,0.829281316,31.142100000000003
