Teste,Bucket,Num. Solves,Total Time,Final Cost
1,0,2.0,0.00356797,1.0
2,0,4.0,0.007296481,2.0
3,0,4.0,0.009936879,3.4142099999999997
4,0,2.0,0.005336222,3.4142099999999997
5,0,4.0,0.009249414,3.0
6,0,4.0,0.009438226,3.8284199999999995
7,0,2.0,0.003560597,1.41421
8,0,4.0,0.007446763,2.0
9,0,4.0,0.008678161,3.0
10,0,4.0,0.009969124,3.4142099999999997
11,1,6.0,0.030194547,6.0
12,1,6.0,0.026167226,7.0
13,1,4.0,0.021189116,7.242629999999999
14,1,4.0,0.016241271,6.656839999999999
15,1,4.0,0.017052926,6.242629999999999
16,1,4.0,0.021841646,7.41421
17,1,4.0,0.011892465,5.0
18,1,5.0,0.028910868,6.8284199999999995
19,1,4.0,0.012065322,4.0
20,1,2.0,0.007288031,4.8284199999999995
21,2,4.0,0.018750705,8.24263
22,2,6.0,0.074602846,11.82842
23,2,5.0,0.036445591,11.828420000000001
24,2,7.0,0.055023311,11.65684
25,2,6.0,0.03099402,8.07105
26,2,2.0,0.012114089,8.48526
27,2,6.0,0.043249032,11.48526
28,2,5.0,0.04223063,10.41421
29,2,4.0,0.02553566,10.07105
30,2,4.0,0.025512248,8.41421
31,3,4.0,0.040581059,13.727890000000002
32,3,6.0,0.063510455,12.41421
33,3,9.0,0.085306848,12.727890000000002
34,3,8.0,0.087647861,13.727890000000002
35,3,6.0,0.061142215,12.41421
36,3,8.0,0.096192195,13.0
37,3,5.0,0.052703432,15.071050000000001
38,3,8.0,0.085968963,14.142100000000003
39,3,6.0,0.079858093,12.82842
40,3,6.0,0.059651141,12.24263
41,4,4.0,0.061853954,17.41421
42,4,6.0,0.100733171,16.242630000000002
43,4,12.0,0.189128899,17.142100000000003
44,4,4.0,0.056860793,16.41421
45,4,11.0,0.169897058,19.31368
46,4,5.0,0.064168846,18.82842
47,4,9.0,0.142841964,16.89947
48,4,7.0,0.120144331,16.31368
49,4,8.0,0.148285077,19.31368
50,4,12.0,0.252927565,19.970520000000004
51,5,10.0,0.271148696,23.970520000000004
52,5,13.0,0.29992808,21.970520000000004
53,5,8.0,0.22339003,22.142100000000003
54,5,11.0,0.300744398,23.31368
55,5,5.0,0.088202285,23.65684
56,5,6.0,0.096977424,21.07105
57,5,6.0,0.149580867,20.65684
58,5,16.0,0.454329399,23.07105
59,5,16.0,0.437264888,23.07105
60,5,14.0,0.27897335,20.89947
61,6,15.0,0.476976706,25.970520000000004
62,6,5.0,0.095020348,24.65684
63,6,10.0,0.296354155,24.727890000000002
64,6,13.0,0.396728733,27.86999000000001
65,6,17.0,0.474472379,24.970520000000004
66,6,12.0,0.357508978,24.24263
67,6,14.0,0.524918895,26.89947
68,6,7.0,0.147634709,26.65684
69,6,16.0,0.374042043,24.213150000000006
70,6,2.0,0.047741956,26.242630000000002
71,7,16.0,0.52641227,30.28420000000001
72,7,17.0,0.599480168,30.041570000000007
73,7,11.0,0.396413324,29.07105
74,7,14.0,0.465185507,32.31368
75,7,16.0,0.549424523,28.556310000000003
76,7,17.0,0.672037106,29.89947
77,7,7.0,0.173113558,30.65684
78,7,12.0,0.42605349,28.727890000000002
79,7,6.0,0.190205252,28.82842
80,7,16.0,0.629458947,30.48526
81,8,12.0,0.574238963,35.94104
82,8,19.0,0.807731485,32.213150000000006
83,8,12.0,0.5485933,33.48526
84,8,11.0,0.490643449,34.48526
85,8,12.0,0.431251297,34.727889999999995
86,8,18.0,0.786818835,33.04157000000001
87,8,14.0,0.579038624,32.72789
88,8,15.0,0.744161255,33.313680000000005
89,8,5.0,0.153518376,32.65684
90,8,11.0,0.436410988,32.86999000000001
91,9,21.0,0.946654516,38.79893999999999
92,9,25.0,1.16329214,40.11262
93,9,10.0,0.52467532,37.76946
94,9,14.0,0.760992841,40.18366999999999
95,9,30.0,1.295132461,36.21315
96,9,8.0,0.340616418,38.24262999999999
97,9,15.0,0.749013725,39.48526
98,9,12.0,0.604997625,39.65683999999999
99,9,8.0,0.316625606,39.41421
100,9,16.0,0.68373643,36.14209999999999
101,10,29.0,1.4351866,42.38473
102,10,31.0,1.691806174,42.38472999999999
103,10,28.0,1.38457984,42.21314999999999
104,10,19.0,1.016226451,42.18366999999999
105,10,22.0,1.178325405,40.556309999999996
106,10,28.0,1.600569059,44.62736
107,10,26.0,1.311497924,40.213149999999985
108,10,30.0,1.308756763,40.2842
109,10,19.0,1.088858377,42.59787999999999
110,10,30.0,1.684178104,40.45578
111,11,22.0,1.329708994,44.59787999999999
112,11,18.0,1.031088116,44.07105
113,11,21.0,1.242544713,44.899469999999994
114,11,11.0,0.474760255,44.828419999999994
115,11,23.0,1.325563031,47.07105
116,11,Não consegui convergir...,,
117,11,18.0,1.233362756,46.012089999999986
118,11,28.0,1.547679108,46.42629999999998
119,11,20.0,1.278780716,46.84050999999998
120,11,27.0,1.581454302,45.313680000000005
121,12,27.0,1.498280378,48.42629999999998
122,12,23.0,1.350560903,49.668929999999975
123,12,18.0,1.344797793,50.08313999999997
124,12,22.0,1.413515916,48.25471999999998
125,12,20.0,1.370375963,51.49734999999997
126,12,26.0,1.719339692,49.1421
127,12,24.0,1.608323061,49.668929999999975
128,12,Não consegui convergir...,,
129,12,30.0,1.998614822,48.627359999999996
130,12,26.0,1.876870166,49.62735999999999
131,13,31.0,2.294785146,52.42629999999998
132,13,34.0,2.597902325,54.42629999999998
133,13,29.0,1.990679949,52.911559999999966
134,13,29.0,2.171219238,55.49734999999997
135,13,40.0,2.743241993,53.112619999999986
136,13,31.0,2.403499287,54.84050999999997
137,13,46.0,3.169594016,53.76945999999999
138,13,36.0,2.688657876,54.941039999999994
139,13,33.0,2.426203623,52.18366999999998
140,13,35.0,2.648427562,52.45577999999999
141,14,34.0,2.492291644,56.25471999999996
142,14,37.0,3.083657405,58.183669999999964
143,14,32.0,2.93501248,58.25471999999996
144,14,39.0,2.836690557,56.91155999999996
145,14,28.0,2.255045298,56.49734999999996
146,14,41.0,3.004519948,56.35524999999999
147,14,41.0,2.963717496,56.35524999999999
148,14,25.0,2.121732694,58.325769999999956
149,14,25.0,1.982893739,56.911559999999966
150,14,31.0,2.466591933,58.32576999999996
151,15,27.0,2.138892557,60.568399999999954
152,15,31.0,2.565010184,60.08313999999996
153,15,110.0,11.541455989,71.18366999999996
154,15,24.0,2.317060068,60.568399999999954
155,15,28.0,2.486658154,60.568399999999954
156,15,47.0,4.226681174,62.73997999999997
157,15,29.0,2.506311491,61.15418999999996
158,15,37.0,2.910653027,60.91155999999995
159,15,33.0,2.844225113,61.32576999999996
160,15,51.0,5.217246878,62.73997999999996
