Teste,Bucket,Num. Solves,Total Time,Final Cost
1,0,2.0,0.001714571,1.41421
2,0,2.0,0.002125647,1.41421
3,0,4.0,0.007686764,2.0
4,0,1.0,1.2037e-05,0.0
5,0,2.0,0.002275693,1.41421
6,0,4.0,0.010111863,3.4142099999999997
7,0,2.0,0.00222877,1.0
8,0,2.0,0.003636928,2.82842
9,0,4.0,0.011212367,3.0
10,0,4.0,0.010630389,3.8284199999999995
11,1,4.0,0.015013318,5.0
12,1,5.0,0.022683157,5.8284199999999995
13,1,4.0,0.013560999,4.8284199999999995
14,1,4.0,0.015128492,6.242629999999999
15,1,4.0,0.014716684,6.656839999999999
16,1,4.0,0.013962078,6.41421
17,1,4.0,0.011676846,4.41421
18,1,4.0,0.01731976,4.8284199999999995
19,1,5.0,0.038218317,7.8284199999999995
20,1,4.0,0.022175208,7.41421
21,2,5.0,0.036851236,9.41421
22,2,6.0,0.048648242,9.24263
23,2,4.0,0.037265132,11.65684
24,2,4.0,0.032034003,10.07105
25,2,4.0,0.023913091,8.41421
26,2,7.0,0.057737757,11.0
27,2,5.0,0.039151688,9.41421
28,2,4.0,0.026517962,8.41421
29,2,6.0,0.066835145,12.24263
30,2,2.0,0.017472962,10.24263
31,3,6.0,0.058507247,12.41421
32,3,6.0,0.061222177,12.65684
33,3,4.0,0.041981848,15.41421
34,3,6.0,0.047717868,12.071050000000001
35,3,8.0,0.075157421,12.24263
36,3,7.0,0.071229106,14.89947
37,3,4.0,0.052974371,12.48526
38,3,5.0,0.055102292,12.65684
39,3,4.0,0.039769532,13.828420000000001
40,3,8.0,0.07724232,13.65684
41,4,6.0,0.09188452,17.656840000000003
42,4,8.0,0.114402325,17.071050000000003
43,4,7.0,0.138884661,19.485260000000004
44,4,6.0,0.093902379,18.31368
45,4,5.0,0.07913628,17.242630000000002
46,4,4.0,0.059662966,17.31368
47,4,2.0,0.036042928,17.727890000000002
48,4,6.0,0.094830154,17.899470000000004
49,4,8.0,0.147196769,17.89947
50,4,2.0,0.039274228,18.313680000000005
51,5,9.0,0.136105251,20.970520000000004
52,5,6.0,0.133726352,20.071050000000003
53,5,8.0,0.167476016,22.727890000000002
54,5,9.0,0.200679881,23.727890000000002
55,5,6.0,0.179856659,23.071050000000003
56,5,4.0,0.092647048,21.142100000000006
57,5,7.0,0.114903539,21.142100000000003
58,5,9.0,0.18581187,20.485260000000004
59,5,8.0,0.165988802,22.31368
60,5,7.0,0.145950269,22.727890000000002
61,6,5.0,0.130881755,25.142100000000006
62,6,10.0,0.223569829,24.970520000000004
63,6,10.0,0.254119924,24.31368
64,6,7.0,0.207733487,26.071050000000003
65,6,4.0,0.07809321,24.41421
66,6,4.0,0.127112506,27.556310000000007
67,6,7.0,0.171523948,24.727890000000002
68,6,5.0,0.215638739,27.899470000000004
69,6,9.0,0.307206694,27.485260000000004
70,6,9.0,0.302185788,25.142100000000003
71,7,3.0,0.097718889,27.970520000000008
72,7,4.0,0.132926885,28.556310000000007
73,7,14.0,0.5005848,29.727890000000002
74,7,10.0,0.47844032,30.556310000000003
75,7,7.0,0.243343525,29.071050000000003
76,7,10.0,0.42576861,31.142100000000003
77,7,12.0,0.514840783,30.727890000000002
78,7,8.0,0.395126643,31.970520000000004
79,7,6.0,0.354325969,31.970520000000008
80,7,6.0,0.250949057,30.556310000000007
81,8,9.0,0.414098451,34.213150000000006
82,8,4.0,0.224468393,34.79894
83,8,5.0,0.199565401,34.72789
84,8,4.0,0.159493632,33.72789
85,8,6.0,0.241365332,34.313680000000005
86,8,13.0,0.601435048,32.97052000000001
87,8,13.0,0.590640724,32.65684
88,8,8.0,0.352040418,34.213150000000006
89,8,6.0,0.296582581,32.384730000000005
90,8,6.0,0.226792527,33.72789
91,9,5.0,0.243381973,35.62736
92,9,7.0,0.383573641,36.21315
93,9,7.0,0.3713833,36.384730000000005
94,9,7.0,0.309648356,36.72789
95,9,8.0,0.421447007,38.556309999999996
96,9,Não consegui convergir...,,
97,9,6.0,0.355145397,37.79894
98,9,14.0,0.751744009,37.556309999999996
99,9,6.0,0.270453543,37.142100000000006
100,9,11.0,0.685642586,39.97052
101,10,11.0,1.334725847,40.384730000000005
102,10,9.0,0.724886197,40.79894
103,10,9.0,0.548283723,41.24262999999999
104,10,7.0,0.498092926,39.79894
105,10,12.0,0.795114527,41.48525999999998
106,10,10.0,0.58795002,40.31367999999999
107,10,17.0,1.100301079,41.89946999999999
108,10,6.0,0.438650636,41.071049999999985
109,10,4.0,0.261278383,41.24262999999999
110,10,32.0,1.708910467,43.627359999999996
111,11,17.0,1.156980599,44.45578
112,11,15.0,1.424892963,44.869989999999994
113,11,12.0,0.814987729,45.48525999999999
114,11,9.0,0.425814449,44.828419999999994
115,11,14.0,0.942943274,44.89946999999999
116,11,8.0,0.484348046,45.656839999999995
117,11,5.0,0.287632904,45.24263
118,11,10.0,0.81055805,43.627359999999996
119,11,12.0,1.434986845,45.45578
120,11,13.0,0.905256133,46.899469999999994
121,12,7.0,0.477243945,52.65683999999999
122,12,9.0,0.626197798,48.24263
123,12,8.0,0.595530035,49.656839999999995
124,12,11.0,0.847012733,50.656839999999995
125,12,11.0,0.845456497,50.65684
126,12,10.0,0.906847634,49.48526
127,12,14.0,1.064762347,51.899469999999994
128,12,37.0,3.992122055,49.45578
129,12,18.0,1.397777521,48.97051999999999
130,12,11.0,0.883880731,49.1421
131,13,17.0,1.806662245,54.24262999999999
132,13,11.0,0.760401469,54.24262999999999
133,13,11.0,0.863531891,54.071049999999985
134,13,16.0,1.65707214,56.071049999999985
135,13,15.0,1.3314592,54.89946999999999
136,13,10.0,0.739224373,55.656839999999995
137,13,Não consegui convergir...,,
138,13,9.0,0.749526756,52.48526
139,13,10.0,0.82328096,55.899469999999994
140,13,18.0,1.557379858,54.72788999999999
141,14,36.0,3.480239017,59.41421
142,14,12.0,0.918480617,56.24262999999999
143,14,17.0,1.422724492,57.65683999999999
144,14,9.0,0.836089485,58.65683999999999
145,14,38.0,2.972349326,56.828419999999994
146,14,14.0,1.494514171,56.071049999999985
147,14,9.0,0.605276263,56.24262999999999
148,14,9.0,0.878054357,59.071049999999985
149,14,12.0,1.207303157,59.65683999999999
150,14,Não consegui convergir...,,
151,15,82.0,8.794275006,63.65683999999999
152,15,15.0,2.051629341,60.48525999999998
153,15,27.0,3.172356086,62.727889999999974
154,15,19.0,1.940592125,60.65683999999999
155,15,10.0,0.849250594,61.071049999999985
156,15,9.0,0.791205135,60.65683999999999
157,15,37.0,3.510099927,62.071049999999985
158,15,Não consegui convergir...,,
159,15,23.0,2.225073972,62.48525999999998
160,15,25.0,2.884054644,61.48525999999998
161,16,41.0,4.916180037,66.65683999999999
162,16,23.0,3.116866913,64.65683999999999
163,16,15.0,2.093557827,66.24262999999999
164,16,Não consegui convergir...,,
165,16,50.0,5.895787252,67.07105
166,16,Não consegui convergir...,,
167,16,38.0,4.356700081,64.72788999999999
168,16,Não consegui convergir...,,
169,16,29.0,3.683821989,67.07105
170,16,73.0,7.700801653,74.69840999999997
171,17,39.0,5.38635711,77.86998999999997
172,17,23.0,3.359102413,77.28419999999997
173,17,20.0,2.747209547,70.82842
174,17,23.0,3.446047708,72.07104999999999
175,17,27.0,3.681074549,68.48525999999998
176,17,47.0,6.06465946,69.31367999999998
177,17,23.0,3.141525903,70.97051999999996
178,17,40.0,4.955014621,71.82842
179,17,20.0,2.893428125,69.38472999999996
