Teste,Bucket,Num. Solves,Total Time,Final Cost
1,0,2.0,0.003233148,1.0
2,0,2.0,0.003569947,2.0
3,0,2.0,0.027458611,3.4142099999999997
4,0,2.0,0.016357956,3.4142099999999997
5,0,2.0,0.004020959,3.0
6,0,3.0,0.051295402,3.8284199999999995
7,0,2.0,0.005937933,1.41421
8,0,2.0,0.003488354,2.0
9,0,2.0,0.003977063,3.0
10,0,2.0,0.027691322,3.4142099999999997
11,1,2.0,0.005869038,6.0
12,1,2.0,0.005726982,7.0
13,1,3.0,0.070093798,7.242629999999999
14,1,4.0,0.105645329,6.65684
15,1,3.0,0.06163223,6.242629999999999
16,1,2.0,0.101651822,7.41421
17,1,2.0,0.00488683,5.0
18,1,3.0,0.054562388,6.8284199999999995
19,1,2.0,0.004675902,4.0
20,1,3.0,0.044065741,4.8284199999999995
21,2,3.0,0.037823274,8.24263
22,2,3.0,0.061585516,11.828420000000001
23,2,3.0,0.041529739,11.828420000000001
24,2,4.0,0.199669242,11.65684
25,2,4.0,0.147295356,8.07105
26,2,3.0,0.186115283,8.48526
27,2,4.0,0.201742637,11.48526
28,2,2.0,0.079217924,10.41421
29,2,4.0,0.18680041,10.07105
30,2,2.0,0.12559565,8.41421
31,3,3.0,0.25132358,13.727890000000002
32,3,2.0,0.101704859,12.41421
33,3,5.0,0.759693247,12.727890000000002
34,3,3.0,0.234338487,13.727890000000002
35,3,2.0,0.09881987,12.41421
36,3,2.0,0.009995063,13.0
37,3,4.0,0.127291234,15.071050000000001
38,3,5.0,0.720458952,14.142100000000003
39,3,2.0,0.126999053,12.828420000000001
40,3,3.0,0.110702642,12.242630000000002
41,4,2.0,0.080527797,17.41421
42,4,2.0,0.190010168,16.242630000000002
43,4,6.0,1.069074046,17.142100000000003
44,4,2.0,0.079632806,16.41421
45,4,3.0,0.282871939,19.31368
46,4,3.0,0.050009668,18.82842
47,4,4.0,0.286133881,16.899470000000004
48,4,6.0,0.442848038,16.31368
49,4,5.0,0.556989471,19.313680000000005
50,4,4.0,0.679774055,19.970520000000004
51,5,6.0,0.593652841,23.970520000000004
52,5,5.0,0.658701356,21.970520000000004
53,5,4.0,0.7641781,22.142100000000003
54,5,2.0,0.486654465,23.313680000000005
55,5,3.0,0.095106017,23.656840000000003
56,5,4.0,0.143898087,21.07105
57,5,2.0,0.339421506,20.656840000000003
58,5,7.0,0.735629639,23.071050000000003
59,5,5.0,0.598866157,23.071050000000003
60,5,4.0,0.25295265,20.89947
61,6,5.0,1.030996635,25.970520000000004
62,6,3.0,0.0809293,24.656840000000003
63,6,4.0,0.392530022,24.727890000000002
64,6,6.0,1.46175134,27.86999000000001
65,6,5.0,0.902300103,24.970520000000004
66,6,2.0,0.177444472,24.242630000000002
67,6,2.0,0.455239554,26.899470000000004
68,6,3.0,0.034357588,25.82842
69,6,5.0,1.129330978,24.213150000000006
70,6,3.0,0.210312438,26.242630000000002
71,7,4.0,1.288899483,29.69841000000001
72,7,6.0,1.677291219,30.041570000000007
73,7,2.0,0.26830078,29.071050000000003
74,7,5.0,0.270752423,31.485260000000004
75,7,5.0,0.753743902,28.556310000000003
76,7,8.0,0.973945549,29.899470000000004
77,7,3.0,0.1132748,30.656840000000003
78,7,7.0,1.914893418,28.727890000000006
79,7,6.0,0.489993046,28.82842
80,7,8.0,1.709936948,30.485260000000004
81,8,7.0,2.278014853,35.94104
