Teste,Bucket,Num. Solves,Total Time,Final Cost
1,0,2.0,0.001778528,1.41421
2,0,2.0,0.013678808,1.41421
3,0,2.0,0.002062453,2.0
4,0,1.0,1.1877e-05,0.0
5,0,2.0,0.007092441,1.41421
6,0,2.0,0.011311134,3.4142099999999997
7,0,2.0,0.001591937,1.0
8,0,2.0,0.026832924,2.82842
9,0,2.0,0.002723302,3.0
10,0,3.0,0.063404283,3.8284199999999995
11,1,2.0,0.003857994,5.0
12,1,3.0,0.03018254,5.8284199999999995
13,1,3.0,0.010142681,4.8284199999999995
14,1,3.0,0.017167545,6.242629999999999
15,1,3.0,0.033302795,6.65684
16,1,2.0,0.006127159,6.41421
17,1,2.0,0.0075466,4.41421
18,1,3.0,0.015293622,4.8284199999999995
19,1,3.0,0.11263448,7.8284199999999995
20,1,2.0,0.016304775,7.41421
21,2,2.0,0.051989703,9.41421
22,2,2.0,0.075433088,9.24263
23,2,4.0,0.13778624,11.65684
24,2,7.0,0.56547237,10.07105
25,2,2.0,0.041493966,8.41421
26,2,2.0,0.00743151,11.0
27,2,2.0,0.061995639,9.41421
28,2,2.0,0.040973841,8.41421
29,2,3.0,0.072986437,11.41421
30,2,4.0,0.158416166,10.24263
31,3,2.0,0.061728759,12.41421
32,3,4.0,0.231567323,12.65684
33,3,3.0,0.393846448,15.41421
34,3,3.0,0.115943351,12.071050000000001
35,3,3.0,0.05266634,12.242630000000002
36,3,5.0,0.347521761,14.899470000000003
37,3,6.0,0.450280268,12.485260000000002
38,3,3.0,0.131471215,12.65684
39,3,3.0,0.42001912,13.828420000000001
40,3,4.0,0.199711549,13.65684
41,4,4.0,0.485604902,17.656840000000003
42,4,6.0,0.574024416,17.071050000000003
43,4,2.0,0.169136082,19.485260000000004
44,4,6.0,0.513587944,18.31368
45,4,4.0,0.372251665,17.242630000000002
46,4,5.0,0.73606221,17.31368
47,4,2.0,0.227589794,17.727890000000002
48,4,6.0,0.698066906,17.899470000000004
49,4,7.0,0.642120492,17.899470000000004
50,4,2.0,0.292089762,18.313680000000005
51,5,6.0,0.641700904,20.970520000000004
52,5,2.0,0.167949176,20.071050000000003
53,5,6.0,1.313179876,22.727890000000002
54,5,4.0,2.533926032,23.727890000000002
55,5,4.0,0.211938731,23.071050000000003
56,5,6.0,0.829457275,21.727890000000006
57,5,6.0,0.801499764,21.142100000000003
58,5,2.0,0.187235059,20.485260000000004
59,5,4.0,0.750712402,22.31368
60,5,5.0,0.693146152,22.727890000000002
61,6,6.0,1.007544794,25.727890000000006
62,6,6.0,0.837125807,24.970520000000004
63,6,3.0,1.793776646,24.31368
64,6,7.0,0.562848923,26.071050000000003
65,6,2.0,0.109786719,24.41421
66,6,7.0,1.303844277,27.556310000000007
67,6,5.0,0.919878532,24.727890000000002
68,6,7.0,0.63749911,27.899470000000004
69,6,5.0,0.47147387,27.485260000000004
70,6,7.0,0.795559476,25.142100000000006
71,7,8.0,1.231614157,28.556310000000007
72,7,10.0,2.139964023,29.142100000000006
73,7,8.0,3.262042747,29.727890000000002
74,7,4.0,1.64198617,29.727890000000002
75,7,4.0,0.410136332,29.071050000000003
76,7,4.0,1.70446153,31.142100000000003
77,7,6.0,2.230037911,30.727890000000002
78,7,7.0,1.790756674,31.970520000000004
79,7,6.0,2.267744613,31.142100000000006
80,7,6.0,4.33310033,31.142100000000006
81,8,5.0,1.679782049,34.213150000000006
82,8,6.0,1.459305489,34.79894
83,8,5.0,1.148010659,34.72789
84,8,4.0,1.410669849,33.72789
85,8,3.0,0.97785636,34.313680000000005
86,8,4.0,1.826071138,32.97052
87,8,4.0,0.301393944,32.65684
88,8,6.0,2.056067765,34.213150000000006
89,8,7.0,2.405750716,32.384730000000005
90,8,4.0,1.168464411,33.72789
91,9,7.0,2.123943371,36.21315
92,9,7.0,1.652451878,36.21315
93,9,5.0,1.650054126,36.384730000000005
94,9,7.0,1.526504571,36.72789
95,9,5.0,1.6280646,38.556309999999996
96,9,7.0,2.094944297,39.97051999999999
97,9,6.0,13.220439093,38.38473
98,9,8.0,1.671432057,37.556309999999996
99,9,7.0,1.625361247,37.1421
100,9,7.0,1.775001158,39.97051999999999
101,10,6.0,11.310297854,40.97052
102,10,6.0,8.609855986,41.38473
103,10,2.0,0.110568686,41.24262999999999
104,10,6.0,3.225377747,40.384730000000005
105,10,8.0,2.042743287,40.556309999999996
106,10,7.0,1.323279641,40.31367999999999
107,10,8.0,1.284147016,41.31367999999999
108,10,5.0,0.788706187,41.071049999999985
109,10,5.0,0.513769482,41.24262999999999
110,10,9.0,4.548445586,42.55631
111,11,8.0,8.346596776,45.04156999999999
112,11,6.0,10.947567053,45.45577999999999
113,11,4.0,0.660751099,44.65683999999999
114,11,3.0,0.435669024,44.828419999999994
115,11,9.0,0.884918279,44.07105
116,11,3.0,0.335458674,44.82842
117,11,4.0,0.42037432,45.24263
118,11,5.0,4.213027912,44.21315
119,11,6.0,11.189495258,46.04156999999999
120,11,8.0,1.544259863,46.899469999999994
121,12,3.0,0.587673172,51.828419999999994
122,12,4.0,0.495666073,48.24263
123,12,6.0,0.798430189,49.656839999999995
124,12,3.0,0.701590657,50.656839999999995
125,12,7.0,1.580953024,50.65684
126,12,9.0,1.300998977,49.48526
127,12,8.0,1.810398348,51.899469999999994
128,12,7.0,3.261263819,48.2842
129,12,9.0,1.60304632,48.97051999999999
130,12,10.0,1.393726706,49.1421
131,13,9.0,2.321404544,54.24262999999999
132,13,3.0,0.662586199,54.24262999999999
133,13,4.0,0.856225691,54.071049999999985
134,13,10.0,3.027722251,55.48525999999999
135,13,8.0,1.698108912,54.89946999999999
136,13,4.0,0.678043368,55.656839999999995
137,13,12.0,3.23374325,52.65684
138,13,4.0,1.074880646,52.48526
139,13,6.0,1.335798935,55.899469999999994
140,13,6.0,1.900492359,54.72788999999999
141,14,7.0,9.180747992,59.41421
142,14,3.0,0.6176558,56.24262999999999
143,14,6.0,1.09155117,57.65683999999999
144,14,3.0,0.529306695,57.828419999999994
145,14,8.0,8.062820519,56.828419999999994
146,14,8.0,2.806204008,56.071049999999985
147,14,3.0,0.59483399,56.24262999999999
148,14,11.0,1.782653693,59.071049999999985
149,14,6.0,1.295437836,59.65683999999999
150,14,9.0,3.366341467,56.89946999999999
151,15,8.0,8.487580777,63.65683999999999
152,15,8.0,7.107961601,60.48525999999998
153,15,10.0,7.526573887,61.89946999999998
154,15,10.0,3.455909196,60.65683999999999
155,15,5.0,1.115181059,61.071049999999985
156,15,6.0,1.083155603,60.65683999999999
157,15,10.0,8.893346819,62.07104999999999
158,15,12.0,4.151617087,60.72788999999998
159,15,6.0,1.874709839,62.48525999999998
160,15,9.0,9.668338642,60.07104999999999
161,16,9.0,11.601575453,65.82842
162,16,9.0,11.642921713,64.65684
163,16,6.0,10.146165648,66.24262999999999
164,16,9.0,10.265875249,64.89947
165,16,8.0,11.622761885,67.07105
166,16,10.0,11.257146531,67.89947
167,16,10.0,10.487504554,64.72788999999999
168,16,10.0,8.717657016,65.38472999999998
169,16,9.0,13.254623312,67.07105
170,16,8.0,13.715415963,65.48526
171,17,7.0,14.05837603,68.65683999999999
172,17,10.0,14.560374627,68.65683999999999
173,17,7.0,12.068885047,70.82842
174,17,7.0,12.873468073,71.24262999999999
175,17,9.0,12.418266308,68.48525999999998
176,17,9.0,11.656184607,69.31367999999998
177,17,10.0,10.504388787,70.97051999999996
178,17,7.0,13.969813133,71.82842
179,17,12.0,11.828539407,69.38472999999996
180,17,12.0,11.725963473,68.97051999999998
181,18,8.0,13.99725512,74.24262999999999
182,18,9.0,13.264926354,72.24262999999999
183,18,6.0,16.876612263,74.48525999999998
184,18,10.0,12.453232767,73.38472999999998
185,18,8.0,12.767956003,72.48526
186,18,9.0,16.426364801,75.89947
187,18,15.0,12.855691353,73.97051999999998
188,18,12.0,13.176358417,75.38472999999998
189,18,10.0,19.083973633,73.14209999999999
190,18,10.0,12.764513579,75.31367999999999
191,19,19.0,14.328009972,77.62735999999997
192,19,13.0,13.275528436,77.86998999999997
193,19,14.0,19.00756269,76.21314999999998
194,19,8.0,13.773210596,77.1421
195,19,12.0,13.574337103,79.04156999999998
196,19,12.0,13.653518664,78.45577999999998
197,19,11.0,12.342329515,77.45577999999998
198,19,13.0,11.755750731,79.28419999999997
199,19,10.0,11.640426733,76.69840999999997
200,19,12.0,18.786773729,77.79893999999999
201,20,8.0,15.443546605,80.55631
202,20,9.0,14.439472018,81.97052
203,20,9.0,10.47200707,80.28419999999997
204,20,17.0,14.819070473,80.86998999999997
205,20,9.0,15.407741455,81.55631
206,20,9.0,13.141217841,80.97052
207,20,13.0,12.650351588,81.04156999999998
208,20,9.0,14.962972515,82.55631
209,20,8.0,14.245058339,82.31368
210,20,8.0,12.419293942,80.72789
211,21,11.0,13.522974385,84.21314999999998
212,21,12.0,14.604399147,85.04156999999998
213,21,12.0,13.454473962,85.86998999999997
214,21,19.0,14.432311972,84.62735999999997
215,21,12.0,14.696211482,84.45577999999998
216,21,14.0,15.004928293,85.28419999999997
217,21,10.0,15.300832088,84.38472999999999
218,21,12.0,11.764897161,85.18366999999995
219,21,11.0,12.217757866,84.59787999999995
220,21,13.0,14.197015117,84.76945999999995
