Teste,Bucket,Num. Solves,Total Time,Final Cost
1,0,2.0,0.003174512,1.0
2,0,2.0,0.003722497,2.0
3,0,3.0,0.006178054,3.4142099999999997
4,0,2.0,0.004150914,3.4142099999999997
5,0,2.0,0.004131189,3.0
6,0,3.0,0.005674068,3.8284199999999995
7,0,2.0,0.003172917,1.41421
8,0,2.0,0.00353072,2.0
9,0,2.0,0.00397146,3.0
10,0,3.0,0.006136978,3.4142099999999997
11,1,2.0,0.006378216,6.0
12,1,2.0,0.005849502,7.0
13,1,2.0,0.007715472,7.242629999999999
14,1,4.0,0.011193271,6.656839999999999
15,1,2.0,0.006719815,6.242629999999999
16,1,2.0,0.008389903,7.41421
17,1,2.0,0.004941516,5.0
18,1,2.0,0.007481005,6.8284199999999995
19,1,2.0,0.004964352,4.0
20,1,2.0,0.005321082,4.8284199999999995
21,2,2.0,0.007270389,8.24263
22,2,2.0,0.013831038,11.828420000000001
23,2,3.0,0.01422134,11.828420000000001
24,2,2.0,0.010439219,11.65684
25,2,4.0,0.01347418,8.07105
26,2,4.0,0.013741911,8.48526
27,2,2.0,0.009534271,11.48526
28,2,2.0,0.011441007,10.41421
29,2,4.0,0.01619084,10.07105
30,2,2.0,0.009391117,8.41421
31,3,4.0,0.023106108,13.727890000000002
32,3,2.0,0.012954731,12.41421
33,3,4.0,0.019861336,12.727890000000002
34,3,5.0,0.028210946,13.727890000000002
35,3,2.0,0.013092338,12.41421
36,3,2.0,0.012165522,13.0
37,3,5.0,0.031360126,15.07105
38,3,4.0,0.020991936,14.142100000000003
39,3,2.0,0.014599177,12.828420000000001
40,3,2.0,0.011535852,12.242630000000002
41,4,2.0,0.019008985,17.41421
42,4,2.0,0.021162384,16.242630000000002
43,4,7.0,0.062169855,17.142100000000003
44,4,2.0,0.017768412,16.41421
45,4,5.0,0.048792137,19.31368
46,4,4.0,0.031692561,18.82842
47,4,4.0,0.03597045,16.899470000000004
48,4,4.0,0.037049547,16.31368
49,4,4.0,0.043511972,19.313680000000005
50,4,4.0,0.043600858,19.970520000000004
51,5,11.0,0.127486579,23.970520000000004
52,5,2.0,0.031443311,21.970520000000004
53,5,4.0,0.07792262,22.142100000000003
54,5,3.0,0.052477598,23.31368
55,5,4.0,0.044123618,23.656840000000003
56,5,4.0,0.042595833,21.071050000000003
57,5,2.0,0.037351703,20.656840000000003
58,5,4.0,0.072848022,23.071050000000003
59,5,6.0,0.105195208,23.071050000000003
60,5,7.0,0.074412415,20.89947
61,6,5.0,0.114832598,25.970520000000004
62,6,4.0,0.048402847,24.656840000000003
63,6,10.0,0.139019009,24.727890000000002
64,6,5.0,0.0741934,28.455780000000008
65,6,10.0,0.184296915,24.970520000000004
66,6,2.0,0.033700813,24.242630000000002
67,6,4.0,0.102217667,26.899470000000004
68,6,2.0,0.016132646,25.82842
69,6,3.0,0.047799392,24.213150000000006
70,6,7.0,0.071774179,26.242630000000002
71,7,6.0,0.088330758,29.69841000000001
72,7,8.0,0.214155687,30.041570000000007
73,7,4.0,0.106749362,29.071050000000003
74,7,3.0,0.046011556,31.48526
75,7,7.0,0.131119041,28.556310000000003
76,7,6.0,0.174362306,29.899470000000004
77,7,2.0,0.029968804,30.656840000000003
78,7,5.0,0.111033655,28.727890000000002
79,7,2.0,0.036012525,28.82842
80,7,12.0,0.349739986,31.071050000000003
81,8,11.0,0.301110488,35.94104
82,8,6.0,0.193507095,32.213150000000006
83,8,6.0,0.186755008,33.48526
84,8,10.0,0.342144998,34.48526
85,8,4.0,0.09415789,34.727889999999995
86,8,8.0,0.258764538,33.04157000000001
87,8,8.0,0.27912795,32.72789
88,8,6.0,0.210996244,33.313680000000005
89,8,2.0,0.031957053,32.65684
90,8,9.0,0.237958741,33.213150000000006
91,9,6.0,0.205712452,38.798939999999995
92,9,22.0,0.810724464,39.2842
93,9,8.0,0.161708308,37.769459999999995
94,9,6.0,0.148732805,40.76945999999999
95,9,6.0,0.233401642,36.21315
96,9,4.0,0.097449964,38.24262999999999
97,9,2.0,0.062977762,38.65683999999999
98,9,2.0,0.067133721,39.65683999999999
99,9,2.0,0.04259461,39.41421
100,9,4.0,0.104155849,36.14209999999999
101,10,10.0,0.254711883,41.55630999999999
102,10,5.0,0.159442249,42.384729999999976
103,10,6.0,0.195807085,42.21314999999999
104,10,10.0,0.256584295,42.183669999999985
105,10,7.0,0.315033036,40.556309999999996
106,10,14.0,0.679856253,43.79893999999999
107,10,9.0,0.295054482,40.213149999999985
108,10,8.0,0.284910752,40.28419999999999
109,10,3.0,0.109684898,42.59787999999999
110,10,15.0,0.472838762,40.45577999999999
111,11,10.0,0.302378348,45.18366999999998
112,11,4.0,0.164105508,44.071049999999985
113,11,4.0,0.18007101,44.89946999999998
114,11,2.0,0.037593064,44.0
115,11,3.0,0.116707229,47.071049999999985
116,11,18.0,0.68240332,47.89946999999998
117,11,7.0,0.244592962,47.183669999999985
118,11,15.0,0.428441082,47.01208999999998
119,11,6.0,0.202328152,46.84050999999998
120,11,5.0,0.198559795,45.313679999999984
121,12,15.0,0.61552691,48.42629999999998
122,12,7.0,0.274927597,49.668929999999975
123,12,7.0,0.257533521,51.25471999999997
124,12,9.0,0.446734939,48.25471999999998
125,12,14.0,0.401161712,52.66892999999997
