Teste,Bucket,Num. Solves,Total Time,Final Cost
1,0,2.0,0.001730804,1.0
2,0,2.0,0.002325944,2.0
3,0,2.0,0.002974486,3.4142099999999997
4,0,2.0,0.002688354,3.4142099999999997
5,0,2.0,0.002569465,3.0
6,0,2.0,0.002802617,3.8284199999999995
7,0,2.0,0.001724966,1.41421
8,0,2.0,0.00215321,2.0
9,0,2.0,0.002578327,3.0
10,0,2.0,0.002850016,3.4142099999999997
11,1,2.0,0.004479264,6.0
12,1,2.0,0.004282828,7.0
13,1,2.0,0.006617742,7.242629999999999
14,1,2.0,0.005139689,6.656839999999999
15,1,2.0,0.005618401,6.242629999999999
16,1,2.0,0.005459166,7.41421
17,1,2.0,0.00352612,5.0
18,1,2.0,0.006226935,6.8284199999999995
19,1,2.0,0.003311239,4.0
20,1,2.0,0.003864036,4.8284199999999995
21,2,2.0,0.00642156,8.242629999999998
22,2,2.0,0.013655863,11.82842
23,2,2.0,0.00879396,11.82842
24,2,2.0,0.012042066,11.656839999999999
25,2,2.0,0.00716849,8.07105
26,2,2.0,0.007672073,8.48526
27,2,2.0,0.010738002,11.48526
28,2,2.0,0.00728475,10.41421
29,2,2.0,0.008459752,10.07105
30,2,2.0,0.006070177,8.41421
31,3,2.0,0.017937897,13.727890000000002
32,3,2.0,0.008641841,12.41421
33,3,2.0,0.014229202,12.727890000000002
34,3,2.0,0.016332049,13.727890000000002
35,3,2.0,0.008455377,12.41421
36,3,2.0,0.008874627,13.0
37,3,2.0,0.01481832,15.07105
38,3,2.0,0.0168742,14.142100000000003
39,3,2.0,0.01513738,12.82842
40,3,2.0,0.01158046,12.242629999999998
41,4,2.0,0.011623256,17.41421
42,4,2.0,0.022147546,16.24263
43,4,2.0,0.030978342,17.142100000000003
44,4,2.0,0.011652181,16.41421
45,4,2.0,0.031169599,19.31368
46,4,2.0,0.011029545,18.82842
47,4,2.0,0.023560147,16.89947
48,4,2.0,0.025526206,16.31368
49,4,2.0,0.033564008,19.31368
50,4,2.0,0.032970479,19.970520000000004
51,5,2.0,0.054698983,23.970520000000004
52,5,3.0,0.079500154,21.970520000000004
53,5,2.0,0.072332541,22.142100000000003
54,5,2.0,0.071281535,23.313680000000005
55,5,2.0,0.027994043,23.65684
56,5,2.0,0.02779598,21.07105
57,5,2.0,0.042082068,20.65684
58,5,3.0,0.096302089,22.485260000000004
59,5,2.0,0.059808405,23.07105
60,5,2.0,0.036408573,20.89947
61,6,5.0,0.176911935,25.970520000000004
62,6,2.0,0.029152591,24.65684
63,6,2.0,0.052147691,24.727890000000002
64,6,2.0,0.065303524,27.86999000000001
65,6,4.0,0.122595867,24.970520000000004
66,6,2.0,0.046289872,24.242630000000002
67,6,2.0,0.086403618,26.89947
68,6,2.0,0.015334356,25.82842
69,6,2.0,0.053136754,24.213150000000006
70,6,2.0,0.02627834,26.242630000000002
71,7,2.0,0.073334973,29.69841000000001
72,7,4.0,0.171389101,30.041570000000007
73,7,2.0,0.078040836,29.07105
74,7,2.0,0.053879489,31.48526
75,7,2.0,0.072085479,28.556310000000003
76,7,3.0,0.15791347,32.72789
77,7,2.0,0.035709026,30.65684
78,7,2.0,0.104171373,28.727890000000002
79,7,2.0,0.039564534,28.82842
80,7,4.0,0.173514847,30.48526
81,8,2.0,0.113604367,35.94104
82,8,4.0,0.231237087,32.213150000000006
83,8,6.0,0.28359564,33.48526
84,8,4.0,0.207596898,34.48526
85,8,2.0,0.079311195,34.727889999999995
86,8,5.0,0.269578809,33.04157000000001
87,8,4.0,0.23793486,32.72789
88,8,4.0,0.233896203,33.31368
89,8,2.0,0.035823783,32.656839999999995
90,8,9.0,0.434876543,32.62736
91,9,2.0,0.123841541,38.79893999999999
92,9,3.0,0.228626738,39.28419999999999
93,9,2.0,0.12227136,40.59787999999999
94,9,2.0,0.130658871,39.597879999999996
95,9,3.0,0.248918642,36.21315
96,9,2.0,0.058333368,38.24262999999999
97,9,2.0,0.091155058,38.65683999999999
98,9,2.0,0.094436281,39.65683999999999
99,9,2.0,0.027065386,39.41421
100,9,2.0,0.091941718,36.14209999999999
101,10,2.0,0.119026477,41.55630999999998
102,10,2.0,0.141199967,42.384729999999976
103,10,2.0,0.150355802,42.21314999999998
104,10,4.0,0.314664635,42.183669999999985
105,10,4.0,0.402176506,40.556309999999996
106,10,5.0,0.571668358,43.79893999999998
107,10,2.0,0.140496639,40.213149999999985
108,10,3.0,0.24259268,40.28419999999999
109,10,2.0,0.171509435,42.59787999999999
110,10,3.0,0.311862584,40.45577999999999
111,11,4.0,0.357650818,46.59787999999999
112,11,2.0,0.126388759,44.071049999999985
113,11,2.0,0.175601418,44.89946999999998
114,11,2.0,0.032443609,44.0
115,11,2.0,0.139270734,47.071049999999985
116,11,2.0,0.187512389,47.89946999999998
117,11,4.0,0.389179644,46.012089999999986
118,11,3.0,0.32709858,48.426299999999976
119,11,3.0,0.331650483,46.84050999999998
120,11,2.0,0.190066034,45.31367999999998
121,12,4.0,0.450674449,51.25471999999998
122,12,3.0,0.352492287,49.668929999999975
123,12,3.0,0.356962683,52.083139999999965
124,12,3.0,0.348231534,48.25471999999998
125,12,3.0,0.392497758,57.15418999999996
126,12,2.0,0.210936862,48.31367999999998
127,12,3.0,0.372469779,49.668929999999975
128,12,3.0,0.482302211,51.941039999999965
129,12,4.0,0.599412011,50.627359999999975
130,12,10.0,1.405138372,48.79893999999998
131,13,4.0,0.631870868,55.25471999999998
132,13,6.0,0.935902161,57.25471999999998
133,13,3.0,0.410960993,52.911559999999966
134,13,3.0,0.495495847,55.49734999999996
135,13,3.0,0.555372409,53.11261999999996
136,13,4.0,0.686375476,54.84050999999997
137,13,4.0,0.618684897,56.59787999999996
138,13,5.0,0.86549421,54.112619999999964
139,13,4.0,0.639888199,52.18366999999998
140,13,7.0,0.97104156,52.45577999999996
141,14,5.0,0.808443388,56.25471999999996
142,14,6.0,1.065489961,57.01208999999997
143,14,4.0,0.799234746,60.25471999999996
144,14,3.0,0.529132395,56.91155999999996
145,14,4.0,0.667503584,59.325769999999956
146,14,6.0,1.114678936,56.35524999999995
147,14,3.0,0.594556589,59.18366999999995
148,14,3.0,0.520930321,60.32576999999995
149,14,6.0,0.849386591,56.32576999999996
150,14,4.0,0.675327746,58.911559999999966
151,15,3.0,0.544355613,66.22523999999994
152,15,3.0,0.584708274,62.911559999999945
153,15,5.0,0.974391988,60.73997999999995
154,15,5.0,0.868981296,59.98260999999995
155,15,7.0,1.388058819,60.568399999999954
156,15,5.0,1.153975971,63.32576999999996
157,15,6.0,1.06482042,61.15418999999996
158,15,3.0,0.602224855,69.39681999999993
159,15,9.0,1.580153465,64.15418999999996
160,15,5.0,0.973881563,62.73997999999996
