Teste,Bucket,Num. Solves,Total Time,Final Cost
1,0,2.0,0.002052852,1.41421
2,0,2.0,0.002189054,1.41421
3,0,2.0,0.002809734,2.0
4,0,1.0,6.686e-06,0.0
5,0,2.0,0.002153879,1.41421
6,0,2.0,0.003752504,3.4142099999999997
7,0,2.0,0.002200534,1.0
8,0,2.0,0.002872858,2.82842
9,0,2.0,0.00342561,3.0
10,0,2.0,0.003615148,3.8284199999999995
11,1,2.0,0.004463804,5.0
12,1,2.0,0.005993304,5.8284199999999995
13,1,2.0,0.004176726,4.8284199999999995
14,1,2.0,0.005532621,6.242629999999999
15,1,2.0,0.005887678,6.656839999999999
16,1,2.0,0.005222992,6.41421
17,1,2.0,0.004161373,4.41421
18,1,2.0,0.004944398,4.8284199999999995
19,1,2.0,0.008705388,7.8284199999999995
20,1,2.0,0.006150321,7.41421
21,2,2.0,0.008701533,9.41421
22,2,2.0,0.010492994,9.242629999999998
23,2,2.0,0.015326375,11.656839999999999
24,2,2.0,0.009632449,10.07105
25,2,2.0,0.006608185,8.41421
26,2,2.0,0.00837019,11.0
27,2,2.0,0.007330501,9.41421
28,2,2.0,0.006716583,8.41421
29,2,3.0,0.016693262,11.41421
30,2,2.0,0.012029626,10.24263
31,3,2.0,0.008813098,12.41421
32,3,2.0,0.017973457,12.656839999999999
33,3,2.0,0.015177498,15.41421
34,3,2.0,0.015021865,12.07105
35,3,2.0,0.013321671,12.242629999999998
36,3,2.0,0.020062761,14.89947
37,3,2.0,0.015500527,12.48526
38,3,2.0,0.025662193,12.656839999999999
39,3,2.0,0.016449093,13.828420000000001
40,3,2.0,0.022973332,13.656839999999999
41,4,2.0,0.023762459,17.656840000000003
42,4,2.0,0.024663167,17.071050000000003
43,4,2.0,0.032935372,19.485260000000004
44,4,2.0,0.029461509,18.31368
45,4,4.0,0.049039068,17.24263
46,4,2.0,0.028514035,17.31368
47,4,2.0,0.028429933,17.727890000000002
48,4,2.0,0.031306214,17.899470000000004
49,4,2.0,0.034915823,17.89947
50,4,2.0,0.02942662,18.313680000000005
51,5,2.0,0.032627758,20.970520000000004
52,5,2.0,0.034455519,20.071050000000003
53,5,8.0,0.213558505,22.727890000000002
54,5,5.0,0.15238697,23.727890000000002
55,5,2.0,0.043918147,23.071050000000003
56,5,3.0,0.054667112,21.142100000000006
57,5,4.0,0.066499741,21.142100000000003
58,5,2.0,0.036604884,20.485260000000004
59,5,9.0,0.213479039,22.31368
