Teste,Bucket,Num. Solves,Total Time,Final Cost
1,0,2.0,0.001262334,1.41421
2,0,2.0,0.062008517,1.41421
3,0,2.0,0.001154743,2.0
4,0,1.0,1.1494e-05,0.0
5,0,2.0,0.063703871,1.41421
6,0,2.0,0.190125277,3.4142099999999997
7,0,2.0,0.000959344,1.0
8,0,2.0,0.124631152,2.82842
9,0,2.0,0.001409578,3.0
10,0,3.0,0.125847334,3.8284199999999995
11,1,2.0,0.001745161,5.0
12,1,3.0,0.431615062,5.8284199999999995
13,1,3.0,0.023634838,4.8284199999999995
14,1,3.0,0.19396526,6.242629999999999
15,1,3.0,0.568438868,6.65684
16,1,2.0,0.003727412,6.41421
17,1,2.0,0.191636646,4.41421
18,1,3.0,0.317165035,4.8284199999999995
19,1,3.0,0.715468837,7.8284199999999995
20,1,2.0,0.201420831,7.41421
21,2,2.0,0.261879594,9.41421
22,2,2.0,0.580116186,9.24263
23,2,4.0,0.89629327,11.65684
24,2,4.0,1.149722784,10.07105
25,2,2.0,0.191844695,8.41421
26,2,2.0,0.003050402,11.0
27,2,2.0,0.440878874,9.41421
28,2,2.0,0.261492279,8.41421
29,2,3.0,0.323098442,11.41421
30,2,5.0,0.874792851,10.24263
31,3,2.0,0.271328747,12.41421
32,3,4.0,1.590807529,12.65684
33,3,2.0,0.699475598,15.41421
34,3,4.0,0.631242445,12.071050000000001
35,3,2.0,0.606638562,12.242630000000002
36,3,5.0,1.837435275,14.899470000000003
37,3,5.0,3.101664877,12.485260000000002
38,3,4.0,0.692169045,12.65684
39,3,4.0,0.854135779,13.828420000000001
40,3,4.0,2.202479979,13.65684
41,4,4.0,0.945871742,17.656840000000003
42,4,4.0,1.200703902,17.071050000000003
43,4,6.0,1.362324119,19.485260000000004
44,4,5.0,1.267394053,18.31368
45,4,3.0,0.454288837,17.242630000000002
46,4,4.0,1.365877517,17.31368
47,4,4.0,0.811007334,17.727890000000002
48,4,6.0,2.727588978,17.899470000000004
49,4,4.0,1.248873801,17.899470000000004
50,4,4.0,2.187334593,18.313680000000005
51,5,6.0,3.759382328,20.970520000000004
52,5,4.0,1.344254421,20.071050000000003
53,5,3.0,5.233823275,22.727890000000002
54,5,4.0,8.463491207,23.727890000000002
55,5,4.0,1.425265485,23.071050000000003
56,5,6.0,1.850396973,21.727890000000006
57,5,5.0,3.356739189,21.142100000000003
58,5,5.0,1.23550023,20.485260000000004
59,5,4.0,10.378715305,22.31368
60,5,5.0,1.505471137,22.727890000000002
61,6,4.0,2.080313784,25.727890000000006
62,6,6.0,8.684323208,24.970520000000004
63,6,4.0,8.950850145,24.31368
