Teste,Bucket,Num. Solves,Total Time,Final Cost
1,0,2.0,0.002771927,1.0
2,0,2.0,0.003051235,2.0
3,0,3.0,0.004787046,3.4142099999999997
4,0,2.0,0.003352537,3.4142099999999997
5,0,2.0,0.003382827,3.0
6,0,3.0,0.004469755,3.8284199999999995
7,0,2.0,0.002762812,1.41421
8,0,2.0,0.003149728,2.0
9,0,2.0,0.003326823,3.0
10,0,3.0,0.004943548,3.4142099999999997
11,1,2.0,0.004602852,6.0
12,1,2.0,0.0046276,7.0
13,1,2.0,0.005996525,7.242629999999999
14,1,4.0,0.00885761,6.656839999999999
15,1,2.0,0.005075739,6.242629999999999
16,1,2.0,0.006371992,7.41421
17,1,2.0,0.003979409,5.0
18,1,2.0,0.006086803,6.8284199999999995
19,1,2.0,0.0037244,4.0
20,1,2.0,0.004047947,4.8284199999999995
21,2,3.0,0.008817026,8.24263
22,2,2.0,0.010373156,11.828420000000001
23,2,3.0,0.010729039,11.828420000000001
24,2,2.0,0.008875632,11.65684
25,2,4.0,0.010402325,8.07105
26,2,4.0,0.010321516,8.48526
27,2,3.0,0.014328042,11.48526
28,2,2.0,0.008278076,10.41421
29,2,4.0,0.017001393,10.07105
30,2,2.0,0.00675124,8.41421
31,3,4.0,0.018638224,13.727890000000002
32,3,2.0,0.009208642,12.41421
33,3,4.0,0.017061648,12.727890000000002
34,3,4.0,0.020430266,14.313680000000002
35,3,2.0,0.009297728,12.41421
36,3,2.0,0.007287799,13.0
37,3,3.0,0.017428639,15.071050000000001
38,3,4.0,0.017929185,14.142100000000003
39,3,2.0,0.011234096,12.828420000000001
40,3,2.0,0.009488193,12.242630000000002
41,4,2.0,0.013489986,17.41421
42,4,2.0,0.018419401,16.242630000000002
43,4,7.0,0.054862109,17.142100000000003
44,4,2.0,0.01281502,16.41421
45,4,8.0,0.06459382,19.31368
46,4,3.0,0.025828228,18.82842
47,4,9.0,0.073674242,16.89947
48,4,4.0,0.031370437,16.31368
49,4,4.0,0.041380423,19.313680000000005
50,4,5.0,0.049685645,19.970520000000004
51,5,7.0,0.086781881,23.970520000000004
52,5,4.0,0.056867203,21.970520000000004
53,5,18.0,0.33156268,22.142100000000003
54,5,5.0,0.066450359,23.31368
55,5,6.0,0.048688836,23.65684
56,5,6.0,0.055107782,21.07105
57,5,2.0,0.026103148,20.656840000000003
58,5,10.0,0.13739663,23.071050000000003
59,5,2.0,0.034307508,23.071050000000003
60,5,4.0,0.041294652,20.89947
61,6,5.0,0.095982489,25.970520000000004
62,6,6.0,0.050215852,24.65684
63,6,4.0,0.055035483,24.727890000000002
64,6,4.0,0.054305107,27.86999000000001
65,6,4.0,0.065390881,24.970520000000004
66,6,2.0,0.026354766,24.242630000000002
67,6,4.0,0.092934101,26.899470000000004
68,6,4.0,0.036952353,25.82842
69,6,3.0,0.041211473,24.213150000000006
70,6,3.0,0.033001012,26.242630000000002
71,7,5.0,0.075647448,30.28420000000001
72,7,5.0,0.125590459,30.041570000000007
73,7,2.0,0.046856943,29.071050000000003
74,7,3.0,0.044327267,31.48526
75,7,3.0,0.048854916,28.556310000000003
76,7,4.0,0.109175374,29.899470000000004
77,7,Não consegui convergir...,,
78,7,5.0,0.106637763,28.727890000000002
79,7,2.0,0.027051766,28.82842
80,7,8.0,0.175523882,30.485260000000004
81,8,11.0,0.276306003,35.94104
82,8,7.0,0.221420463,32.213150000000006
83,8,4.0,0.118774633,33.48526
84,8,4.0,0.121617691,34.48526
85,8,3.0,0.069333658,34.727889999999995
86,8,5.0,0.161547316,33.04157000000001
87,8,5.0,0.166957996,32.72789
88,8,7.0,0.232198255,33.313680000000005
89,8,3.0,0.041059363,32.656839999999995
90,8,22.0,0.692420292,32.62736000000001
91,9,8.0,0.229437845,38.79893999999999
92,9,14.0,0.399862323,39.28419999999999
93,9,7.0,0.124329754,38.35525
94,9,6.0,0.122443046,40.18366999999999
95,9,3.0,0.12273992,36.21315
96,9,2.0,0.038169278,38.24262999999999
97,9,2.0,0.047587912,38.65683999999999
98,9,2.0,0.048966405,39.65683999999999
99,9,2.0,0.026752068,39.41421
100,9,5.0,0.130697356,36.1421
101,10,10.0,0.238002026,41.55630999999998
102,10,9.0,0.217420651,42.38472999999998
103,10,9.0,0.240430326,42.213149999999985
104,10,9.0,0.276459516,42.18366999999999
105,10,9.0,0.391741817,40.556309999999996
106,10,6.0,0.331790812,43.79893999999999
107,10,7.0,0.215984917,40.21314999999999
108,10,6.0,0.222309516,40.28419999999999
109,10,3.0,0.111799669,42.59787999999999
110,10,10.0,0.486426839,40.45577999999999
111,11,8.0,0.258550972,44.59787999999999
112,11,3.0,0.093416113,44.071049999999985
113,11,3.0,0.120189791,44.89946999999998
114,11,2.0,0.022028778,44.0
115,11,3.0,0.101831282,47.071049999999985
116,11,9.0,0.286629381,47.89946999999998
117,11,13.0,0.515577733,46.01208999999998
118,11,6.0,0.228224263,46.426299999999976
119,11,6.0,0.18726621,46.84050999999998
120,11,4.0,0.17355423,45.31367999999998
121,12,8.0,0.307362341,48.42629999999998
122,12,3.0,0.134205279,49.668929999999975
123,12,8.0,0.262325176,51.25471999999997
124,12,3.0,0.131630579,48.25471999999998
125,12,8.0,0.259144378,52.66892999999997
126,12,3.0,0.140010233,48.31367999999998
127,12,3.0,0.140470256,49.668929999999975
128,12,13.0,0.734926812,49.941039999999994
129,12,7.0,0.459308711,48.62735999999998
130,12,20.0,1.137605553,48.79893999999999
131,13,12.0,0.407410416,52.42629999999998
132,13,Não consegui convergir...,,
133,13,8.0,0.268102975,54.083139999999965
134,13,14.0,0.600657012,55.49734999999996
135,13,9.0,0.620288883,53.112619999999964
136,13,13.0,0.631688273,54.84050999999997
137,13,9.0,0.656078109,53.76945999999997
138,13,9.0,0.614951003,54.11261999999996
139,13,15.0,0.68392714,52.18366999999998
140,13,12.0,0.704917678,52.45577999999999
141,14,8.0,0.375350096,56.25471999999996
142,14,24.0,1.318595275,59.01208999999996
143,14,17.0,0.795228222,58.25471999999996
144,14,15.0,0.897882573,56.91155999999996
145,14,11.0,0.495092245,56.49734999999996
146,14,24.0,1.533667046,56.35524999999997
147,14,20.0,1.40224893,56.35524999999997
148,14,13.0,0.575925558,58.32576999999996
149,14,19.0,1.031695016,58.083139999999965
150,14,10.0,0.481864525,58.32576999999996
151,15,7.0,0.402131759,60.568399999999954
152,15,11.0,0.742646804,60.08313999999996
153,15,6.0,0.388686259,60.73997999999996
154,15,6.0,0.312255748,61.15418999999995
155,15,18.0,0.922357044,61.73997999999996
156,15,11.0,0.447232568,61.32576999999996
157,15,11.0,0.482526644,61.15418999999996
158,15,18.0,0.639108727,60.911559999999945
159,15,17.0,0.790020539,61.32576999999996
160,15,12.0,0.769318915,62.15418999999996
