Teste,Bucket,Num. Solves,Total Time,Final Cost
1,0,2.0,0.001350737,1.0
2,0,2.0,0.001585013,2.0
3,0,2.0,0.002016468,3.4142099999999997
4,0,2.0,0.002025532,3.4142099999999997
5,0,2.0,0.001826454,3.0
6,0,2.0,0.002041629,3.8284199999999995
7,0,2.0,0.001339892,1.41421
8,0,2.0,0.001631098,2.0
9,0,2.0,0.001760401,3.0
10,0,2.0,0.00202925,3.4142099999999997
11,1,2.0,0.00268398,6.0
12,1,2.0,0.002834059,7.0
13,1,2.0,0.004709746,7.242629999999999
14,1,2.0,0.003776583,6.656839999999999
15,1,2.0,0.003783079,6.242629999999999
16,1,2.0,0.003018462,7.41421
17,1,2.0,0.002248458,5.0
18,1,2.0,0.004279477,6.8284199999999995
19,1,2.0,0.003698056,4.0
20,1,2.0,0.002641416,4.8284199999999995
21,2,3.0,0.009663057,8.242629999999998
22,2,2.0,0.010445273,11.82842
23,2,2.0,0.011027924,12.41421
24,2,2.0,0.010540039,11.656839999999999
25,2,2.0,0.005545741,8.07105
26,2,2.0,0.006112875,8.48526
27,2,3.0,0.015621139,11.48526
28,2,2.0,0.00370895,10.41421
29,2,3.0,0.014631094,10.07105
30,2,2.0,0.003355404,8.41421
31,3,2.0,0.014824753,13.727890000000002
32,3,2.0,0.004230101,12.41421
33,3,2.0,0.012153337,12.727890000000002
34,3,2.0,0.015154796,13.727890000000002
35,3,2.0,0.004313164,12.41421
36,3,2.0,0.004443919,13.0
37,3,2.0,0.01945692,16.24263
38,3,2.0,0.015201934,14.142100000000003
39,3,2.0,0.011707931,12.82842
40,3,2.0,0.00959325,12.242629999999998
41,4,2.0,0.005796909,17.41421
42,4,2.0,0.01938864,16.24263
43,4,2.0,0.028809116,17.142100000000003
44,4,2.0,0.005541654,16.41421
45,4,2.0,0.040908966,20.48526
46,4,2.0,0.019484876,19.41421
47,4,4.0,0.046146207,16.31368
48,4,2.0,0.02429801,16.31368
49,4,2.0,0.034500217,19.31368
50,4,2.0,0.03164337,19.970520000000004
51,5,3.0,0.06356017,23.970520000000004
52,5,2.0,0.052064524,21.970520000000004
53,5,5.0,0.153980277,22.142100000000003
54,5,2.0,0.069516129,23.313680000000005
55,5,4.0,0.05831397,23.65684
56,5,3.0,0.036484191,21.07105
57,5,2.0,0.038869634,20.65684
58,5,2.0,0.055318887,22.485260000000004
59,5,2.0,0.055699208,23.07105
60,5,3.0,0.042057831,20.89947
61,6,5.0,0.195069372,25.970520000000004
62,6,4.0,0.059699849,24.65684
63,6,3.0,0.079465851,24.727890000000002
64,6,2.0,0.067997654,27.86999000000001
65,6,3.0,0.109436401,24.970520000000004
66,6,2.0,0.039897479,24.242630000000002
67,6,2.0,0.082001579,26.89947
68,6,2.0,0.025147908,27.0
69,6,2.0,0.054164014,24.213150000000006
70,6,7.0,0.080320533,26.242630000000002
71,7,2.0,0.073803008,29.69841000000001
72,7,3.0,0.143641936,30.041570000000007
73,7,2.0,0.070692584,29.07105
74,7,3.0,0.084568333,31.48526
75,7,3.0,0.103119387,28.556310000000003
76,7,2.0,0.103557948,29.899470000000004
77,7,3.0,0.066372763,30.65684
78,7,2.0,0.107804952,28.727890000000002
79,7,2.0,0.031124246,28.82842
80,7,3.0,0.125148493,30.48526
81,8,2.0,0.118056266,35.94104
82,8,5.0,0.300505828,32.213150000000006
83,8,4.0,0.191926564,33.48526
84,8,3.0,0.152998393,34.48526
85,8,3.0,0.10382884,34.727889999999995
86,8,3.0,0.183506817,33.04157000000001
87,8,3.0,0.188846877,32.72789
88,8,3.0,0.177915375,33.31368
89,8,2.0,0.058054868,33.828419999999994
90,8,3.0,0.125964988,32.62736000000001
91,9,4.0,0.205037887,38.79893999999999
92,9,5.0,0.354804765,39.2842
93,9,2.0,0.129201507,37.769459999999995
94,9,2.0,0.144325538,39.597879999999996
95,9,2.0,0.171622748,36.21315
96,9,2.0,0.047358476,38.24262999999999
97,9,2.0,0.084833806,38.65683999999999
98,9,2.0,0.083863452,39.65683999999999
99,9,2.0,0.015193576,39.41421
100,9,3.0,0.118607382,36.14209999999999
101,10,3.0,0.143559727,41.55630999999998
102,10,3.0,0.174394855,42.384729999999976
103,10,3.0,0.184793656,42.21314999999998
104,10,3.0,0.247897209,42.183669999999985
