Teste,Bucket,Num. Solves,Total Time,Final Cost
1,0,2.0,0.002585159,1.0
2,0,2.0,0.002854858,2.0
3,0,2.0,0.00286918,3.4142099999999997
4,0,3.0,0.00373083,3.4142099999999997
5,0,2.0,0.002869567,3.0
6,0,2.0,0.00299582,3.8284199999999995
7,0,2.0,0.003427446,1.41421
8,0,2.0,0.002789261,2.0
9,0,2.0,0.002964734,3.0
10,0,2.0,0.002876996,3.4142099999999997
11,1,2.0,0.003169881,6.0
12,1,2.0,0.003188988,7.0
13,1,2.0,0.003178165,7.242629999999999
14,1,2.0,0.003058739,6.656839999999999
15,1,2.0,0.003153568,6.242629999999999
16,1,2.0,0.003352096,7.41421
17,1,2.0,0.003025376,5.0
18,1,2.0,0.003388298,6.8284199999999995
19,1,2.0,0.003305274,4.0
20,1,2.0,0.003097265,4.8284199999999995
21,2,2.0,0.003346963,9.41421
22,2,2.0,0.003627673,11.828420000000001
23,2,2.0,0.003615388,12.41421
24,2,2.0,0.003585761,11.65684
25,2,2.0,0.003150746,8.07105
26,2,2.0,0.00318699,8.48526
27,2,27.0,0.031774809,11.48526
28,2,2.0,0.003632312,10.41421
29,2,20.0,0.022888755,10.07105
30,2,2.0,0.003429921,8.41421
31,3,2.0,0.003617694,13.727890000000002
32,3,2.0,0.003870571,12.41421
33,3,2.0,0.003481248,12.727890000000002
34,3,2.0,0.003536509,13.727890000000002
35,3,2.0,0.003962579,12.41421
36,3,2.0,0.003931795,13.0
37,3,2.0,0.003944938,16.242630000000002
38,3,2.0,0.003555997,14.142100000000003
39,3,2.0,0.003754564,12.828420000000001
40,3,23.0,0.02798501,12.242630000000002
41,4,2.0,0.004190235,17.41421
42,4,2.0,0.004047906,16.242630000000002
43,4,2.0,0.003990332,17.142100000000003
44,4,2.0,0.004240257,16.41421
45,4,2.0,0.004161472,20.485260000000004
46,4,2.0,0.004334948,19.41421
47,4,2.0,0.003944506,17.485260000000004
48,4,2.0,0.003946852,16.31368
49,4,79.0,0.116011068,19.313680000000005
50,4,2.0,0.003996293,19.970520000000004
51,5,2.0,0.004563085,25.142100000000006
52,5,111.0,0.185247387,21.970520000000004
53,5,114.0,0.198962559,22.142100000000003
54,5,2.0,0.004570614,23.313680000000005
55,5,2.0,0.004703037,24.82842
56,5,2.0,0.004520975,22.242630000000002
57,5,2.0,0.004405202,20.656840000000003
58,5,128.0,0.228523692,23.071050000000003
59,5,2.0,0.004579437,23.071050000000003
60,5,2.0,0.004356503,22.071050000000003
61,6,132.0,0.249340243,25.970520000000004
62,6,2.0,0.004786262,25.82842
63,6,2.0,0.004918216,25.899470000000004
64,6,2.0,0.004526222,27.86999000000001
65,6,128.0,0.231635538,24.970520000000004
66,6,2.0,0.00473273,24.242630000000002
67,6,2.0,0.004870271,26.899470000000004
68,6,2.0,0.004965051,27.0
69,6,2.0,0.004299533,24.213150000000006
70,6,2.0,0.00501102,27.41421
71,7,2.0,0.004841766,29.69841000000001
72,7,175.0,0.352161196,30.041570000000007
73,7,2.0,0.005145177,29.071050000000003
74,7,2.0,0.005309445,32.65684
75,7,2.0,0.004888972,29.727890000000006
76,7,2.0,0.005164701,29.899470000000004
77,7,2.0,0.005389306,31.82842
78,7,2.0,0.005064905,28.727890000000006
79,7,2.0,0.005337766,28.82842
80,7,106.0,0.230360307,30.485260000000004
81,8,2.0,0.005160363,35.94104
82,8,237.0,0.505345155,32.213150000000006
83,8,2.0,0.005570355,33.48526
84,8,2.0,0.005610936,34.48526
85,8,2.0,0.005558489,35.899469999999994
86,8,241.0,0.516359518,33.04157000000001
87,8,192.0,0.420097492,32.72789
88,8,219.0,0.489322527,33.313680000000005
89,8,2.0,0.00546133,33.828419999999994
90,8,220.0,0.4519945,32.86999000000001
91,9,2.0,0.005873164,39.970519999999986
92,9,283.0,0.649666559,39.2842
93,9,2.0,0.005162268,37.769459999999995
94,9,2.0,0.005261674,39.597879999999996
95,9,2.0,0.0054531,36.21315
96,9,2.0,0.006116108,38.24262999999999
97,9,2.0,0.006314658,38.65683999999999
98,9,2.0,0.006183373,39.65683999999999
99,9,2.0,0.00628324,39.41421
100,9,2.0,0.00563348,37.31367999999999
101,10,2.0,0.005990904,42.72788999999998
102,10,2.0,0.006218945,43.556309999999975
103,10,2.0,0.006206737,43.384729999999976
104,10,275.0,0.666971215,42.183669999999985
105,10,297.0,0.754158909,40.556309999999996
106,10,405.0,1.058215362,43.79893999999999
107,10,2.0,0.00579263,41.38472999999998
108,10,2.0,0.005710662,41.45577999999999
109,10,2.0,0.005643764,42.59787999999999
110,10,2.0,0.005714486,40.45577999999999
111,11,324.0,0.847027435,44.59787999999998
112,11,2.0,0.006465547,44.071049999999985
113,11,2.0,0.006642059,44.89946999999998
114,11,2.0,0.006901195,44.0
115,11,2.0,0.00669029,47.071049999999985
116,11,2.0,0.006834338,47.89946999999998
117,11,357.0,0.934552224,46.01208999999998
118,11,2.0,0.005846256,46.426299999999976
119,11,2.0,0.005819995,46.84050999999998
120,11,2.0,0.006668706,45.31367999999998
121,12,395.0,1.075131522,48.426299999999976
122,12,415.0,1.159767418,49.668929999999975
123,12,2.0,0.005976348,50.08313999999997
124,12,2.0,0.005808303,48.25471999999998
125,12,2.0,0.006296666,51.49734999999997
126,12,2.0,0.006894977,48.31367999999998
127,12,2.0,0.006232669,49.668929999999975
128,12,2.0,0.006437532,49.94103999999997
129,12,534.0,1.48921429,48.62735999999998
130,12,532.0,1.501969996,48.798939999999995
131,13,486.0,1.449995045,52.426299999999976
132,13,583.0,1.750426353,54.426299999999976
133,13,2.0,0.006454566,52.911559999999966
134,13,542.0,1.645852479,55.49734999999996
135,13,658.0,1.920211881,53.112619999999986
136,13,609.0,1.845830039,54.84050999999997
137,13,2.0,0.006825237,53.76945999999996
138,13,672.0,1.992881912,54.11261999999998
139,13,554.0,1.637138206,52.18366999999998
140,13,636.0,1.835440186,52.45577999999999
141,14,582.0,1.799026519,56.25471999999996
142,14,629.0,1.988009137,57.01208999999997
143,14,639.0,2.03309938,58.25471999999996
144,14,2.0,0.006643305,56.91155999999996
145,14,578.0,1.769755347,56.49734999999996
146,14,2.0,0.006943326,56.355249999999955
147,14,717.0,2.200920863,56.355249999999984
148,14,2.0,0.006588032,58.325769999999956
149,14,556.0,1.720221728,56.911559999999966
150,14,603.0,1.909012686,58.32576999999996
151,15,2.0,0.006896012,60.56839999999995
152,15,2.0,0.006868964,60.08313999999995
153,15,649.0,2.165791463,60.73997999999996
154,15,600.0,1.924079198,60.568399999999954
155,15,625.0,2.054279083,61.15418999999996
156,15,717.0,2.36026012,61.32576999999996
157,15,665.0,2.179436686,61.15418999999996
158,15,2.0,0.007084961,60.91155999999995
159,15,691.0,2.258771939,61.32576999999996
160,15,629.0,2.12808848,62.15418999999996
