Teste,Bucket,Num. Solves,Total Time,Final Cost
1,0,2.0,0.00340741,1.0
2,0,4.0,0.006071171,2.0
3,0,4.0,0.008516724,3.4142099999999997
4,0,2.0,0.004458193,3.4142099999999997
5,0,4.0,0.008261938,3.0
6,0,4.0,0.009109395,3.8284199999999995
7,0,2.0,0.00327054,1.41421
8,0,4.0,0.006079713,2.0
9,0,4.0,0.007461106,3.0
10,0,4.0,0.00850263,3.4142099999999997
11,1,6.0,0.026181948,6.0
12,1,4.0,0.017759445,7.0
13,1,4.0,0.020125949,7.242629999999999
14,1,4.0,0.015999185,6.656839999999999
15,1,4.0,0.01677449,6.242629999999999
16,1,4.0,0.019685288,7.41421
17,1,4.0,0.010655174,5.0
18,1,5.0,0.027081989,6.8284199999999995
19,1,4.0,0.010720464,4.0
20,1,2.0,0.006673756,4.8284199999999995
21,2,4.0,0.026192948,8.24263
22,2,6.0,0.07086194,11.82842
23,2,6.0,0.062481311,11.82842
24,2,7.0,0.055878867,11.65684
25,2,6.0,0.027254129,8.07105
26,2,2.0,0.011657302,8.48526
27,2,8.0,0.062977401,11.48526
28,2,5.0,0.03747212,10.41421
29,2,4.0,0.033244683,10.07105
30,2,4.0,0.020928313,8.41421
31,3,4.0,0.038554934,13.727890000000002
32,3,6.0,0.053733153,12.41421
33,3,9.0,0.080412768,12.727890000000002
34,3,4.0,0.038432968,13.727890000000002
35,3,6.0,0.053317742,12.41421
36,3,8.0,0.083240876,13.0
37,3,4.0,0.048713067,15.071050000000001
38,3,8.0,0.086716217,14.142100000000003
39,3,7.0,0.084528901,12.82842
40,3,6.0,0.059705214,12.24263
41,4,4.0,0.051098223,17.41421
42,4,7.0,0.141841821,16.242630000000002
43,4,6.0,0.084345654,17.142100000000003
44,4,4.0,0.045999823,16.41421
45,4,7.0,0.169603372,19.31368
46,4,3.0,0.058449314,18.82842
47,4,5.0,0.123928478,16.89947
48,4,7.0,0.11815428,16.31368
49,4,6.0,0.135871754,19.31368
50,4,9.0,0.174088224,19.970520000000004
51,5,14.0,0.420668434,23.970520000000004
52,5,11.0,0.265102527,21.970520000000004
53,5,12.0,0.296439081,22.142100000000003
54,5,11.0,0.384718146,23.31368
55,5,5.0,0.153018026,24.48526
56,5,7.0,0.174883488,21.07105
57,5,4.0,0.105699999,20.65684
58,5,Não consegui convergir...,,
59,5,5.0,0.169275666,23.071050000000003
60,5,8.0,0.187645606,20.89947
61,6,12.0,0.465540438,25.970520000000004
62,6,6.0,0.187248247,25.48526
63,6,10.0,0.364901031,24.727890000000002
64,6,9.0,0.287731255,27.86999000000001
65,6,9.0,0.366894859,24.970520000000004
66,6,5.0,0.142377983,24.242630000000002
67,6,15.0,0.604439517,26.89947
68,6,6.0,0.136617172,26.65684
69,6,12.0,0.332271187,24.213150000000006
70,6,5.0,0.099182282,26.242630000000002
71,7,8.0,0.431133812,30.28420000000001
72,7,17.0,0.779910141,30.041570000000007
73,7,15.0,0.543066229,29.07105
74,7,9.0,0.33308317,31.485260000000004
75,7,14.0,0.62612073,28.556310000000003
76,7,13.0,0.605027951,29.89947
77,7,5.0,0.152117633,30.65684
78,7,11.0,0.440589445,28.727890000000002
79,7,7.0,0.174552282,28.82842
80,7,13.0,0.647598293,30.48526
81,8,12.0,0.671272096,35.94104
82,8,16.0,0.864610937,32.213150000000006
83,8,11.0,0.621428631,33.48526
84,8,11.0,0.512464078,34.48526
85,8,15.0,0.759906643,34.72789
86,8,16.0,0.868986197,33.04157000000001
87,8,11.0,0.665831527,32.72789
88,8,16.0,0.847174677,33.313680000000005
89,8,10.0,0.377340801,32.65684
90,8,Não consegui convergir...,,
91,9,14.0,0.800507474,38.798939999999995
92,9,17.0,1.271969987,39.28419999999999
93,9,9.0,0.669814705,37.76946
94,9,20.0,1.072595408,40.18366999999999
95,9,19.0,1.130131326,36.21315
96,9,13.0,0.692295476,38.24263
97,9,8.0,0.47065752,38.65683999999999
98,9,10.0,0.53086962,39.65683999999999
99,9,5.0,0.158687759,39.41421
100,9,12.0,0.728715564,36.14209999999999
101,10,27.0,1.526031462,41.556309999999996
102,10,18.0,1.293534648,42.38472999999999
103,10,15.0,1.136943511,43.041569999999986
104,10,14.0,1.122655024,42.18366999999999
105,10,20.0,1.482328717,40.556309999999996
106,10,20.0,1.466671159,43.79893999999999
107,10,24.0,1.643919913,40.213149999999985
108,10,20.0,1.517401788,40.28419999999999
109,10,18.0,1.128574434,42.59787999999999
110,10,21.0,1.435048462,40.45578
111,11,14.0,1.29043493,44.59787999999999
112,11,9.0,0.644670552,44.07104999999999
113,11,14.0,1.107173088,44.899469999999994
114,11,9.0,0.374938069,44.0
115,11,10.0,0.805661067,47.07104999999999
116,11,14.0,1.056013177,47.899469999999994
117,11,15.0,1.276675993,46.012089999999986
118,11,17.0,1.342602083,46.42629999999998
119,11,17.0,1.310195259,46.84050999999998
120,11,22.0,1.598482757,46.14209999999999
121,12,18.0,1.470379504,48.42629999999998
122,12,17.0,1.570471316,49.668929999999975
123,12,19.0,1.639371374,50.08313999999997
124,12,17.0,1.33893158,48.25471999999998
125,12,20.0,1.735546682,51.49734999999997
126,12,12.0,0.950398807,48.313679999999984
127,12,16.0,1.434065395,49.668929999999975
128,12,28.0,2.522782989,49.941039999999994
129,12,26.0,2.157021744,49.45577999999999
130,12,19.0,1.973189262,48.79893999999999
131,13,22.0,2.12410648,52.42629999999998
132,13,26.0,2.654495696,55.59787999999997
133,13,15.0,1.718759165,52.911559999999966
134,13,23.0,2.358610138,55.49734999999997
135,13,32.0,2.951295937,53.11261999999999
136,13,24.0,2.50815604,54.84050999999998
137,13,Não consegui convergir...,,
138,13,Não consegui convergir...,,
139,13,26.0,2.577106785,52.18366999999999
140,13,22.0,2.160647776,52.45578
141,14,21.0,2.315273665,56.25471999999997
142,14,25.0,2.846594149,57.01208999999997
143,14,24.0,2.682597274,58.25471999999997
144,14,25.0,2.513480301,56.911559999999966
145,14,22.0,2.307612826,56.49734999999997
146,14,34.0,3.557027218,56.35524999999997
147,14,36.0,3.489206883,57.18366999999999
148,14,25.0,2.357489531,58.32576999999996
149,14,18.0,2.232407886,56.911559999999966
150,14,20.0,2.329119676,58.32576999999996
151,15,16.0,1.906359031,60.568399999999954
152,15,28.0,2.908985377,60.08313999999995
153,15,24.0,2.686516681,60.73997999999996
154,15,15.0,1.985006097,59.98260999999995
155,15,25.0,3.001820855,61.15418999999996
156,15,28.0,3.183094905,61.32576999999996
157,15,23.0,2.678319996,61.15418999999996
158,15,25.0,2.85210727,60.91155999999995
159,15,22.0,2.631902009,62.15418999999996
160,15,20.0,2.51331663,62.98260999999995
