Teste,Bucket,Num. Solves,Total Time,Final Cost
1,0,2.0,0.00268905,1.0
2,0,2.0,0.002959443,2.0
3,0,2.0,0.014576822,3.4142099999999997
4,0,3.0,0.051669445,3.4142099999999997
5,0,2.0,0.003204059,3.0
6,0,3.0,0.029015043,3.8284199999999995
7,0,2.0,0.01063311,1.41421
8,0,2.0,0.002994298,2.0
9,0,2.0,0.003233264,3.0
10,0,2.0,0.014331033,3.4142099999999997
11,1,2.0,0.004072446,6.0
12,1,2.0,0.004007689,7.0
13,1,2.0,0.092259305,7.242629999999999
14,1,4.0,0.114786015,6.65684
15,1,4.0,0.092751379,6.242629999999999
16,1,2.0,0.042299939,7.41421
17,1,2.0,0.00360014,5.0
18,1,3.0,0.066067888,6.8284199999999995
19,1,2.0,0.003472724,4.0
20,1,3.0,0.027443127,4.8284199999999995
21,2,3.0,0.040973611,8.24263
22,2,3.0,0.105898868,11.828420000000001
23,2,3.0,0.039904254,11.828420000000001
24,2,4.0,0.306690306,11.65684
25,2,4.0,0.152554693,8.07105
26,2,4.0,0.166099821,8.48526
27,2,5.0,0.232330024,11.48526
28,2,2.0,0.042684038,10.41421
29,2,4.0,0.212171765,10.07105
30,2,2.0,0.042216197,8.41421
31,3,5.0,0.283478026,13.727890000000002
32,3,2.0,0.042745127,12.41421
33,3,6.0,0.541390158,12.727890000000002
34,3,5.0,0.301863513,13.727890000000002
35,3,2.0,0.042343574,12.41421
36,3,2.0,0.005520399,13.0
37,3,5.0,0.163987878,15.071050000000001
38,3,7.0,0.650282305,14.142100000000003
39,3,2.0,0.073543877,12.828420000000001
40,3,2.0,0.099388874,12.242630000000002
41,4,2.0,0.044662237,17.41421
42,4,2.0,0.092997445,16.242630000000002
43,4,8.0,0.976462119,17.142100000000003
44,4,2.0,0.043849824,16.41421
45,4,7.0,0.45234613,19.31368
46,4,3.0,0.088554845,18.82842
47,4,7.0,0.375291042,16.899470000000004
48,4,6.0,0.493213365,16.31368
49,4,8.0,0.785986932,19.313680000000005
50,4,8.0,1.006578443,19.970520000000004
51,5,8.0,0.795404221,23.970520000000004
52,5,7.0,0.846779573,21.970520000000004
53,5,8.0,0.943978311,22.142100000000003
54,5,11.0,1.689047702,23.313680000000005
55,5,3.0,0.136160923,23.656840000000003
56,5,5.0,0.192812554,21.07105
57,5,2.0,0.135297322,20.656840000000003
58,5,8.0,0.678992383,23.071050000000003
59,5,8.0,0.601778358,23.071050000000003
60,5,6.0,0.297092354,20.89947
61,6,9.0,1.032141413,25.970520000000004
62,6,4.0,0.14270106,24.656840000000003
63,6,7.0,0.596870645,24.727890000000002
64,6,7.0,1.326843496,27.86999000000001
65,6,6.0,0.872900371,24.970520000000004
66,6,2.0,0.09653226,24.242630000000002
67,6,4.0,0.619815815,26.899470000000004
68,6,3.0,0.029944041,25.82842
69,6,9.0,1.266381172,24.213150000000006
70,6,3.0,0.123522713,26.242630000000002
71,7,7.0,1.554562022,29.69841000000001
72,7,8.0,1.534789626,30.041570000000007
73,7,2.0,0.145695218,29.071050000000003
74,7,6.0,0.346872171,31.485260000000004
75,7,7.0,0.812156017,28.556310000000003
76,7,6.0,0.808199599,29.899470000000004
77,7,3.0,0.143026287,30.656840000000003
78,7,13.0,2.112270585,28.727890000000006
79,7,3.0,0.132636125,28.82842
80,7,8.0,1.055639122,30.485260000000004
81,8,9.0,2.243536179,35.94104
82,8,9.0,1.771452155,32.213150000000006
83,8,8.0,1.468395504,33.48526
84,8,5.0,0.75551114,34.48526
85,8,8.0,0.732657933,34.72789
86,8,11.0,2.118745865,33.04157000000001
87,8,11.0,1.997795027,32.72789
88,8,9.0,1.70518045,33.313680000000005
89,8,3.0,0.152521784,32.65684
90,8,10.0,2.347249274,32.86999000000001
91,9,10.0,1.943079243,38.79893999999999
92,9,10.0,2.692310692,39.2842
93,9,8.0,2.369870687,37.769459999999995
94,9,7.0,3.097822553,39.597879999999996
95,9,12.0,2.542578963,36.21315
96,9,2.0,0.100617375,38.24262999999999
97,9,2.0,0.1808169,38.65683999999999
98,9,2.0,0.179663985,39.65683999999999
99,9,2.0,0.057425277,39.41421
100,9,9.0,1.065059327,36.14209999999999
101,10,10.0,1.430556928,41.55630999999998
102,10,13.0,1.900533568,42.38472999999998
103,10,9.0,2.208194599,42.213149999999985
104,10,12.0,3.446794634,42.183669999999985
105,10,12.0,2.65174747,40.556309999999996
106,10,12.0,2.898425102,43.79893999999999
107,10,11.0,2.004464926,40.213149999999985
108,10,11.0,2.835830566,40.28419999999999
109,10,12.0,4.094355065,42.59787999999999
110,10,14.0,3.226550931,40.45577999999999
111,11,11.0,4.100016088,44.59787999999998
112,11,2.0,0.151430544,44.071049999999985
113,11,14.0,2.041126895,44.899469999999994
114,11,2.0,0.011951125,44.0
115,11,2.0,0.152114502,47.071049999999985
116,11,13.0,1.966803401,47.89947
117,11,11.0,4.598292221,46.01208999999998
118,11,12.0,4.861464707,46.426299999999976
119,11,12.0,4.486599362,46.84050999999998
120,11,16.0,2.833962782,45.31368
121,12,13.0,4.878784369,48.426299999999976
122,12,13.0,4.940895281,49.668929999999975
123,12,12.0,5.183662802,50.08313999999997
124,12,15.0,5.647250261,48.25471999999998
125,12,12.0,5.980466761,51.49734999999997
126,12,2.0,0.30820681,48.31367999999998
127,12,12.0,5.230250839,49.668929999999975
128,12,15.0,6.42042529,49.94103999999997
129,12,13.0,3.787534007,48.62735999999998
130,12,13.0,3.647390809,48.798939999999995
131,13,14.0,7.301027698,52.426299999999976
132,13,17.0,6.94936623,54.426299999999976
133,13,14.0,7.265226975,52.911559999999966
134,13,21.0,8.768453055,55.49734999999996
135,13,18.0,6.629523976,53.112619999999986
136,13,17.0,7.885626355,54.84050999999997
137,13,15.0,6.389913497,53.769459999999974
138,13,15.0,6.348173275,54.112619999999986
139,13,16.0,6.115650911,52.18366999999998
140,13,18.0,5.910757647,52.45577999999999
141,14,19.0,8.669169113,56.25471999999996
142,14,17.0,8.641300824,57.01208999999997
143,14,22.0,9.473104102,58.25471999999996
144,14,18.0,8.177709056,56.91155999999996
145,14,15.0,7.247429755,56.49734999999996
146,14,20.0,7.538816807,56.355249999999984
147,14,15.0,6.772611172,56.355249999999984
148,14,14.0,7.319063488,58.325769999999956
149,14,12.0,6.588634654,56.911559999999966
150,14,14.0,7.750503027,58.32576999999996
151,15,14.0,8.950273276,60.56839999999995
152,15,15.0,6.848840052,60.08313999999996
153,15,17.0,9.770766503,60.73997999999996
154,15,15.0,7.825459948,60.568399999999954
155,15,15.0,7.672104293,61.15418999999996
156,15,20.0,10.116430196,61.32576999999996
157,15,17.0,9.291211687,61.15418999999996
158,15,20.0,9.048868519,60.91155999999995
159,15,20.0,10.172040609,61.32576999999996
160,15,21.0,10.243256962,62.15418999999996
