Teste,Bucket,Num. Solves,Total Time,Final Cost
1,0,2.0,0.001231296,1.41421
2,0,2.0,0.042602267,1.41421
3,0,2.0,0.00112959,2.0
4,0,1.0,1.1826e-05,0.0
5,0,2.0,0.043912046,1.41421
6,0,2.0,0.127760213,3.4142099999999997
7,0,2.0,0.000959712,1.0
8,0,2.0,0.086642739,2.82842
9,0,2.0,0.00135345,3.0
10,0,3.0,0.088748515,3.8284199999999995
11,1,2.0,0.001737221,5.0
12,1,3.0,0.305633947,5.8284199999999995
13,1,3.0,0.024021971,4.8284199999999995
14,1,3.0,0.131308264,6.242629999999999
15,1,4.0,0.439898085,6.65684
16,1,2.0,0.003753955,6.41421
17,1,2.0,0.133653175,4.41421
18,1,3.0,0.22381037,4.8284199999999995
19,1,3.0,0.418508866,7.8284199999999995
20,1,2.0,0.143789759,7.41421
21,2,2.0,0.177950527,9.41421
22,2,2.0,0.400107711,9.24263
23,2,4.0,0.573556865,11.65684
24,2,4.0,1.232138161,10.07105
25,2,2.0,0.131024846,8.41421
26,2,2.0,0.003130408,11.0
27,2,2.0,0.33165308,9.41421
28,2,2.0,0.178835943,8.41421
29,2,3.0,0.2248532,11.41421
30,2,2.0,0.340918147,10.24263
31,3,2.0,0.180255175,12.41421
32,3,4.0,2.159194439,12.65684
33,3,2.0,0.554433184,15.41421
34,3,4.0,0.811755413,12.071050000000001
35,3,3.0,0.466840595,12.242630000000002
36,3,6.0,1.06126662,14.899470000000003
37,3,4.0,2.026292998,12.485260000000002
38,3,2.0,0.314401965,12.656840000000003
39,3,4.0,0.842468528,13.828420000000001
40,3,4.0,1.905903327,13.65684
41,4,5.0,0.945445298,17.656840000000003
42,4,4.0,1.088287628,17.071050000000003
43,4,2.0,0.566143647,19.485260000000004
44,4,6.0,1.126069736,18.31368
45,4,5.0,0.794480765,17.242630000000002
46,4,5.0,1.261259045,17.31368
47,4,6.0,1.366367893,17.727890000000002
48,4,7.0,2.844618714,17.899470000000004
49,4,2.0,0.689924563,17.899470000000004
50,4,7.0,2.929060884,18.313680000000005
51,5,5.0,2.278100105,20.970520000000004
52,5,2.0,0.540061354,20.071050000000003
53,5,6.0,11.861094816,22.727890000000002
54,5,3.0,6.752100009,23.727890000000002
55,5,6.0,1.617760263,23.071050000000003
56,5,6.0,1.800878198,21.727890000000006
57,5,6.0,2.278910836,21.142100000000003
58,5,4.0,0.773051762,20.485260000000004
59,5,4.0,5.41254202,22.31368
60,5,5.0,5.451168278,22.727890000000002
61,6,5.0,2.312893302,25.727890000000006
62,6,6.0,2.959803978,24.970520000000004
63,6,4.0,6.189909215,24.31368
64,6,2.0,0.621640835,26.071050000000003
65,6,2.0,0.153244499,24.41421
66,6,4.0,2.011541292,27.556310000000007
