Teste,Bucket,Num. Solves,Total Time,Final Cost
1,0,2.0,0.00296844,1.0
2,0,2.0,0.003471674,2.0
3,0,2.0,0.003863585,3.4142099999999997
4,0,3.0,0.005075558,3.4142099999999997
5,0,2.0,0.003649435,3.0
6,0,2.0,0.003720674,3.8284199999999995
7,0,2.0,0.00300399,1.41421
8,0,2.0,0.003459393,2.0
9,0,2.0,0.003772806,3.0
10,0,2.0,0.003748832,3.4142099999999997
11,1,2.0,0.005126252,6.0
12,1,2.0,0.005159713,7.0
13,1,2.0,0.005223455,7.242629999999999
14,1,2.0,0.004634974,6.656839999999999
15,1,2.0,0.004837339,6.242629999999999
16,1,2.0,0.005710525,7.41421
17,1,2.0,0.004566637,5.0
18,1,2.0,0.005339825,6.8284199999999995
19,1,2.0,0.00437723,4.0
20,1,2.0,0.004311346,4.8284199999999995
21,2,2.0,0.005956486,9.41421
22,2,2.0,0.007433844,11.828420000000001
23,2,2.0,0.007201925,12.41421
24,2,2.0,0.006410503,11.65684
25,2,2.0,0.005178776,8.07105
26,2,2.0,0.00525372,8.48526
27,2,27.0,0.07732052,11.48526
28,2,2.0,0.007423883,10.41421
29,2,20.0,0.053215597,10.07105
30,2,2.0,0.006072271,8.41421
31,3,2.0,0.006987857,13.727890000000002
32,3,2.0,0.00802459,12.41421
33,3,2.0,0.006526292,12.727890000000002
34,3,2.0,0.007184467,13.727890000000002
35,3,2.0,0.00808106,12.41421
36,3,2.0,0.008427408,13.0
37,3,2.0,0.008635841,16.242630000000002
38,3,2.0,0.006834965,14.142100000000003
39,3,2.0,0.007985047,12.828420000000001
40,3,23.0,0.070894685,12.242630000000002
41,4,2.0,0.01047928,17.41421
42,4,2.0,0.009536618,16.242630000000002
43,4,2.0,0.007956348,17.142100000000003
44,4,2.0,0.009812842,16.41421
45,4,2.0,0.01035781,20.485260000000004
46,4,2.0,0.009927384,19.41421
47,4,2.0,0.008701637,17.485260000000004
48,4,2.0,0.008502735,16.31368
49,4,79.0,0.343442782,19.313680000000005
50,4,2.0,0.00905663,19.970520000000004
51,5,2.0,0.011110857,25.142100000000006
52,5,111.0,0.594818739,21.970520000000004
53,5,114.0,0.679836723,22.142100000000003
54,5,2.0,0.011328964,23.313680000000005
55,5,2.0,0.011767325,24.82842
56,5,2.0,0.010708415,22.242630000000002
57,5,2.0,0.011384973,20.656840000000003
58,5,128.0,0.796375042,23.071050000000003
59,5,2.0,0.012202891,23.071050000000003
60,5,2.0,0.010499142,22.071050000000003
61,6,132.0,0.873094058,25.970520000000004
62,6,2.0,0.012101523,25.82842
63,6,2.0,0.011736994,25.899470000000004
64,6,2.0,0.011980111,27.86999000000001
65,6,128.0,0.816351371,24.970520000000004
66,6,2.0,0.013334723,24.242630000000002
67,6,2.0,0.014252865,26.899470000000004
68,6,2.0,0.012917864,27.0
69,6,2.0,0.011131248,24.213150000000006
70,6,2.0,0.012863582,27.41421
71,7,2.0,0.012387622,29.69841000000001
72,7,175.0,1.251085031,30.041570000000007
73,7,2.0,0.016123322,29.071050000000003
74,7,2.0,0.015374651,32.65684
75,7,2.0,0.013352,29.727890000000006
76,7,2.0,0.016003463,29.899470000000004
77,7,2.0,0.014288974,31.82842
78,7,2.0,0.014610969,28.727890000000006
79,7,2.0,0.015973463,28.82842
80,7,106.0,0.87556284,30.485260000000004
81,8,2.0,0.014326909,35.94104
82,8,237.0,1.844924538,32.213150000000006
83,8,2.0,0.016681317,33.48526
84,8,2.0,0.017293814,34.48526
85,8,2.0,0.016108849,35.899469999999994
86,8,241.0,1.896790351,33.04157000000001
87,8,192.0,1.492798772,32.72789
88,8,219.0,1.79323497,33.313680000000005
89,8,2.0,0.015324333,33.828419999999994
90,8,220.0,1.726973717,32.86999000000001
91,9,2.0,0.016506081,39.970519999999986
92,9,283.0,2.418157923,39.2842
93,9,2.0,0.015123382,37.769459999999995
94,9,2.0,0.015624644,39.597879999999996
95,9,2.0,0.016407487,36.21315
96,9,2.0,0.019834348,38.24262999999999
97,9,2.0,0.020000076,38.65683999999999
98,9,2.0,0.020599242,39.65683999999999
99,9,2.0,0.020806367,39.41421
100,9,2.0,0.016597731,37.31367999999999
101,10,2.0,0.018443143,42.72788999999998
102,10,2.0,0.017536515,43.556309999999975
103,10,2.0,0.017873616,43.384729999999976
104,10,275.0,2.631626203,42.183669999999985
105,10,297.0,2.97583121,40.556309999999996
106,10,405.0,4.157730118,43.79893999999999
107,10,2.0,0.01674731,41.38472999999998
108,10,2.0,0.016812981,41.45577999999999
109,10,2.0,0.017408936,42.59787999999999
110,10,2.0,0.018355663,40.45577999999999
111,11,324.0,3.310750901,44.59787999999998
112,11,2.0,0.022156036,44.071049999999985
113,11,2.0,0.021826549,44.89946999999998
114,11,2.0,0.022867728,44.0
115,11,2.0,0.023092316,47.071049999999985
116,11,2.0,0.027948502,47.89946999999998
117,11,357.0,3.682997442,46.01208999999998
118,11,2.0,0.018409085,46.426299999999976
119,11,2.0,0.018331752,46.84050999999998
120,11,2.0,0.022145844,45.31367999999998
121,12,395.0,4.460709767,48.426299999999976
122,12,415.0,4.455059413,49.668929999999975
123,12,2.0,0.018958792,50.08313999999997
124,12,2.0,0.019248463,48.25471999999998
125,12,2.0,0.020680178,51.49734999999997
126,12,2.0,0.02320554,48.31367999999998
127,12,2.0,0.01916443,49.668929999999975
128,12,2.0,0.021499851,49.94103999999997
129,12,534.0,6.082750568,48.62735999999998
130,12,532.0,5.928680324,48.798939999999995
131,13,486.0,5.870291596,52.426299999999976
132,13,583.0,7.420305762,54.426299999999976
133,13,2.0,0.019584561,52.911559999999966
134,13,542.0,6.646330288,55.49734999999996
135,13,658.0,8.23451779,53.112619999999986
136,13,609.0,7.584332271,54.84050999999997
137,13,2.0,0.024025886,53.76945999999996
138,13,672.0,8.153424866,54.11261999999998
139,13,554.0,6.692485025,52.18366999999998
140,13,636.0,7.631199832,52.45577999999999
141,14,582.0,7.49507075,56.25471999999996
142,14,629.0,8.065921373,57.01208999999997
143,14,639.0,8.245717839,58.25471999999996
144,14,2.0,0.021417026,56.91155999999996
145,14,578.0,7.504352461,56.49734999999996
146,14,2.0,0.02379092,56.355249999999955
147,14,717.0,8.589216841,56.355249999999984
148,14,2.0,0.021023725,58.325769999999956
149,14,556.0,7.107803051,56.911559999999966
150,14,603.0,8.276040647,58.32576999999996
151,15,2.0,0.021451326,60.56839999999995
152,15,2.0,0.023055453,60.08313999999995
153,15,649.0,8.545009528,60.73997999999996
154,15,600.0,7.845867237,60.568399999999954
155,15,625.0,8.300096567,61.15418999999996
156,15,717.0,9.674188773,61.32576999999996
157,15,665.0,8.794223211,61.15418999999996
158,15,2.0,0.02250191,60.91155999999995
159,15,691.0,9.177008753,61.32576999999996
160,15,629.0,8.63035324,62.15418999999996
