Teste,Bucket,Num. Solves,Total Time,Final Cost
1,0,2.0,0.003643284,1.0
2,0,4.0,0.007461582,2.0
3,0,4.0,0.009817402,3.4142099999999997
4,0,2.0,0.00538536,3.4142099999999997
5,0,4.0,0.009320855,3.0
6,0,4.0,0.009857925,3.8284199999999995
7,0,2.0,0.003798318,1.41421
8,0,4.0,0.007407471,2.0
9,0,4.0,0.008866839,3.0
10,0,4.0,0.010181031,3.4142099999999997
11,1,6.0,0.030693773,6.0
12,1,6.0,0.027665141,7.0
13,1,4.0,0.02294881,7.242629999999999
14,1,4.0,0.016294497,6.656839999999999
15,1,4.0,0.017189599,6.242629999999999
16,1,4.0,0.023227838,7.41421
17,1,4.0,0.012236944,5.0
18,1,5.0,0.028763248,6.8284199999999995
19,1,4.0,0.012337947,4.0
20,1,2.0,0.007324159,4.8284199999999995
21,2,4.0,0.018773544,8.24263
22,2,6.0,0.073961213,11.82842
23,2,5.0,0.036403874,11.828420000000001
24,2,7.0,0.054668391,11.65684
25,2,6.0,0.030872678,8.07105
26,2,2.0,0.012045938,8.48526
27,2,6.0,0.043610122,11.48526
28,2,5.0,0.041652317,10.41421
29,2,4.0,0.025718795,10.07105
30,2,4.0,0.025534655,8.41421
31,3,4.0,0.0404263,13.727890000000002
32,3,6.0,0.062276325,12.41421
33,3,9.0,0.083778483,12.727890000000002
34,3,8.0,0.091035632,13.727890000000002
35,3,6.0,0.062599225,12.41421
36,3,8.0,0.096848795,13.0
37,3,5.0,0.053028765,15.071050000000001
38,3,8.0,0.088558843,14.142100000000003
39,3,6.0,0.081930083,12.82842
40,3,6.0,0.059739901,12.24263
41,4,4.0,0.060781752,17.41421
42,4,7.0,0.148063303,16.242630000000002
43,4,6.0,0.087280933,17.142100000000003
44,4,4.0,0.056635442,16.41421
45,4,11.0,0.1729933,19.31368
46,4,4.0,0.050809903,18.82842
47,4,4.0,0.078213155,16.89947
48,4,7.0,0.12083451,16.31368
49,4,7.0,0.141830226,19.31368
50,4,9.0,0.172884978,19.970520000000004
51,5,6.0,0.173966069,23.970520000000004
52,5,10.0,0.261441701,21.970520000000004
53,5,7.0,0.213688804,22.142100000000003
54,5,9.0,0.321416646,23.31368
55,5,7.0,0.172327731,24.48526
56,5,7.0,0.119568724,21.07105
57,5,9.0,0.278784315,21.48526
58,5,8.0,0.25962188,23.07105
59,5,10.0,0.355513892,23.07105
60,5,10.0,0.203073164,20.89947
61,6,9.0,0.339448193,25.970520000000004
62,6,7.0,0.183743639,25.48526
63,6,7.0,0.211965178,24.727890000000002
64,6,4.0,0.136704414,27.86999000000001
65,6,10.0,0.333386414,24.970520000000004
66,6,9.0,0.280363403,24.24263
67,6,8.0,0.404271104,26.89947
68,6,6.0,0.136100867,26.65684
69,6,10.0,0.266299786,24.213150000000006
70,6,2.0,0.052039587,26.242630000000002
71,7,2.0,0.093235615,29.69841000000001
72,7,9.0,0.382340375,30.041570000000007
73,7,10.0,0.482988871,29.07105
74,7,6.0,0.20543451,31.485260000000004
75,7,8.0,0.325409668,28.556310000000003
76,7,7.0,0.382465461,29.89947
77,7,8.0,0.266369195,30.656840000000003
78,7,11.0,0.570128237,28.727890000000002
79,7,6.0,0.249323009,28.82842
80,7,12.0,0.624452503,30.48526
81,8,4.0,0.27778731,35.94104
82,8,10.0,0.580767802,32.213150000000006
83,8,11.0,0.716081099,33.48526
84,8,11.0,0.819395999,34.48526
85,8,8.0,0.340233485,34.727889999999995
86,8,10.0,0.652850127,33.04157000000001
87,8,10.0,0.705859864,32.72789
88,8,10.0,0.706925747,34.1421
89,8,7.0,0.300067085,32.65684
90,8,7.0,0.38227566,32.86999000000001
91,9,15.0,1.130325079,38.79893999999999
92,9,14.0,0.964767879,39.2842
93,9,6.0,0.388749713,37.769459999999995
94,9,15.0,0.921044846,40.18366999999999
95,9,17.0,1.22356577,36.21315
96,9,7.0,0.285437118,38.24262999999999
97,9,9.0,0.545627966,38.65683999999999
