Teste,Bucket,Num. Solves,Total Time,Final Cost
1,0,2.0,0.001639188,1.41421
2,0,2.0,0.002101939,1.41421
3,0,4.0,0.007566397,2.0
4,0,1.0,1.1545e-05,0.0
5,0,2.0,0.002294438,1.41421
6,0,4.0,0.01011943,3.4142099999999997
7,0,2.0,0.002217909,1.0
8,0,2.0,0.003746021,2.82842
9,0,4.0,0.011339039,3.0
10,0,4.0,0.01073483,3.8284199999999995
11,1,4.0,0.014854325,5.0
12,1,5.0,0.023667105,5.8284199999999995
13,1,4.0,0.013361732,4.8284199999999995
14,1,4.0,0.015127255,6.242629999999999
15,1,4.0,0.015168803,6.656839999999999
16,1,4.0,0.013963891,6.41421
17,1,4.0,0.012162075,4.41421
18,1,4.0,0.017128125,4.8284199999999995
19,1,5.0,0.038743189,7.8284199999999995
20,1,4.0,0.022604174,7.41421
21,2,5.0,0.03803424,9.41421
22,2,6.0,0.049368936,9.24263
23,2,4.0,0.037293178,11.65684
24,2,4.0,0.031505609,10.07105
25,2,4.0,0.024688696,8.41421
26,2,7.0,0.057643834,11.0
27,2,5.0,0.039892346,9.41421
28,2,4.0,0.026673867,8.41421
29,2,6.0,0.055615981,11.41421
30,2,2.0,0.017251241,10.24263
31,3,6.0,0.059262883,12.41421
32,3,6.0,0.061232479,12.65684
33,3,4.0,0.04192952,15.41421
34,3,6.0,0.049123513,12.071050000000001
35,3,8.0,0.075615901,12.24263
36,3,7.0,0.072423961,14.89947
37,3,4.0,0.052515215,12.48526
38,3,5.0,0.054842525,12.65684
39,3,4.0,0.040071096,13.828420000000001
40,3,8.0,0.078784947,13.65684
41,4,6.0,0.094118421,17.656840000000003
42,4,8.0,0.117411587,17.071050000000003
43,4,7.0,0.138401862,19.485260000000004
44,4,6.0,0.093192122,18.31368
45,4,5.0,0.09508615,17.242630000000002
46,4,4.0,0.059007209,17.31368
47,4,2.0,0.035967336,17.727890000000002
48,4,6.0,0.095164792,17.899470000000004
49,4,8.0,0.14760992,17.89947
50,4,2.0,0.040193431,18.313680000000005
51,5,8.0,0.153541422,20.970520000000004
52,5,8.0,0.151930504,20.071050000000003
53,5,9.0,0.189368146,22.727890000000002
54,5,9.0,0.212584171,23.727890000000002
55,5,6.0,0.185106897,23.071050000000003
56,5,2.0,0.046502846,21.142100000000006
57,5,5.0,0.128216227,21.142100000000003
58,5,8.0,0.167073794,20.485260000000004
59,5,7.0,0.162671153,22.31368
60,5,8.0,0.178672523,22.727890000000002
61,6,5.0,0.149379961,25.142100000000006
62,6,6.0,0.135835299,24.970520000000004
63,6,9.0,0.244976155,24.31368
64,6,5.0,0.194753683,26.071050000000003
65,6,4.0,0.079524558,24.41421
66,6,4.0,0.144199867,27.556310000000007
67,6,7.0,0.187448447,24.727890000000002
68,6,5.0,0.208274491,27.899470000000004
69,6,6.0,0.240782937,27.485260000000004
70,6,8.0,0.277881043,25.142100000000003
71,7,7.0,0.264370423,28.556310000000007
72,7,5.0,0.19953129,28.556310000000007
73,7,11.0,0.524839489,29.142100000000003
74,7,10.0,0.371557612,29.727890000000002
75,7,7.0,0.346687618,29.071050000000003
76,7,7.0,0.338158877,31.142100000000003
77,7,8.0,0.353413317,30.727890000000002
78,7,11.0,0.521419595,31.970520000000004
79,7,5.0,0.25821171,31.970520000000008
80,7,5.0,0.241670789,30.556310000000007
81,8,8.0,0.419469462,34.213150000000006
82,8,5.0,0.250676265,34.79894
83,8,3.0,0.161199612,34.72789
84,8,5.0,0.219243058,33.72789
85,8,5.0,0.218584341,34.313680000000005
86,8,7.0,0.420419085,32.97052
87,8,7.0,0.400654202,32.65684
88,8,7.0,0.34625145,34.213150000000006
89,8,6.0,0.294532816,32.384730000000005
90,8,5.0,0.220633832,33.72789
91,9,6.0,0.340679814,35.62736
92,9,5.0,0.311349093,36.21315
93,9,6.0,0.337589677,36.384730000000005
94,9,4.0,0.201267331,36.1421
95,9,7.0,0.453863547,38.556309999999996
96,9,11.0,0.685407222,39.97051999999999
97,9,11.0,0.726816382,37.79894
98,9,9.0,0.581997472,37.556309999999996
99,9,4.0,0.20895503,36.556309999999996
100,9,7.0,0.503722192,39.97052
101,10,5.0,0.452623698,40.384730000000005
102,10,6.0,0.629124433,40.79894
103,10,6.0,0.294772447,41.24262999999999
104,10,7.0,0.64644347,39.79894
105,10,Não consegui convergir...,,
106,10,11.0,0.920568976,40.31367999999999
107,10,18.0,1.434980901,41.89946999999999
108,10,10.0,0.786464065,41.071049999999985
109,10,7.0,0.344070712,41.24262999999999
110,10,9.0,0.860112137,42.55631
111,11,10.0,0.889352271,44.45578
112,11,10.0,0.942427677,44.869989999999994
113,11,10.0,0.892309842,45.48525999999999
114,11,4.0,0.209470837,44.828419999999994
115,11,7.0,0.44075116,44.07104999999999
116,11,4.0,0.281156901,44.82842
117,11,7.0,0.379746202,45.24263
118,11,7.0,1.18734889,43.627359999999996
119,11,13.0,1.943851897,45.45578
120,11,8.0,0.645638327,46.899469999999994
121,12,11.0,0.837855745,52.65683999999999
122,12,8.0,0.619008161,48.24263
123,12,7.0,0.517451353,49.656839999999995
124,12,6.0,0.447787872,50.656839999999995
125,12,11.0,0.903995001,50.65684
126,12,10.0,0.977139247,49.48526
127,12,10.0,0.929468662,51.899469999999994
128,12,46.0,5.594454882,49.94104
129,12,11.0,1.065669176,49.556309999999996
130,12,14.0,1.32127685,49.1421
131,13,Não consegui convergir...,,
132,13,7.0,0.57951995,54.24262999999999
133,13,9.0,0.791231239,54.071049999999985
134,13,Não consegui convergir...,,
135,13,12.0,1.518804764,54.89946999999999
136,13,8.0,0.616001151,55.656839999999995
137,13,Não consegui convergir...,,
138,13,7.0,0.716902199,52.48526
139,13,11.0,1.33024089,55.899469999999994
140,13,8.0,0.888876526,54.72788999999999
141,14,11.0,2.106545611,59.41421
142,14,10.0,0.702571123,56.24262999999999
143,14,7.0,0.807600168,57.65683999999999
144,14,8.0,0.812108104,57.828419999999994
145,14,23.0,3.249793378,56.828419999999994
146,14,15.0,2.051223731,56.071049999999985
147,14,6.0,0.49271655,56.24262999999999
148,14,12.0,1.45301583,59.071049999999985
149,14,14.0,1.677224996,59.65683999999999
150,14,8.0,1.330616279,56.89946999999999
151,15,Não consegui convergir...,,
152,15,Não consegui convergir...,,
153,15,20.0,3.34259818,63.55630999999997
154,15,11.0,1.893538492,60.65683999999999
155,15,8.0,1.090238566,61.071049999999985
156,15,10.0,1.492202544,60.65683999999999
157,15,Não consegui convergir...,,
158,15,Não consegui convergir...,,
159,15,12.0,1.936050342,62.48525999999998
160,15,Não consegui convergir...,,
161,16,22.0,4.517264502,74.11261999999996
162,16,15.0,2.914708608,72.11261999999998
163,16,11.0,2.345792306,73.69840999999998
164,16,Não consegui convergir...,,
165,16,13.0,2.882613635,75.69840999999998
166,16,19.0,4.050147467,75.35524999999997
167,16,Não consegui convergir...,,
168,16,Não consegui convergir...,,
169,16,Não consegui convergir...,,
170,16,13.0,2.958931253,73.52682999999998
