Teste,Bucket,Num. Solves,Total Time,Final Cost
1,0,2.0,0.003195519,1.0
2,0,2.0,0.003620696,2.0
3,0,2.0,0.06376231,3.4142099999999997
4,0,2.0,0.112136053,3.4142099999999997
5,0,2.0,0.004047506,3.0
6,0,3.0,0.121153773,3.8284199999999995
7,0,2.0,0.005942202,1.41421
8,0,2.0,0.003589504,2.0
9,0,2.0,0.004116665,3.0
10,0,2.0,0.065709738,3.4142099999999997
11,1,2.0,0.009842411,6.0
12,1,2.0,0.005832781,7.0
13,1,3.0,0.076791688,7.242629999999999
14,1,3.0,0.212943372,6.65684
15,1,3.0,0.072308458,6.242629999999999
16,1,2.0,0.2467201,7.41421
17,1,2.0,0.004940925,5.0
18,1,3.0,0.127299573,6.8284199999999995
19,1,2.0,0.004836862,4.0
20,1,3.0,0.055012752,4.8284199999999995
21,2,3.0,0.038686227,8.24263
22,2,3.0,0.128524234,11.828420000000001
23,2,3.0,0.049394437,11.828420000000001
24,2,3.0,0.221369233,11.65684
25,2,2.0,0.265822329,8.07105
26,2,3.0,0.425268789,8.48526
27,2,3.0,0.236807759,11.48526
28,2,2.0,0.191209802,10.41421
29,2,3.0,0.171056744,10.07105
30,2,2.0,0.06738157,8.41421
31,3,3.0,0.237882797,13.727890000000002
32,3,2.0,0.068719038,12.41421
33,3,4.0,0.930558611,12.727890000000002
34,3,3.0,0.31084767,13.727890000000002
35,3,2.0,0.168217873,12.41421
36,3,2.0,0.010096041,13.0
37,3,3.0,0.122279727,15.071050000000001
38,3,3.0,0.730026837,14.142100000000003
39,3,3.0,0.373972676,12.828420000000001
40,3,3.0,0.120012715,12.242630000000002
41,4,2.0,0.073253152,17.41421
42,4,3.0,0.243848436,16.242630000000002
43,4,5.0,1.478370308,17.142100000000003
44,4,2.0,0.240325612,16.41421
45,4,3.0,0.280808953,19.31368
46,4,3.0,0.064060096,18.82842
47,4,3.0,0.295789773,16.899470000000004
48,4,3.0,0.542886578,16.31368
49,4,4.0,0.700147881,19.313680000000005
50,4,5.0,1.402183807,19.970520000000004
51,5,3.0,0.663508773,23.970520000000004
52,5,3.0,0.736491622,21.970520000000004
53,5,3.0,0.857336444,22.142100000000003
54,5,6.0,2.082783699,23.313680000000005
55,5,3.0,0.100742546,23.656840000000003
56,5,3.0,0.126559567,21.07105
57,5,2.0,1.107259027,20.656840000000003
58,5,5.0,0.744718238,23.071050000000003
59,5,4.0,0.578861959,23.071050000000003
60,5,3.0,0.259653373,20.89947
61,6,5.0,1.125340329,25.970520000000004
62,6,3.0,0.085315822,24.656840000000003
63,6,3.0,0.386350609,24.727890000000002
64,6,3.0,1.56423179,27.86999000000001
65,6,4.0,1.096422347,24.970520000000004
66,6,2.0,0.478320619,24.242630000000002
67,6,6.0,2.322911186,26.899470000000004
68,6,3.0,0.034794119,25.82842
69,6,3.0,1.216901465,24.213150000000006
70,6,3.0,0.457063374,26.242630000000002
71,7,3.0,1.785320525,29.69841000000001
72,7,4.0,1.696711054,30.041570000000007
73,7,4.0,0.796781265,29.071050000000003
74,7,3.0,0.230469616,31.485260000000004
75,7,4.0,0.648842004,28.556310000000003
76,7,5.0,1.026739413,29.899470000000004
77,7,3.0,0.119939776,30.656840000000003
78,7,5.0,2.160466701,28.727890000000006
79,7,3.0,0.482838077,28.82842
80,7,7.0,2.455886377,30.485260000000004
81,8,4.0,2.657657419,35.94104
82,8,4.0,1.572770524,32.213150000000006
83,8,2.0,1.120600569,33.48526
84,8,2.0,1.25916681,34.48526
85,8,3.0,0.538204306,34.72789
86,8,6.0,2.128876662,33.04157000000001
87,8,4.0,2.718995837,32.72789
88,8,5.0,2.063338255,33.313680000000005
89,8,3.0,0.132693984,32.65684
90,8,5.0,2.302233141,32.86999000000001
91,9,4.0,1.310467867,38.79893999999999
92,9,4.0,2.3464031,39.2842
93,9,4.0,2.839676363,37.769459999999995
94,9,5.0,3.321469643,39.597879999999996
95,9,5.0,2.022998556,36.21315
96,9,2.0,0.496190535,38.24262999999999
97,9,6.0,3.178668434,38.65683999999999
98,9,3.0,1.178772879,39.65683999999999
99,9,2.0,0.109014531,39.41421
100,9,4.0,0.696240085,36.14209999999999
101,10,4.0,0.986439567,41.55630999999998
102,10,5.0,1.27752229,42.38472999999998
103,10,5.0,1.887597973,42.213149999999985
104,10,6.0,4.127681564,42.183669999999985
105,10,4.0,1.948513929,40.556309999999996
106,10,5.0,2.753608902,43.79893999999999
107,10,4.0,2.053203297,40.213149999999985
108,10,6.0,2.568798852,40.28419999999999
109,10,6.0,4.167655449,42.59787999999999
110,10,6.0,3.20981308,40.45577999999999
111,11,5.0,4.09561058,44.59787999999998
112,11,2.0,0.751184765,44.071049999999985
113,11,6.0,1.691851606,44.899469999999994
114,11,2.0,0.028835623,44.0
115,11,5.0,1.588449177,47.07105
116,11,6.0,2.622635335,47.89947
117,11,6.0,5.426929186,46.01208999999998
118,11,6.0,5.060235001,46.426299999999976
119,11,6.0,5.177894032,46.84050999999998
120,11,8.0,4.109112005,45.31368
121,12,7.0,6.23971168,48.426299999999976
122,12,7.0,6.474937306,49.668929999999975
123,12,6.0,5.181555889,50.08313999999997
124,12,6.0,5.48286811,48.25471999999998
125,12,7.0,5.768035177,51.49734999999997
126,12,7.0,1.90968673,48.313679999999984
127,12,6.0,6.113753316,49.668929999999975
128,12,7.0,5.50936476,49.94103999999997
129,12,7.0,4.482698212,48.62735999999998
130,12,5.0,3.213400315,48.798939999999995
131,13,7.0,6.377863385,52.426299999999976
132,13,7.0,6.644591663,54.426299999999976
133,13,7.0,8.18913439,52.911559999999966
134,13,6.0,8.448385338,55.49734999999996
135,13,9.0,6.409729886,53.112619999999986
136,13,6.0,8.132785739,54.84050999999997
137,13,8.0,6.343471528,53.769459999999974
138,13,7.0,6.931700764,54.112619999999986
139,13,7.0,7.38383928,52.18366999999998
140,13,7.0,5.348057465,52.45577999999999
141,14,8.0,9.93125907,56.25471999999996
142,14,8.0,9.239974681,57.01208999999997
143,14,8.0,9.513811274,58.25471999999996
144,14,8.0,9.61582282,56.91155999999996
145,14,7.0,8.781125401,56.49734999999996
146,14,7.0,7.026840446,56.355249999999984
147,14,8.0,7.482635409,56.355249999999984
148,14,7.0,7.985539575,58.325769999999956
149,14,7.0,7.021996206,56.911559999999966
150,14,7.0,8.705797962,58.32576999999996
151,15,6.0,8.05967438,60.56839999999995
152,15,8.0,7.033554344,60.08313999999996
153,15,7.0,10.242318708,60.73997999999996
154,15,6.0,8.785978866,60.568399999999954
155,15,7.0,9.441454917,61.15418999999996
156,15,8.0,9.746089082,61.32576999999996
157,15,7.0,10.305398574,61.15418999999996
158,15,8.0,8.085789818,60.91155999999995
159,15,8.0,9.403615621,61.32576999999996
160,15,8.0,9.526532954,62.15418999999996
