Teste,Bucket,Num. Solves,Total Time,Final Cost
1,0,2.0,0.001516162,1.41421
2,0,2.0,0.001585302,1.41421
3,0,2.0,0.002143653,2.0
4,0,1.0,1.2084e-05,0.0
5,0,2.0,0.004154131,1.41421
6,0,3.0,0.005323114,3.4142099999999997
7,0,2.0,0.001688935,1.0
8,0,2.0,0.002399521,2.82842
9,0,2.0,0.00297933,3.0
10,0,3.0,0.004865726,3.8284199999999995
11,1,2.0,0.004321943,5.0
12,1,2.0,0.004919544,5.8284199999999995
13,1,2.0,0.003785366,4.8284199999999995
14,1,2.0,0.004845461,6.242629999999999
15,1,4.0,0.011357941,6.656839999999999
16,1,2.0,0.005036011,6.41421
17,1,2.0,0.004107612,4.41421
18,1,2.0,0.004200428,4.8284199999999995
19,1,2.0,0.007557543,7.8284199999999995
20,1,2.0,0.007356503,7.41421
21,2,2.0,0.009087945,9.41421
22,2,2.0,0.008787075,9.24263
23,2,2.0,0.010899316,11.65684
24,2,2.0,0.008045519,10.07105
25,2,2.0,0.007493523,8.41421
26,2,2.0,0.008629902,11.0
27,2,2.0,0.009055369,9.41421
28,2,2.0,0.00812719,8.41421
29,2,2.0,0.010642766,11.41421
30,2,2.0,0.009825734,10.24263
31,3,2.0,0.010624513,12.41421
32,3,7.0,0.043302607,12.656839999999999
33,3,2.0,0.013407025,15.41421
34,3,6.0,0.033055748,12.07105
35,3,2.0,0.010888338,12.242630000000002
36,3,5.0,0.033281719,14.89947
37,3,4.0,0.02601982,12.48526
38,3,2.0,0.013181473,12.656840000000003
39,3,3.0,0.020825251,13.828420000000001
40,3,3.0,0.022185924,13.65684
41,4,3.0,0.03071227,17.656840000000003
42,4,3.0,0.028876684,17.071050000000003
43,4,4.0,0.047809769,19.485260000000004
44,4,7.0,0.067054956,18.31368
45,4,3.0,0.030955073,17.242630000000002
46,4,5.0,0.048415272,17.31368
47,4,5.0,0.045561034,17.727890000000002
48,4,4.0,0.042657685,17.899470000000004
49,4,4.0,0.045040279,17.899470000000004
50,4,4.0,0.042977957,18.313680000000005
51,5,5.0,0.05137765,20.970520000000004
52,5,2.0,0.023718946,20.071050000000003
53,5,8.0,0.106223403,23.31368
54,5,10.0,0.137883287,23.727890000000002
55,5,2.0,0.030588414,23.071050000000003
56,5,4.0,0.044734783,21.142100000000006
57,5,5.0,0.066360257,21.142100000000003
58,5,4.0,0.052940461,20.485260000000004
59,5,13.0,0.170154759,22.31368
60,5,7.0,0.095814479,22.727890000000002
61,6,8.0,0.136941144,25.727890000000006
62,6,7.0,0.122561342,24.970520000000004
63,6,7.0,0.097262342,24.31368
64,6,2.0,0.037144852,26.071050000000003
65,6,2.0,0.025021474,24.41421
66,6,5.0,0.082153616,27.556310000000007
67,6,15.0,0.223330641,24.727890000000002
68,6,4.0,0.090595906,27.899470000000004
69,6,4.0,0.083487222,27.485260000000004
70,6,4.0,0.073477322,25.142100000000006
71,7,5.0,0.08411719,28.556310000000007
72,7,10.0,0.177244488,29.142100000000006
73,7,Não consegui convergir...,,
74,7,7.0,0.156321775,29.727890000000002
75,7,2.0,0.045418193,29.071050000000003
76,7,10.0,0.219614713,31.142100000000003
77,7,11.0,0.240811236,30.727890000000002
78,7,6.0,0.156026204,31.970520000000004
79,7,3.0,0.08183335,31.142100000000006
80,7,11.0,0.304499801,32.55631
81,8,10.0,0.257937289,34.213150000000006
82,8,3.0,0.077458142,34.79894
83,8,11.0,0.275739695,34.72789
84,8,15.0,0.376967776,33.72789
85,8,9.0,0.210818353,34.89947000000001
86,8,6.0,0.16717592,32.97052
87,8,2.0,0.050143176,32.65684
88,8,12.0,0.346842237,34.213150000000006
89,8,3.0,0.07784714,32.384730000000005
90,8,10.0,0.247701151,34.313680000000005
91,9,8.0,0.254109922,35.62736
92,9,3.0,0.086282056,36.21315
93,9,11.0,0.335648934,36.384730000000005
94,9,11.0,0.28086281,36.72789
95,9,19.0,0.632192747,38.556309999999996
96,9,33.0,1.222555138,40.556309999999996
97,9,15.0,0.533179348,38.97052
98,9,9.0,0.294659333,37.556309999999996
99,9,6.0,0.148163472,37.142100000000006
100,9,32.0,1.041419801,39.97052
101,10,31.0,1.320453929,40.384730000000005
102,10,21.0,0.930107235,41.38473
103,10,12.0,0.4029103,42.07104999999999
104,10,12.0,0.503823112,40.97052
105,10,46.0,1.964482385,42.556309999999996
106,10,10.0,0.350902993,40.31367999999999
107,10,14.0,0.547114756,41.313680000000005
108,10,16.0,0.614513836,41.899469999999994
109,10,12.0,0.366707936,42.07104999999999
110,10,Não consegui convergir...,,
111,11,30.0,1.56767243,45.28419999999999
112,11,7.0,0.356963343,46.041569999999986
113,11,8.0,0.198319388,44.65683999999999
114,11,5.0,0.123165673,44.828419999999994
115,11,8.0,0.282043045,44.07104999999999
116,11,7.0,0.193761008,44.82842
117,11,10.0,0.328303202,45.24263
118,11,11.0,0.505188281,44.798939999999995
119,11,10.0,0.589671287,46.04156999999999
120,11,13.0,0.622526967,46.899469999999994
121,12,7.0,0.266816162,52.65684
122,12,13.0,0.496112209,49.07105
123,12,4.0,0.154264197,49.656839999999995
124,12,11.0,0.416169571,50.656839999999995
125,12,13.0,0.685891013,50.65684
126,12,5.0,0.219587787,49.48526
127,12,Não consegui convergir...,,
128,12,40.0,2.048406018,49.45578
129,12,10.0,0.427036268,49.556309999999996
130,12,8.0,0.297346913,49.727889999999995
131,13,59.0,4.168456612,56.72788999999998
132,13,10.0,0.511979327,55.071049999999985
133,13,8.0,0.381819472,54.071049999999985
134,13,42.0,2.798425484,58.79893999999999
135,13,13.0,0.640536212,55.72788999999999
136,13,5.0,0.220956747,55.656839999999995
137,13,Não consegui convergir...,,
138,13,7.0,0.306998281,52.48526
139,13,5.0,0.23851199,56.48526
140,13,27.0,1.639382053,55.55630999999999
141,14,66.0,6.539894908,61.31367999999999
142,14,5.0,0.214297809,56.24262999999999
143,14,12.0,0.645871278,58.48525999999999
144,14,4.0,0.156204136,57.828419999999994
145,14,97.0,9.999898917,58.48526
146,14,83.0,6.004334549,56.071049999999985
147,14,11.0,0.736171957,57.899469999999994
148,14,7.0,0.486014117,59.071049999999985
149,14,7.0,0.303449916,59.65683999999999
150,14,21.0,1.678298337,58.55630999999998
151,15,58.0,6.182792701,64.48526
152,15,91.0,8.484582442,63.79893999999997
153,15,316.0,31.143123199,62.727889999999974
154,15,9.0,0.658503891,61.48525999999999
155,15,12.0,0.632576726,62.72788999999999
156,15,8.0,0.375340618,61.48525999999998
157,15,152.0,14.717487594,64.55630999999998
158,15,24.0,1.898452216,62.384729999999976
159,15,11.0,0.741120374,62.48525999999998
160,15,105.0,10.051365425,60.89946999999999
161,16,153.0,19.844436899,69.97051999999998
162,16,80.0,9.99099044,64.89947
163,16,Não consegui convergir...,,
164,16,32.0,3.034323121,67.38472999999998
165,16,160.0,17.447265177,67.07105
166,16,125.0,12.48890547,67.89947
167,16,220.0,20.613788842,64.72788999999999
