Teste,Bucket,Num. Solves,Total Time,Final Cost
1,0,2.0,0.002169775,1.41421
2,0,2.0,0.002163407,1.41421
3,0,2.0,0.002907031,2.0
4,0,1.0,6.887e-06,0.0
5,0,2.0,0.002176187,1.41421
6,0,2.0,0.003787209,3.4142099999999997
7,0,2.0,0.002240987,1.0
8,0,2.0,0.002882234,2.82842
9,0,2.0,0.003456653,3.0
10,0,2.0,0.003656203,3.8284199999999995
11,1,2.0,0.004567952,5.0
12,1,2.0,0.005892656,5.8284199999999995
13,1,2.0,0.004261618,4.8284199999999995
14,1,2.0,0.005560412,6.242629999999999
15,1,2.0,0.005947659,6.656839999999999
16,1,2.0,0.005336404,6.41421
17,1,2.0,0.004314864,4.41421
18,1,2.0,0.005088143,4.8284199999999995
19,1,2.0,0.008684487,7.8284199999999995
20,1,2.0,0.006079575,7.41421
21,2,2.0,0.008411829,9.41421
22,2,2.0,0.010379476,9.242629999999998
23,2,2.0,0.015614594,11.656839999999999
24,2,2.0,0.009480366,10.07105
25,2,2.0,0.006702109,8.41421
26,2,2.0,0.008430916,11.0
27,2,2.0,0.007247771,9.41421
28,2,2.0,0.007004185,8.41421
29,2,2.0,0.009855347,11.41421
30,2,2.0,0.011738533,10.24263
31,3,2.0,0.008923625,12.41421
32,3,2.0,0.017857653,12.656839999999999
33,3,2.0,0.014860219,15.41421
34,3,2.0,0.015350316,12.07105
35,3,2.0,0.013650335,12.242629999999998
36,3,2.0,0.019792932,14.89947
37,3,2.0,0.015685727,12.48526
38,3,2.0,0.018259737,12.656839999999999
39,3,2.0,0.016346229,13.828420000000001
40,3,2.0,0.023401585,13.656839999999999
41,4,2.0,0.023511356,17.656840000000003
42,4,2.0,0.024429885,17.071050000000003
43,4,2.0,0.033261099,19.485260000000004
44,4,2.0,0.029051111,18.31368
45,4,3.0,0.036338046,17.24263
46,4,2.0,0.028254555,17.31368
47,4,2.0,0.029022513,17.727890000000002
48,4,2.0,0.031369586,17.899470000000004
49,4,2.0,0.034638152,17.89947
50,4,2.0,0.030223494,18.313680000000005
51,5,2.0,0.032785441,20.970520000000004
52,5,2.0,0.034700422,20.071050000000003
53,5,7.0,0.188176145,22.727890000000002
54,5,4.0,0.127565978,23.727890000000002
55,5,2.0,0.047348692,23.071050000000003
56,5,2.0,0.032748099,21.142100000000006
57,5,3.0,0.04690431,21.142100000000003
58,5,2.0,0.036813152,20.485260000000004
59,5,8.0,0.192137714,22.31368
60,5,3.0,0.060101428,22.727890000000002
61,6,3.0,0.083432681,24.556310000000007
62,6,3.0,0.072264373,24.970520000000004
63,6,5.0,0.126117141,24.31368
64,6,2.0,0.057376335,26.071050000000003
65,6,2.0,0.018210836,24.41421
66,6,4.0,0.114623395,26.970520000000008
67,6,3.0,0.06827852,24.727890000000002
68,6,3.0,0.095516746,27.899470000000004
69,6,3.0,0.096128849,27.485260000000004
70,6,2.0,0.063048316,25.142100000000006
71,7,2.0,0.059137029,27.970520000000008
72,7,5.0,0.181731175,28.556310000000007
73,7,8.0,0.471474405,29.142100000000003
74,7,3.0,0.099234527,29.727890000000002
75,7,2.0,0.06982121,29.071050000000003
76,7,5.0,0.353288489,31.142100000000003
77,7,4.0,0.116582014,30.727890000000002
78,7,6.0,0.19491145,31.970520000000004
79,7,4.0,0.229386407,29.970520000000008
80,7,3.0,0.158385198,31.142100000000006
81,8,4.0,0.231932388,33.62736
82,8,3.0,0.182681957,34.213150000000006
83,8,3.0,0.147828521,34.1421
84,8,3.0,0.147618432,33.142100000000006
85,8,3.0,0.144279732,33.72789
86,8,4.0,0.188731518,32.97052000000001
87,8,2.0,0.071472795,32.65684
88,8,4.0,0.226397177,33.04157000000001
89,8,4.0,0.218950526,31.21315000000001
90,8,4.0,0.153373501,33.142100000000006
91,9,4.0,0.258458421,35.04157000000001
