Teste,Bucket,Num. Solves,Total Time,Final Cost
1,0,2.0,0.001561147,1.41421
2,0,2.0,0.001539784,1.41421
3,0,2.0,0.002153183,2.0
4,0,1.0,1.1979e-05,0.0
5,0,2.0,0.00152518,1.41421
6,0,2.0,0.002876574,3.4142099999999997
7,0,2.0,0.00147989,1.0
8,0,2.0,0.002176625,2.82842
9,0,2.0,0.00271392,3.0
10,0,3.0,0.00473779,3.8284199999999995
11,1,2.0,0.003618161,5.0
12,1,7.0,0.018232233,5.8284199999999995
13,1,5.0,0.009564035,4.8284199999999995
14,1,7.0,0.018743609,6.242629999999999
15,1,7.0,0.018854893,6.65684
16,1,2.0,0.004321296,6.41421
17,1,2.0,0.003600207,4.41421
18,1,6.0,0.012301004,4.8284199999999995
19,1,12.0,0.042479414,7.8284199999999995
20,1,2.0,0.005244605,7.41421
21,2,2.0,0.006151505,9.41421
22,2,14.0,0.054657061,9.24263
23,2,22.0,0.099781539,11.65684
24,2,13.0,0.046938956,10.07105
25,2,2.0,0.006004315,8.41421
26,2,2.0,0.006919125,11.0
27,2,2.0,0.00620235,9.41421
28,2,2.0,0.005742134,8.41421
29,2,3.0,0.011167119,11.41421
30,2,16.0,0.064031812,10.24263
31,3,2.0,0.00800667,12.41421
32,3,20.0,0.132668998,12.65684
33,3,16.0,0.104088334,15.41421
34,3,23.0,0.129269747,12.071050000000001
35,3,13.0,0.055662138,12.242630000000002
36,3,24.0,0.155313511,14.899470000000003
37,3,24.0,0.106786822,12.485260000000002
38,3,26.0,0.127530384,12.65684
39,3,18.0,0.113303208,13.828420000000001
40,3,19.0,0.150330158,13.65684
41,4,23.0,0.187434776,17.656840000000003
42,4,25.0,0.196427549,17.071050000000003
43,4,33.0,0.269701239,19.485260000000004
44,4,34.0,0.249380792,18.31368
45,4,26.0,0.281439272,17.242630000000002
46,4,27.0,0.190805598,17.31368
47,4,28.0,0.202283378,17.727890000000002
48,4,27.0,0.230978309,17.899470000000004
49,4,39.0,0.279044725,17.899470000000004
50,4,25.0,0.211720853,18.313680000000005
51,5,31.0,0.313131147,20.970520000000004
52,5,24.0,0.214879971,20.071050000000003
53,5,26.0,0.361707539,22.727890000000002
54,5,29.0,0.642177976,23.727890000000002
55,5,32.0,0.349147479,23.071050000000003
56,5,37.0,0.326828066,21.727890000000006
57,5,31.0,0.314106735,21.142100000000003
58,5,36.0,0.29627174,20.485260000000004
59,5,35.0,0.555567896,22.31368
