Teste,Bucket,Num. Solves,Total Time,Final Cost
1,0,2.0,0.001716975,1.41421
2,0,2.0,0.002143583,1.41421
3,0,4.0,0.007643936,2.0
4,0,1.0,1.2047e-05,0.0
5,0,2.0,0.002421754,1.41421
6,0,4.0,0.010235935,3.4142099999999997
7,0,2.0,0.002419435,1.0
8,0,2.0,0.003584183,2.82842
9,0,4.0,0.011144719,3.0
10,0,4.0,0.01092554,3.8284199999999995
11,1,4.0,0.014723962,5.0
12,1,5.0,0.022976897,5.8284199999999995
13,1,4.0,0.013239278,4.8284199999999995
14,1,4.0,0.01484175,6.242629999999999
15,1,4.0,0.014700584,6.656839999999999
16,1,4.0,0.014040874,6.41421
17,1,4.0,0.011942508,4.41421
18,1,4.0,0.017404708,4.8284199999999995
19,1,5.0,0.038220831,7.8284199999999995
20,1,4.0,0.023101044,7.41421
21,2,5.0,0.037101038,9.41421
22,2,6.0,0.049483392,9.24263
23,2,4.0,0.037490813,11.65684
24,2,4.0,0.032687518,10.07105
25,2,4.0,0.023728879,8.41421
26,2,7.0,0.058805235,11.0
27,2,5.0,0.039989792,9.41421
28,2,4.0,0.026342756,8.41421
29,2,6.0,0.055271028,11.41421
30,2,2.0,0.017670462,10.24263
31,3,6.0,0.059402621,12.41421
32,3,6.0,0.062518132,12.65684
33,3,4.0,0.04203924,15.41421
34,3,6.0,0.047743389,12.071050000000001
35,3,8.0,0.076129753,12.24263
36,3,7.0,0.079305601,14.89947
37,3,4.0,0.053082496,12.48526
38,3,5.0,0.055281996,12.65684
39,3,4.0,0.040350734,13.828420000000001
40,3,8.0,0.076258651,13.65684
41,4,6.0,0.092052031,17.656840000000003
42,4,8.0,0.114363852,17.071050000000003
43,4,7.0,0.13944441,19.485260000000004
44,4,6.0,0.093626249,18.31368
45,4,5.0,0.095611437,17.242630000000002
46,4,4.0,0.059448503,17.31368
47,4,2.0,0.03610141,17.727890000000002
48,4,6.0,0.094225217,17.899470000000004
49,4,8.0,0.148537136,17.89947
50,4,2.0,0.040566124,18.313680000000005
51,5,8.0,0.154520703,20.970520000000004
52,5,8.0,0.151971872,20.071050000000003
53,5,9.0,0.189259577,22.727890000000002
54,5,9.0,0.20742604,23.727890000000002
55,5,6.0,0.184048909,23.071050000000003
56,5,2.0,0.046688979,21.142100000000006
57,5,5.0,0.129218146,21.142100000000003
58,5,8.0,0.165623936,20.485260000000004
59,5,7.0,0.166030136,22.31368
60,5,8.0,0.183626671,22.727890000000002
61,6,5.0,0.14995334,25.142100000000006
62,6,6.0,0.139176943,24.970520000000004
63,6,9.0,0.24502365,24.31368
64,6,5.0,0.196083908,26.071050000000003
65,6,4.0,0.077672462,24.41421
66,6,4.0,0.14386806,27.556310000000007
67,6,7.0,0.187171972,24.727890000000002
68,6,4.0,0.178172439,27.899470000000004
69,6,7.0,0.268193495,27.485260000000004
70,6,8.0,0.274650501,25.142100000000003
71,7,7.0,0.266570483,28.556310000000007
72,7,5.0,0.200284633,28.556310000000007
73,7,11.0,0.523072341,29.142100000000003
74,7,10.0,0.367754705,29.727890000000002
75,7,7.0,0.327395172,29.071050000000003
76,7,8.0,0.441474343,31.142100000000003
77,7,8.0,0.400922786,30.727890000000002
78,7,10.0,0.539867121,31.970520000000004
79,7,6.0,0.286127513,31.970520000000008
80,7,5.0,0.241091058,30.556310000000007
81,8,8.0,0.41812355,34.213150000000006
82,8,5.0,0.253804415,34.79894
83,8,3.0,0.159859897,34.72789
84,8,5.0,0.221710494,33.72789
85,8,5.0,0.217072742,34.313680000000005
86,8,12.0,0.593958198,32.97052000000001
87,8,11.0,0.572238449,32.65684
88,8,7.0,0.347041922,34.213150000000006
89,8,6.0,0.287871374,32.384730000000005
90,8,5.0,0.215272738,33.72789
91,9,5.0,0.268352752,35.62736
92,9,6.0,0.348313807,36.21315
93,9,6.0,0.350677883,36.384730000000005
94,9,4.0,0.203864051,36.1421
95,9,6.0,0.392467986,38.556309999999996
96,9,7.0,0.488682322,39.97051999999999
97,9,8.0,0.524018651,38.38473
98,9,9.0,0.574793361,37.556309999999996
99,9,4.0,0.211074822,36.556309999999996
100,9,10.0,0.603227138,39.97052
101,10,20.0,1.413600065,40.97052
102,10,8.0,0.898533191,40.79894
103,10,6.0,0.29505659,41.24262999999999
104,10,8.0,1.039628643,39.79894
105,10,11.0,0.833604672,40.556309999999996
106,10,13.0,1.048088114,40.31367999999999
107,10,14.0,1.049530898,41.89946999999999
108,10,11.0,0.837203503,41.071049999999985
109,10,7.0,0.342339588,41.24262999999999
110,10,20.0,1.437140372,43.627359999999996
111,11,10.0,0.89726004,44.45578
112,11,13.0,1.51280395,44.86998999999999
113,11,9.0,0.667141677,45.48525999999999
114,11,4.0,0.209986614,44.828419999999994
115,11,8.0,0.516292545,44.07104999999999
116,11,10.0,0.641489408,45.656839999999995
117,11,6.0,0.385382914,45.24263
