Teste,Bucket,Num. Solves,Total Time,Final Cost
1,0,2.0,0.001708236,1.0
2,0,2.0,0.00222121,2.0
3,0,2.0,0.003095115,3.4142099999999997
4,0,2.0,0.002595207,3.4142099999999997
5,0,2.0,0.002582064,3.0
6,0,2.0,0.002776852,3.8284199999999995
7,0,2.0,0.001794594,1.41421
8,0,2.0,0.002172357,2.0
9,0,2.0,0.002528497,3.0
10,0,2.0,0.002898356,3.4142099999999997
11,1,2.0,0.004465281,6.0
12,1,2.0,0.004232168,7.0
13,1,2.0,0.006511753,7.242629999999999
14,1,2.0,0.005077105,6.656839999999999
15,1,2.0,0.005587986,6.242629999999999
16,1,2.0,0.00536098,7.41421
17,1,2.0,0.003421743,5.0
18,1,2.0,0.006020694,6.8284199999999995
19,1,2.0,0.003366031,4.0
20,1,2.0,0.003831759,4.8284199999999995
21,2,2.0,0.006130663,8.242629999999998
22,2,2.0,0.013890453,11.82842
23,2,2.0,0.009158159,11.82842
24,2,2.0,0.011557326,11.656839999999999
25,2,2.0,0.007224441,8.07105
26,2,2.0,0.007703022,8.48526
27,2,2.0,0.010836745,11.48526
28,2,2.0,0.007206312,10.41421
29,2,2.0,0.008581027,10.07105
30,2,2.0,0.006119016,8.41421
31,3,2.0,0.017427071,13.727890000000002
32,3,2.0,0.008410886,12.41421
33,3,2.0,0.01399232,12.727890000000002
34,3,2.0,0.01639143,13.727890000000002
35,3,2.0,0.008473647,12.41421
36,3,2.0,0.008803797,13.0
37,3,2.0,0.014875425,15.07105
38,3,2.0,0.017066769,14.142100000000003
39,3,2.0,0.015444421,12.82842
40,3,2.0,0.011728855,12.242629999999998
41,4,2.0,0.011616334,17.41421
42,4,2.0,0.022401758,16.24263
43,4,2.0,0.030756836,17.142100000000003
44,4,2.0,0.011107193,16.41421
45,4,2.0,0.030492584,19.31368
46,4,2.0,0.011280788,18.82842
47,4,2.0,0.023274979,16.89947
48,4,2.0,0.028160307,16.31368
49,4,2.0,0.0339564,19.31368
50,4,2.0,0.033270124,19.970520000000004
51,5,2.0,0.055612544,23.970520000000004
52,5,2.0,0.051046113,21.970520000000004
53,5,7.0,0.228876804,22.142100000000003
54,5,2.0,0.073014736,23.313680000000005
55,5,2.0,0.029953262,23.65684
56,5,2.0,0.029501268,21.07105
57,5,2.0,0.04302496,20.65684
58,5,2.0,0.059751185,22.485260000000004
59,5,2.0,0.06128426,23.07105
60,5,2.0,0.036382144,20.89947
61,6,4.0,0.130786845,25.970520000000004
62,6,2.0,0.031265932,24.65684
63,6,2.0,0.053248161,24.727890000000002
64,6,2.0,0.065492834,27.86999000000001
65,6,3.0,0.087935439,24.970520000000004
66,6,2.0,0.045953839,24.242630000000002
67,6,2.0,0.089653172,26.89947
68,6,2.0,0.015917746,25.82842
69,6,2.0,0.055123292,24.213150000000006
70,6,2.0,0.027235585,26.242630000000002
71,7,2.0,0.073409481,29.69841000000001
72,7,3.0,0.125384026,30.041570000000007
73,7,2.0,0.078337727,29.07105
74,7,2.0,0.058939681,31.48526
75,7,2.0,0.075076875,28.556310000000003
76,7,2.0,0.109310156,32.72789
77,7,2.0,0.041323818,30.65684
78,7,2.0,0.109128274,28.727890000000002
79,7,2.0,0.040351445,28.82842
80,7,3.0,0.129394481,30.48526
81,8,2.0,0.116010494,35.94104
82,8,3.0,0.170268044,32.213150000000006
83,8,5.0,0.234835452,33.48526
84,8,3.0,0.156853241,34.48526
85,8,2.0,0.086705862,34.727889999999995
86,8,4.0,0.206927766,33.04157000000001
87,8,3.0,0.176934894,32.72789
88,8,3.0,0.177184738,33.31368
89,8,2.0,0.037367917,32.656839999999995
90,8,8.0,0.381628597,32.62736
91,9,2.0,0.131513008,38.79893999999999
92,9,2.0,0.157547181,39.28419999999999
93,9,2.0,0.128573809,40.59787999999999
94,9,2.0,0.136522607,39.597879999999996
95,9,2.0,0.168695243,36.21315
96,9,2.0,0.060720428,38.24262999999999
97,9,2.0,0.096566024,38.65683999999999
98,9,2.0,0.097292455,39.65683999999999
99,9,2.0,0.029233498,39.41421
100,9,2.0,0.100400352,36.14209999999999
101,10,2.0,0.128019201,41.55630999999998
102,10,2.0,0.152398314,42.384729999999976
103,10,2.0,0.159054977,42.21314999999998
104,10,3.0,0.241139675,42.183669999999985
105,10,3.0,0.30965083,40.556309999999996
106,10,4.0,0.457743977,43.79893999999998
107,10,2.0,0.153175226,40.213149999999985
108,10,2.0,0.170200862,40.28419999999999
109,10,2.0,0.179943237,42.59787999999999
110,10,2.0,0.207392976,40.45577999999999
111,11,3.0,0.272289055,46.59787999999999
112,11,2.0,0.133240599,44.071049999999985
113,11,2.0,0.190484332,44.89946999999998
114,11,2.0,0.034218779,44.0
115,11,2.0,0.15234817,47.071049999999985
116,11,2.0,0.196843494,47.89946999999998
117,11,3.0,0.297265005,46.012089999999986
118,11,2.0,0.223346006,48.426299999999976
119,11,2.0,0.221741312,46.84050999999998
120,11,2.0,0.20207129,45.31367999999998
121,12,3.0,0.342198223,51.25471999999998
122,12,2.0,0.246508295,49.668929999999975
123,12,2.0,0.24487564,52.083139999999965
124,12,2.0,0.238419476,48.25471999999998
125,12,2.0,0.26966791,57.15418999999996
126,12,2.0,0.224484563,48.31367999999998
127,12,2.0,0.253006721,49.668929999999975
128,12,2.0,0.334168198,51.941039999999965
129,12,3.0,0.462960279,50.627359999999975
130,12,9.0,1.267310104,48.79893999999998
131,13,3.0,0.479659074,55.25471999999998
132,13,5.0,0.777254278,57.25471999999998
133,13,2.0,0.287713784,52.911559999999966
134,13,2.0,0.350363361,55.49734999999996
135,13,2.0,0.385906577,53.11261999999996
136,13,3.0,0.520797015,54.84050999999997
137,13,3.0,0.444039979,56.59787999999996
138,13,4.0,0.697668455,54.112619999999964
139,13,3.0,0.484471695,52.18366999999998
140,13,6.0,0.817463411,52.45577999999996
141,14,4.0,0.625552261,56.25471999999996
142,14,5.0,0.875239973,57.01208999999997
143,14,3.0,0.608295851,60.25471999999996
144,14,2.0,0.367418982,56.91155999999996
145,14,3.0,0.505144351,59.325769999999956
146,14,5.0,0.918838039,56.35524999999995
147,14,2.0,0.412877827,59.18366999999995
148,14,2.0,0.366138286,60.32576999999995
149,14,5.0,0.693953836,56.32576999999996
150,14,3.0,0.506504352,58.911559999999966
151,15,2.0,0.388502918,66.22523999999994
152,15,2.0,0.426792213,62.911559999999945
153,15,4.0,0.782360936,60.73997999999995
154,15,4.0,0.692995158,59.98260999999995
155,15,6.0,1.197245089,60.568399999999954
156,15,4.0,0.937788138,63.32576999999996
157,15,5.0,0.89154251,61.15418999999996
158,15,2.0,0.420591896,69.39681999999993
159,15,8.0,1.400475953,64.15418999999996
160,15,4.0,0.783003332,62.73997999999996
