Teste,Bucket,Num. Solves,Total Time,Final Cost
1,0,2.0,0.002062638,1.41421
2,0,2.0,0.002156879,1.41421
3,0,2.0,0.002840373,2.0
4,0,1.0,7.1e-06,0.0
5,0,2.0,0.002258771,1.41421
6,0,2.0,0.00363172,3.4142099999999997
7,0,2.0,0.002210444,1.0
8,0,2.0,0.002855312,2.82842
9,0,2.0,0.003530959,3.0
10,0,2.0,0.003770506,3.8284199999999995
11,1,2.0,0.004392185,5.0
12,1,2.0,0.005992126,5.8284199999999995
13,1,2.0,0.004503528,4.8284199999999995
14,1,2.0,0.005568263,6.242629999999999
15,1,2.0,0.00585527,6.656839999999999
16,1,2.0,0.005431889,6.41421
17,1,2.0,0.004347205,4.41421
18,1,2.0,0.005101819,4.8284199999999995
19,1,2.0,0.008989064,7.8284199999999995
20,1,2.0,0.006109572,7.41421
21,2,2.0,0.008446914,9.41421
22,2,2.0,0.010230426,9.242629999999998
23,2,2.0,0.01521071,11.656839999999999
24,2,2.0,0.009909898,10.07105
25,2,2.0,0.006562702,8.41421
26,2,2.0,0.008429923,11.0
27,2,2.0,0.007130173,9.41421
28,2,2.0,0.006795921,8.41421
29,2,2.0,0.009832465,11.41421
30,2,2.0,0.011630813,10.24263
31,3,2.0,0.008802573,12.41421
32,3,2.0,0.017958361,12.656839999999999
33,3,2.0,0.015388926,15.41421
34,3,2.0,0.015201651,12.07105
35,3,2.0,0.013134925,12.242629999999998
36,3,2.0,0.019926114,14.89947
37,3,2.0,0.015892905,12.48526
38,3,2.0,0.018011273,12.656839999999999
39,3,2.0,0.016304596,13.828420000000001
40,3,2.0,0.023280919,13.656839999999999
41,4,2.0,0.024932364,17.656840000000003
42,4,2.0,0.024188728,17.071050000000003
43,4,2.0,0.033050889,19.485260000000004
44,4,2.0,0.029142694,18.31368
45,4,3.0,0.035152761,17.24263
46,4,2.0,0.028090687,17.31368
47,4,2.0,0.028473233,17.727890000000002
48,4,2.0,0.031810288,17.899470000000004
49,4,2.0,0.034553456,17.89947
50,4,2.0,0.030210624,18.313680000000005
51,5,2.0,0.032924741,20.970520000000004
52,5,2.0,0.03509263,20.071050000000003
53,5,7.0,0.188502284,22.727890000000002
54,5,4.0,0.127258321,23.727890000000002
55,5,2.0,0.048950537,23.071050000000003
56,5,2.0,0.032517012,21.142100000000006
57,5,3.0,0.047350166,21.142100000000003
58,5,2.0,0.037084649,20.485260000000004
59,5,8.0,0.194647836,22.31368
60,5,3.0,0.062066341,22.727890000000002
61,6,3.0,0.082459232,24.556310000000007
62,6,3.0,0.071991877,24.970520000000004
63,6,5.0,0.126947785,24.31368
64,6,2.0,0.057415451,26.071050000000003
65,6,2.0,0.017300114,24.41421
66,6,4.0,0.116389778,26.970520000000008
67,6,3.0,0.068073308,24.727890000000002
68,6,3.0,0.097393409,27.899470000000004
69,6,3.0,0.096493079,27.485260000000004
70,6,2.0,0.061477963,25.142100000000006
71,7,2.0,0.058898341,27.970520000000008
72,7,5.0,0.185646234,28.556310000000007
73,7,8.0,0.471194153,29.142100000000003
74,7,3.0,0.091683164,29.727890000000002
75,7,2.0,0.069985242,29.071050000000003
76,7,5.0,0.348798059,31.142100000000003
77,7,4.0,0.115681775,30.727890000000002
