Teste,Bucket,Num. Solves,Total Time,Final Cost
1,0,2.0,0.000973313,1.41421
2,0,2.0,0.000822684,1.41421
3,0,2.0,0.001024658,2.0
4,0,1.0,1.1944e-05,0.0
5,0,2.0,0.000843791,1.41421
6,0,2.0,0.001014347,3.4142099999999997
7,0,2.0,0.000833192,1.0
8,0,2.0,0.000918385,2.82842
9,0,2.0,0.00101907,3.0
10,0,2.0,0.001018464,3.8284199999999995
11,5,2.0,0.002224143,20.970520000000004
12,5,2.0,0.002438131,20.071050000000003
13,5,48.0,0.15248162,22.727890000000002
14,5,44.0,0.138402526,23.727890000000002
15,5,2.0,0.002533537,23.071050000000003
16,5,77.0,0.145288303,21.727890000000006
17,5,63.0,0.122880532,21.142100000000003
18,5,2.0,0.00243994,20.485260000000004
19,5,64.0,0.187165206,22.31368
20,5,61.0,0.144406693,22.727890000000002
21,10,129.0,0.665466213,40.97052
22,10,108.0,0.69364534,41.38473
23,10,2.0,0.004291681,41.24262999999999
24,10,125.0,0.675762509,40.384730000000005
25,10,243.0,0.661155547,40.556309999999996
26,10,220.0,0.60364829,40.31367999999999
27,10,239.0,0.662179377,41.31367999999999
28,10,132.0,0.404668809,41.071049999999985
29,10,4.0,0.009497338,41.24262999999999
30,10,163.0,0.744015194,42.55631
31,15,334.0,1.669718646,63.65683999999999
32,15,317.0,1.40801869,60.48525999999998
33,15,318.0,1.439072353,61.89946999999998
34,15,321.0,1.37205422,60.65683999999999
35,15,165.0,0.602471073,61.071049999999985
36,15,209.0,0.872926651,60.65683999999999
37,15,349.0,1.624773216,62.07104999999999
38,15,356.0,1.499423177,60.72788999999998
39,15,268.0,1.13902314,62.48525999999998
40,15,358.0,1.621003467,60.07104999999999
