Teste,Bucket,Num. Solves,Total Time,Final Cost
1,0,2.0,0.00329523,1.0
2,0,4.0,0.006045715,2.0
3,0,4.0,0.00840272,3.4142099999999997
4,0,2.0,0.004500551,3.4142099999999997
5,0,4.0,0.008399895,3.0
6,0,4.0,0.0089963,3.8284199999999995
7,0,2.0,0.003324726,1.41421
8,0,4.0,0.006029067,2.0
9,0,4.0,0.007510423,3.0
10,0,4.0,0.00851083,3.4142099999999997
11,5,11.0,0.28644761,23.970520000000004
12,5,15.0,0.350071149,21.970520000000004
13,5,12.0,0.336840336,22.142100000000003
14,5,11.0,0.343774974,23.31368
15,5,6.0,0.120728974,23.65684
16,5,8.0,0.157250649,21.07105
17,5,6.0,0.137994955,20.65684
18,5,Não consegui convergir...,,
19,5,14.0,0.404934898,23.07105
20,5,14.0,0.337137228,20.89947
21,10,21.0,1.173751155,42.38473
22,10,15.0,0.886290014,42.38473
23,10,18.0,1.055190434,42.21315
24,10,24.0,1.255900416,42.18366999999999
25,10,19.0,1.299454436,40.556309999999996
26,10,21.0,1.532682756,44.62736
27,10,19.0,1.211788613,40.213149999999985
28,10,21.0,1.265765239,40.2842
29,10,20.0,1.175619301,42.59787999999999
30,10,27.0,1.553062138,41.284200000000006
31,15,26.0,2.596801028,60.568399999999954
32,15,33.0,3.091563272,60.08313999999996
33,15,29.0,3.006900244,60.73997999999995
34,15,26.0,2.482511533,59.98260999999995
35,15,22.0,2.68313916,61.15418999999996
36,15,35.0,3.486855176,62.15418999999996
37,15,31.0,3.064124485,61.15418999999996
38,15,35.0,3.189924322,60.91155999999995
39,15,Não consegui convergir...,,
40,15,31.0,3.43605561,62.15418999999996
