Teste,Bucket,Num. Solves,Total Time,Final Cost
1,0,2.0,0.002798677,1.0
2,0,2.0,0.003051696,2.0
3,0,3.0,0.004801749,3.4142099999999997
4,0,2.0,0.003388046,3.4142099999999997
5,0,2.0,0.003392462,3.0
6,0,3.0,0.004537777,3.8284199999999995
7,0,2.0,0.002862353,1.41421
8,0,2.0,0.003072993,2.0
9,0,2.0,0.003402866,3.0
10,0,3.0,0.004919393,3.4142099999999997
11,5,7.0,0.088923004,23.970520000000004
12,5,4.0,0.058285301,21.970520000000004
13,5,Não consegui convergir...,,
14,5,7.0,0.086170434,23.31368
15,5,6.0,0.049562415,23.65684
16,5,6.0,0.057454882,21.07105
17,5,2.0,0.026446196,20.656840000000003
18,5,10.0,0.136521092,23.071050000000003
19,5,2.0,0.034366847,23.071050000000003
20,5,4.0,0.041181691,20.89947
21,10,21.0,0.637270752,41.55630999999998
22,10,19.0,0.477279699,42.384730000000005
23,10,9.0,0.241617598,42.213149999999985
24,10,15.0,0.45889277,42.18366999999999
25,10,35.0,0.865462869,40.556309999999996
26,10,25.0,0.808180196,43.79893999999999
27,10,49.0,1.107213255,40.213149999999985
28,10,32.0,0.744430817,40.28419999999999
29,10,10.0,0.302184358,43.183669999999985
30,10,26.0,0.682319506,40.45577999999999
31,15,16.0,0.62026074,60.56839999999995
32,15,44.0,1.429809957,60.08313999999996
33,15,16.0,0.737760204,60.73997999999996
34,15,18.0,0.760130881,59.98260999999995
35,15,21.0,1.016506769,61.73997999999995
36,15,31.0,1.067749532,61.32576999999996
37,15,20.0,0.775695663,61.15418999999996
38,15,35.0,1.286729517,60.91155999999995
39,15,41.0,1.671288974,63.083139999999965
40,15,30.0,1.242863365,63.568399999999954
