Teste,Bucket,Num. Solves,Total Time,Final Cost
1,0,2.0,0.001689586,1.41421
2,0,2.0,0.001768064,1.41421
3,0,2.0,0.002012444,2.0
4,0,1.0,6.772e-06,0.0
5,0,2.0,0.001614579,1.41421
6,0,2.0,0.002309135,3.4142099999999997
7,0,2.0,0.001650143,1.0
8,0,2.0,0.001949135,2.82842
9,0,2.0,0.002172356,3.0
10,0,2.0,0.002352154,3.8284199999999995
11,5,2.0,0.04243601,23.798940000000005
12,5,6.0,0.102233162,20.071050000000003
13,5,5.0,0.268573408,22.727890000000002
14,5,5.0,0.27749497,23.727890000000002
15,5,2.0,0.049767229,23.071050000000003
16,5,6.0,0.137257424,21.142100000000003
17,5,6.0,0.164505435,21.142100000000003
18,5,3.0,0.064608721,20.48526
19,5,10.0,0.449863987,22.31368
20,5,6.0,0.189124146,22.727890000000002
21,10,10.0,2.516310395,43.21315
22,10,8.0,2.496724546,43.04157
23,10,2.0,0.052693983,41.24262999999999
24,10,8.0,2.405106375,42.04157
25,10,10.0,0.722344024,42.071049999999985
26,10,4.0,0.327161877,42.31367999999999
27,10,4.0,0.314750142,41.313679999999984
28,10,10.0,0.509343803,41.071049999999985
29,10,2.0,0.039824329,41.828419999999994
30,10,10.0,3.61713109,41.38473
31,15,7.0,3.143246815,72.72788999999999
32,15,8.0,2.988991388,61.89946999999998
33,15,4.0,2.005295926,76.62735999999998
34,15,8.0,1.118451616,59.727889999999974
35,15,3.0,0.266202956,61.071049999999985
36,15,4.0,0.268426941,60.65683999999999
37,15,12.0,2.925389754,66.31367999999998
38,15,5.0,0.985462923,64.97051999999998
39,15,5.0,0.505471282,62.48525999999998
40,15,9.0,2.967592391,62.31367999999999
