Teste,Bucket,Num. Solves,Total Time,Final Cost
1,0,2.0,0.001103971,1.41421
2,0,2.0,0.001702642,1.41421
3,0,4.0,0.006124021,2.0
4,0,1.0,1.2109e-05,0.0
5,0,2.0,0.001764831,1.41421
6,0,4.0,0.007832634,3.4142099999999997
7,0,2.0,0.001795863,1.0
8,0,2.0,0.002728027,2.82842
9,0,4.0,0.00868367,3.0
10,0,4.0,0.00788743,3.8284199999999995
11,5,6.0,0.183122351,20.970520000000004
12,5,5.0,0.217805081,20.071050000000003
13,5,9.0,0.631759989,22.727890000000002
14,5,8.0,0.478608497,23.727890000000002
15,5,8.0,0.369043105,23.071050000000003
16,5,9.0,0.409807882,21.142100000000006
17,5,5.0,0.254281762,21.142100000000003
18,5,7.0,0.198215786,20.48526
19,5,8.0,0.55536085,22.31368
20,5,8.0,0.348294249,22.727890000000002
21,10,10.0,1.486041799,40.97052000000001
22,10,Não consegui convergir...,,
23,10,6.0,0.387264214,42.07104999999999
24,10,9.0,1.526402847,39.79894
25,10,Não consegui convergir...,,
26,10,9.0,1.113574716,40.31367999999999
27,10,24.0,2.105605922,41.31367999999999
28,10,12.0,1.046960992,41.071049999999985
29,10,6.0,0.342023231,41.24262999999999
30,10,Não consegui convergir...,,
31,15,23.0,6.727915256,76.86998999999997
32,15,20.0,4.955450943,76.86998999999997
33,15,Não consegui convergir...,,
34,15,18.0,2.70597821,60.89946999999998
35,15,15.0,1.923367465,61.071049999999985
36,15,11.0,1.274036602,60.65683999999999
37,15,Não consegui convergir...,,
38,15,21.0,3.764531092,70.04156999999998
39,15,17.0,2.241249741,62.48525999999998
40,15,Não consegui convergir...,,
