Teste,Bucket,Num. Solves,Total Time,Final Cost
1,0,2.0,0.002777638,1.0
2,0,2.0,0.003021131,2.0
3,0,2.0,0.043132452,3.4142099999999997
4,0,3.0,0.117075606,3.4142099999999997
5,0,2.0,0.003285565,3.0
6,0,3.0,0.086016793,3.8284199999999995
7,0,2.0,0.010302781,1.41421
8,0,2.0,0.00299564,2.0
9,0,2.0,0.003164723,3.0
10,0,2.0,0.043512571,3.4142099999999997
11,5,5.0,0.647117673,23.970520000000004
12,5,3.0,0.756308379,21.970520000000004
13,5,6.0,1.106622354,22.142100000000003
14,5,8.0,2.243595458,23.313680000000005
15,5,4.0,0.130911823,23.656840000000003
16,5,3.0,0.165184926,21.07105
17,5,3.0,0.844153522,20.656840000000003
18,5,6.0,1.055801554,23.071050000000003
19,5,4.0,0.678908107,23.071050000000003
20,5,3.0,0.315742526,20.89947
21,10,4.0,1.300346201,41.55630999999998
22,10,6.0,1.643408209,42.38472999999998
23,10,7.0,2.133290495,42.213149999999985
24,10,7.0,4.298259644,42.183669999999985
25,10,7.0,2.597579139,40.556309999999996
26,10,7.0,3.731696147,43.79893999999999
27,10,5.0,1.724679077,40.213149999999985
28,10,7.0,3.321848018,40.28419999999999
29,10,8.0,5.288936778,42.59787999999999
30,10,8.0,3.309484624,40.45577999999999
31,15,7.0,8.879426717,60.56839999999995
32,15,9.0,7.998386125,60.08313999999996
33,15,12.0,13.362245984,60.73997999999996
34,15,6.0,7.676661864,60.568399999999954
35,15,9.0,9.024308287,61.15418999999996
36,15,11.0,11.980994334,61.32576999999996
37,15,11.0,11.781857597,61.15418999999996
38,15,11.0,9.696481368,60.91155999999995
39,15,10.0,11.4203617,61.32576999999996
40,15,10.0,10.973592438,62.15418999999996
