Teste,Bucket,Num. Solves,Total Time,Final Cost
1,0,2.0,0.00271094,1.0
2,0,2.0,0.002905418,2.0
3,0,2.0,0.003376314,3.4142099999999997
4,0,3.0,0.004142056,3.4142099999999997
5,0,2.0,0.003097554,3.0
6,0,3.0,0.004269167,3.8284199999999995
7,0,2.0,0.002829005,1.41421
8,0,2.0,0.002975524,2.0
9,0,2.0,0.003073654,3.0
10,0,2.0,0.003336731,3.4142099999999997
11,5,61.0,0.223241426,23.970520000000004
12,5,56.0,0.211608803,21.970520000000004
13,5,74.0,0.287721419,22.142100000000003
14,5,65.0,0.258409863,23.313680000000005
15,5,28.0,0.081669548,23.656840000000003
16,5,31.0,0.085670382,21.07105
17,5,46.0,0.168284093,20.656840000000003
18,5,77.0,0.327041599,23.071050000000003
19,5,55.0,0.265549987,23.071050000000003
20,5,35.0,0.104857642,20.89947
21,10,131.0,0.656158447,41.55630999999998
22,10,158.0,0.809751917,42.38472999999998
23,10,154.0,0.856548845,42.213149999999985
24,10,159.0,1.055672545,42.183669999999985
25,10,132.0,0.792484932,40.556309999999996
26,10,170.0,1.129941208,43.79893999999999
27,10,144.0,0.770437656,40.213149999999985
28,10,175.0,0.95880165,40.28419999999999
29,10,161.0,1.168576996,42.59787999999999
30,10,182.0,1.141840175,40.45577999999999
31,15,280.0,2.559958122,60.56839999999995
32,15,301.0,2.595324224,60.08313999999996
33,15,321.0,3.106267213,60.73997999999996
34,15,287.0,2.760125658,60.568399999999954
35,15,306.0,2.955492687,61.15418999999996
36,15,317.0,3.102114965,61.32576999999996
37,15,309.0,3.019985909,61.15418999999996
38,15,308.0,2.802587828,60.91155999999995
39,15,298.0,3.05334164,61.32576999999996
40,15,302.0,3.127656959,62.15418999999996
