Teste,Bucket,Num. Solves,Total Time,Final Cost
1,0,2.0,0.003375186,1.0
2,0,4.0,0.006026047,2.0
3,0,4.0,0.008603452,3.4142099999999997
4,0,2.0,0.004343106,3.4142099999999997
5,0,4.0,0.008229602,3.0
6,0,4.0,0.009065822,3.8284199999999995
7,0,2.0,0.003285173,1.41421
8,0,4.0,0.006066595,2.0
9,0,4.0,0.007504275,3.0
10,0,4.0,0.008604489,3.4142099999999997
11,5,9.0,0.323957898,23.970520000000004
12,5,10.0,0.249353726,21.970520000000004
13,5,7.0,0.221932376,22.142100000000003
14,5,9.0,0.338558977,23.31368
15,5,8.0,0.191530985,24.48526
16,5,7.0,0.176529519,21.07105
17,5,9.0,0.261682862,21.48526
18,5,Não consegui convergir...,,
19,5,10.0,0.334716578,23.07105
20,5,8.0,0.190751472,20.89947
21,10,25.0,1.608890396,41.55630999999999
22,10,12.0,1.100182753,42.38472999999999
23,10,19.0,1.749625502,42.213149999999985
24,10,10.0,0.849453967,42.18366999999999
25,10,13.0,1.09810507,40.556309999999996
26,10,13.0,1.363138576,43.79893999999999
27,10,14.0,1.205584845,40.213149999999985
28,10,22.0,1.596300932,40.28419999999999
29,10,10.0,0.836028654,42.59787999999999
30,10,15.0,1.237011559,40.45578
31,15,16.0,2.06098487,60.568399999999954
32,15,Não consegui convergir...,,
33,15,20.0,2.568768667,60.73997999999996
34,15,15.0,1.980970915,59.98260999999995
35,15,15.0,2.044695209,61.15418999999996
36,15,20.0,2.5300023,61.32576999999996
37,15,17.0,2.300956274,61.15418999999996
38,15,16.0,2.375651763,60.91155999999995
39,15,18.0,2.636686073,61.32576999999996
40,15,17.0,2.273720358,62.15418999999996
