Teste,Bucket,Num. Solves,Total Time,Final Cost
1,0,2.0,0.003002187,1.0
2,0,2.0,0.003077672,2.0
3,0,3.0,0.004852073,3.4142099999999997
4,0,2.0,0.003365157,3.4142099999999997
5,0,2.0,0.003462347,3.0
6,0,3.0,0.004593005,3.8284199999999995
7,0,2.0,0.002834002,1.41421
8,0,2.0,0.003083753,2.0
9,0,2.0,0.003384831,3.0
10,0,3.0,0.004779028,3.4142099999999997
11,5,7.0,0.086539241,23.970520000000004
12,5,4.0,0.056613876,21.970520000000004
13,5,18.0,0.331984625,22.142100000000003
14,5,5.0,0.067257672,23.31368
15,5,6.0,0.048655262,23.65684
16,5,6.0,0.055446291,21.07105
17,5,2.0,0.026535929,20.656840000000003
18,5,10.0,0.136918959,23.071050000000003
19,5,2.0,0.034485592,23.071050000000003
20,5,4.0,0.040987596,20.89947
21,10,10.0,0.241020749,41.55630999999998
22,10,9.0,0.222296448,42.38472999999998
23,10,9.0,0.238993761,42.213149999999985
24,10,9.0,0.278729038,42.18366999999999
25,10,10.0,0.270651302,40.556309999999996
26,10,12.0,0.517743947,43.798939999999995
27,10,7.0,0.215483478,40.21314999999999
28,10,6.0,0.222930532,40.28419999999999
29,10,3.0,0.110682386,42.59787999999999
30,10,13.0,0.471110781,40.455780000000004
31,15,10.0,0.429603833,61.15418999999995
32,15,12.0,0.531953099,60.08313999999996
33,15,21.0,0.626044978,60.73997999999995
34,15,14.0,0.514180533,59.98260999999995
35,15,30.0,1.668860863,61.15418999999996
36,15,17.0,0.891131159,61.32576999999996
37,15,20.0,0.86555705,61.15418999999996
38,15,9.0,0.373523917,60.91155999999995
39,15,22.0,0.997159977,63.66892999999996
40,15,34.0,1.269279637,62.73997999999996
