Teste,Bucket,Num. Solves,Total Time,Final Cost
1,0,2.0,0.000913063,1.41421
2,0,2.0,0.001141536,1.41421
3,0,2.0,0.001294574,2.0
4,0,1.0,1.2599e-05,0.0
5,0,2.0,0.001048515,1.41421
6,0,3.0,0.003348496,3.4142099999999997
7,0,2.0,0.001053469,1.0
8,0,2.0,0.001470345,2.82842
9,0,2.0,0.001713604,3.0
10,0,3.0,0.002819936,3.8284199999999995
11,5,5.0,0.061559078,20.970520000000004
12,5,2.0,0.02343451,20.071050000000003
13,5,15.0,0.684777188,22.727890000000002
14,5,Não consegui convergir...,,
15,5,2.0,0.031570999,23.071050000000003
16,5,4.0,0.059349806,21.142100000000003
17,5,11.0,0.16608693,21.142100000000003
18,5,6.0,0.078447505,20.485260000000004
19,5,13.0,0.793188555,23.142100000000003
20,5,12.0,0.219306479,22.727890000000002
21,10,Não consegui convergir...,,
22,10,Não consegui convergir...,,
23,10,5.0,0.126396564,41.24262999999999
24,10,21.0,1.04946991,39.79894
25,10,15.0,0.745515275,42.31367999999999
26,10,8.0,0.280564392,40.31367999999999
27,10,8.0,0.319638598,41.31367999999999
28,10,8.0,0.369205102,41.899469999999994
29,10,7.0,0.225757413,41.24262999999999
30,10,Não consegui convergir...,,
31,15,Não consegui convergir...,,
32,15,Não consegui convergir...,,
33,15,Não consegui convergir...,,
34,15,18.0,1.229498702,67.62735999999995
35,15,11.0,0.484604877,61.89946999999998
36,15,8.0,0.417530936,60.65683999999999
37,15,Não consegui convergir...,,
38,15,Não consegui convergir...,,
39,15,20.0,1.483337889,62.48525999999998
40,15,Não consegui convergir...,,
