Teste,Bucket,Num. Solves,Total Time,Final Cost
1,0,2.0,0.001366752,1.0
2,0,2.0,0.001553233,2.0
3,0,2.0,0.002151607,3.4142099999999997
4,0,2.0,0.00197063,3.4142099999999997
5,0,2.0,0.001800809,3.0
6,0,2.0,0.002168832,3.8284199999999995
7,0,2.0,0.001433586,1.41421
8,0,2.0,0.001583781,2.0
9,0,2.0,0.001810568,3.0
10,0,2.0,0.002081402,3.4142099999999997
11,5,3.0,0.064409395,23.970520000000004
12,5,2.0,0.052082476,21.970520000000004
13,5,5.0,0.154345429,22.142100000000003
14,5,2.0,0.068893454,23.313680000000005
15,5,4.0,0.059088726,23.65684
16,5,3.0,0.036744526,21.07105
17,5,2.0,0.038575146,20.65684
18,5,2.0,0.055689854,22.485260000000004
19,5,2.0,0.055057368,23.07105
20,5,3.0,0.044148459,20.89947
21,10,3.0,0.143031281,41.55630999999998
22,10,3.0,0.17642931,42.384729999999976
23,10,3.0,0.185897337,42.21314999999998
24,10,3.0,0.249450071,45.012089999999986
25,10,4.0,0.407125456,40.556309999999996
26,10,3.0,0.361295787,43.79893999999998
27,10,2.0,0.164656862,41.38472999999999
28,10,3.0,0.198014527,40.28419999999999
29,10,2.0,0.182993723,42.59787999999999
30,10,2.0,0.213185028,43.284199999999984
31,15,2.0,0.379581545,62.56839999999995
32,15,2.0,0.41630217,60.08313999999995
33,15,3.0,0.614225978,63.56839999999995
34,15,3.0,0.525053874,59.98260999999995
35,15,5.0,0.941271041,63.39681999999995
36,15,5.0,0.965286643,63.325769999999956
37,15,3.0,0.539490344,63.15418999999996
38,15,2.0,0.421516663,63.73997999999994
39,15,5.0,1.041645894,66.98260999999995
40,15,5.0,0.956507481,66.15418999999996
