Teste,Bucket,Num. Solves,Total Time,Final Cost
1,0,2.0,0.001809886,1.41421
2,0,2.0,0.043196502,1.41421
3,0,2.0,0.002120183,2.0
4,0,1.0,1.112e-05,0.0
5,0,2.0,0.007059503,1.41421
6,0,2.0,0.011403092,3.4142099999999997
7,0,2.0,0.001547105,1.0
8,0,2.0,0.081265323,2.82842
9,0,2.0,0.0027166,3.0
10,0,3.0,0.085223217,3.8284199999999995
11,5,3.0,0.560058654,20.970520000000004
12,5,4.0,0.978591031,20.071050000000003
13,5,5.0,2.067853574,22.727890000000002
14,5,6.0,4.464679142,23.727890000000002
15,5,4.0,0.613101747,23.071050000000003
16,5,3.0,1.123886365,21.727890000000006
17,5,5.0,1.037763981,21.142100000000003
18,5,2.0,0.69145681,20.485260000000004
19,5,4.0,3.781595167,22.31368
20,5,4.0,4.570769394,22.727890000000002
21,10,4.0,2.991421982,40.97052
22,10,4.0,4.199567935,41.38473
23,10,3.0,0.503314487,41.24262999999999
24,10,4.0,16.81617949,40.384730000000005
25,10,7.0,1.841542492,40.556309999999996
26,10,5.0,1.316579786,40.31367999999999
27,10,6.0,1.723235444,41.31367999999999
28,10,4.0,0.7272539,41.071049999999985
29,10,5.0,0.487682622,41.24262999999999
30,10,4.0,3.181010728,42.55631
31,15,7.0,13.11632738,63.65683999999999
32,15,6.0,8.250202708,60.48525999999998
33,15,6.0,8.786476648,61.89946999999998
34,15,5.0,2.266757415,60.65683999999999
35,15,5.0,1.453207885,61.071049999999985
36,15,3.0,1.605715547,60.65683999999999
37,15,7.0,10.154817423,62.07104999999999
38,15,5.0,3.349126172,60.72788999999998
39,15,6.0,2.413989045,62.48525999999998
40,15,6.0,8.787704717,60.07104999999999
