Teste,Bucket,Num. Solves,Total Time,Final Cost
1,0,2.0,0.00146698,1.41421
2,0,2.0,0.001666923,1.41421
3,0,2.0,0.00215407,2.0
4,0,1.0,1.2336e-05,0.0
5,0,2.0,0.001617821,1.41421
6,0,3.0,0.00543271,3.4142099999999997
7,0,2.0,0.001671982,1.0
8,0,2.0,0.002432271,2.82842
9,0,2.0,0.003006168,3.0
10,0,3.0,0.004863185,3.8284199999999995
11,5,5.0,0.050387214,20.970520000000004
12,5,2.0,0.025784419,20.071050000000003
13,5,8.0,0.103472033,23.31368
14,5,10.0,0.137007342,23.727890000000002
15,5,2.0,0.030531411,23.071050000000003
16,5,4.0,0.044847556,21.142100000000006
17,5,5.0,0.06639359,21.142100000000003
18,5,4.0,0.051275698,20.485260000000004
19,5,13.0,0.169238888,22.31368
20,5,7.0,0.096348837,22.727890000000002
21,10,31.0,1.310307201,40.384730000000005
22,10,21.0,0.935978881,41.38473
23,10,12.0,0.401820558,42.07104999999999
24,10,12.0,0.50929277,40.97052
25,10,46.0,1.957066906,42.556309999999996
26,10,10.0,0.357228894,40.31367999999999
27,10,14.0,0.549735721,41.313680000000005
28,10,16.0,0.623754688,41.899469999999994
29,10,12.0,0.368088058,42.07104999999999
30,10,100.0,4.868669254,44.21314999999999
31,15,21.0,1.977826063,65.31367999999999
32,15,15.0,1.124188202,62.970519999999986
33,15,247.0,20.252336069,62.72788999999998
34,15,12.0,0.829134873,61.48525999999998
35,15,12.0,0.63898544,62.72788999999999
36,15,8.0,0.376842687,61.48525999999998
37,15,40.0,3.178839021,64.55630999999998
38,15,18.0,1.52908352,60.72788999999998
39,15,11.0,0.749815241,62.48525999999998
40,15,108.0,10.244129287,61.142099999999985
