Teste,Bucket,Num. Solves,Total Time,Final Cost
1,0,2.0,0.00179215,1.41421
2,0,2.0,0.025304403,1.41421
3,0,2.0,0.002140227,2.0
4,0,1.0,1.2852e-05,0.0
5,0,2.0,0.007041279,1.41421
6,0,2.0,0.011290878,3.4142099999999997
7,0,2.0,0.001547365,1.0
8,0,2.0,0.048637387,2.82842
9,0,2.0,0.002761635,3.0
10,0,3.0,0.051051112,3.8284199999999995
11,5,7.0,0.762843332,20.970520000000004
12,5,2.0,0.354462313,20.071050000000003
13,5,3.0,4.155466075,22.727890000000002
14,5,3.0,1.416939264,23.727890000000002
15,5,2.0,0.293503505,23.071050000000003
16,5,5.0,1.186850661,21.727890000000006
17,5,5.0,0.767052642,21.142100000000003
18,5,5.0,1.009074098,20.485260000000004
19,5,4.0,3.946893907,22.31368
20,5,6.0,3.930019551,22.727890000000002
21,10,5.0,2.62267386,40.97052
22,10,5.0,2.856876753,41.38473
23,10,2.0,0.190168065,41.24262999999999
24,10,4.0,5.844481563,40.384730000000005
25,10,7.0,1.718085221,40.556309999999996
26,10,7.0,1.22155831,40.31367999999999
27,10,7.0,1.845637992,41.31367999999999
28,10,5.0,0.772548981,41.071049999999985
29,10,3.0,0.432949425,41.24262999999999
30,10,6.0,3.261510551,42.55631
31,15,8.0,11.68251405,63.65683999999999
32,15,7.0,7.52887776,60.48525999999998
33,15,7.0,6.980091731,61.89946999999998
34,15,7.0,3.13766024,60.65683999999999
35,15,7.0,1.637468269,61.071049999999985
36,15,4.0,1.160764721,60.65683999999999
37,15,6.0,10.213429001,62.07104999999999
38,15,7.0,3.209781165,60.72788999999998
39,15,7.0,2.424912758,62.48525999999998
40,15,8.0,7.582772125,60.07104999999999
