Teste,Bucket,Num. Solves,Total Time,Final Cost
1,0,2.0,0.002123513,1.41421
2,0,2.0,0.002278829,1.41421
3,0,2.0,0.002906237,2.0
4,0,1.0,6.682e-06,0.0
5,0,2.0,0.002295363,1.41421
6,0,2.0,0.003600555,3.4142099999999997
7,0,2.0,0.002251364,1.0
8,0,2.0,0.002927109,2.82842
9,0,2.0,0.003442249,3.0
10,0,2.0,0.003781434,3.8284199999999995
11,5,2.0,0.033556206,20.970520000000004
12,5,2.0,0.035021206,20.071050000000003
13,5,7.0,0.189072469,22.727890000000002
14,5,4.0,0.125064181,23.727890000000002
15,5,2.0,0.048940072,23.071050000000003
16,5,2.0,0.032326069,21.142100000000006
17,5,3.0,0.04794915,21.142100000000003
18,5,2.0,0.037298339,20.485260000000004
19,5,8.0,0.190601974,22.31368
20,5,3.0,0.059097402,22.727890000000002
21,10,8.0,1.69419065,67.01208999999996
22,10,6.0,0.915300365,40.21315
23,10,2.0,0.062038724,41.24262999999999
24,10,6.0,0.871969341,39.213150000000006
25,10,10.0,0.839623013,40.07104999999999
26,10,4.0,0.297863266,40.31367999999999
27,10,5.0,0.390710475,41.313679999999984
28,10,11.0,0.594543541,41.07104999999999
29,10,2.0,0.073331481,41.24262999999999
30,10,29.0,9.999705528,95.46786999999992
31,15,14.0,3.694820892,71.69840999999997
32,15,12.0,2.321176297,59.89946999999998
33,15,11.0,2.124338233,61.31367999999998
34,15,12.0,6.039361335,179.55100999999985
35,15,3.0,0.203697394,61.89946999999998
36,15,3.0,0.179538393,61.48525999999998
37,15,14.0,3.383747457,68.31367999999998
38,15,11.0,2.069432691,60.14209999999997
39,15,3.0,0.270696191,64.14209999999997
40,15,20.0,4.343682252,62.31367999999999
