Teste,Bucket,Estados expandidos,Episódios de busca,Custo da trajetória,% Sol. Ótima,Ações por Episódio de Busca,Tempo Total Busca,Tempo Médio Episódio de Busca,Tempo Médio Busca por Ação,Tempo máximo de planejamento,Fifty,Ninety
1,0,4.0,1,3.8284199999999995,0.0,3.0,0.001613277,0.001000375,0.00033527899999999996,0.001000375,0.001000375,0.001000375
2,0,2.0,1,2.0,0.0,2.0,0.000977372,0.00058842,0.000295779,0.00058842,0.00058842,0.00058842
3,0,2.0,1,2.0,0.0,2.0,0.000994172,0.000612138,0.000307801,0.000612138,0.000612138,0.000612138
4,0,3.0,1,2.4142099999999997,0.0,2.0,0.001305384,0.000918072,0.00046072,0.000918072,0.000918072,0.000918072
5,0,5.0,1,3.4142099999999997,0.0,3.0,0.001688922,0.001042788,0.0003495703333333334,0.001042788,0.001042788,0.001042788
6,0,3.0,1,2.4142099999999997,0.0,2.0,0.001298575,0.000922242,0.00046278599999999997,0.000922242,0.000922242,0.000922242
7,0,6.0,1,3.4142099999999997,0.0,3.0,0.001907012,0.00134846,0.00045136066666666663,0.00134846,0.00134846,0.00134846
8,0,2.0,1,2.82842,0.0,2.0,0.001187165,0.000781978,0.0003926415,0.000781978,0.000781978,0.000781978
9,0,1.0,1,1.41421,0.0,1.0,0.000607471,0.000404604,0.000404604,0.000404604,0.000404604,0.000404604
10,0,2.0,1,2.0,0.0,2.0,0.000899121,0.000506857,0.000255212,0.000506857,0.000506857,0.000506857
11,5,122.0,1,23.242630000000002,1.2907333948188663e-06,22.0,0.024848193,0.020496849,0.0009340256363636368,0.020496849,0.020496849,0.020496849
12,5,174.0,1,23.485260000000004,0.0,21.0,0.035101466,0.030925525,0.001474873619047619,0.030925525,0.030925525,0.030925525
13,5,143.0,1,21.485260000000004,0.0,19.0,0.028383239,0.025051415,0.001320476736842105,0.025051415,0.025051415,0.025051415
14,5,105.0,1,22.242630000000002,1.3487631842687898e-06,21.0,0.022610803,0.01864284,0.000889658142857143,0.01864284,0.01864284,0.01864284
