Teste,Bucket,Estados expandidos,Episódios de busca,Custo da trajetória,% Sol. Ótima,Ações por Episódio de Busca,Tempo Total Busca,Tempo Médio Episódio de Busca,Tempo Médio Busca por Ação,Tempo máximo de planejamento,Fifty,Ninety
1,0,283.0,3,3.8284199999999995,0.0,1.0,0.020721652,0.006715098333333333,0.006715098333333333,0.010350202,0.009654536,0.010350202
2,0,282.0,2,2.82842,0.0,1.0,0.020594535,0.010091971,0.010091971,0.01048404,0.01048404,0.01048404
3,0,143.0,3,3.4142099999999997,0.0,1.0,0.011553985,0.003648695,0.003648695,0.010717932,0.000139336,0.010717932
4,0,283.0,3,3.8284199999999995,0.0,1.0,0.038489097,0.012617700666666667,0.012617700666666667,0.026180624,0.011533811,0.026180624
5,0,2.0,2,2.0,0.0,1.0,0.000581728,0.00010052149999999999,0.00010052149999999999,0.000115972,0.000115972,0.000115972
6,0,3.0,3,3.0,0.0,1.0,0.000910978,0.00010583433333333334,0.00010583433333333334,0.000140292,8.9593e-05,0.000140292
7,0,34.0,1,1.41421,0.0,1.0,0.002746647,0.002529104,0.002529104,0.002529104,0.002529104,0.002529104
8,0,2.0,2,2.0,0.0,1.0,0.00057985,9.58095e-05,9.58095e-05,0.000104972,0.000104972,0.000104972
9,0,2.0,2,2.0,0.0,1.0,0.000595542,0.00011263150000000001,0.00011263150000000001,0.000136507,0.000136507,0.000136507
10,0,283.0,3,3.8284199999999995,0.0,1.0,0.036479403,0.011965483333333332,0.011965483333333332,0.020700938,0.015056688,0.020700938
11,5,2667.0,38,40.899469999999994,0.7236868833735809,1.0,0.198071262,0.005038065499999998,0.005038065499999998,0.016827125,0.00757685,0.011319027
12,5,2260.0,20,23.31368,0.02577360864840129,1.0,0.274225447,0.013523586650000002,0.013523586650000002,0.024957965,0.015646309,0.023758619
13,5,581.0,21,21.82842,0.02757760349486418,1.0,0.050451264,0.0022240682857142856,0.0022240682857142856,0.015122943,9.1201e-05,0.00980638
14,5,23.0,23,23.0,0.0,1.0,0.006519054,9.249065217391305e-05,9.249065217391305e-05,0.000137945,8.6944e-05,0.000101339
15,5,903.0,21,21.82842,0.056713253198689105,1.0,0.075246884,0.003381725904761904,0.003381725904761904,0.013512936,9.3082e-05,0.012218634
16,5,1978.0,18,23.798940000000005,0.0,1.0,0.233213288,0.012750366333333332,0.012750366333333332,0.022346893,0.014469615,0.021869246
17,5,3104.0,24,28.970520000000004,0.42118244966838064,1.0,0.22644705,0.009252659333333333,0.009252659333333333,0.015824769,0.009539778,0.012609848
18,5,1285.0,25,26.242630000000002,0.13746765433811134,1.0,0.113733459,0.004358456320000001,0.004358456320000001,0.019424798,9.699e-05,0.011440014
19,5,1279.0,19,22.727890000000006,0.0,1.0,0.161826026,0.008323010631578946,0.008323010631578946,0.023639869,0.000138927,0.021071066
20,5,1463.0,21,23.485260000000004,0.09308503953866155,1.0,0.183487953,0.00853227138095238,0.00853227138095238,0.027193195,0.00273267,0.022844575
21,10,2641.0,52,54.071049999999985,0.2778615436607999,1.0,0.197375664,0.0035646911538461537,0.0035646911538461537,0.015977109,9.5713e-05,0.009910654
22,10,7682.0,74,77.31367999999998,0.8604562966385356,1.0,0.595325332,0.007861908162162166,0.007861908162162166,0.020971277,0.009051151,0.013139766
23,10,101084.0,738,808.8299100000032,17.43692879660642,1.0,11.542780975,0.015425312415989172,0.015425312415989172,0.045658811,0.013948339,0.02420593
24,10,462.0,42,43.24262999999999,6.937603194120179e-07,1.0,0.065679666,0.0013881485714285716,0.0013881485714285716,0.021402939,8.8985e-05,0.000108485
25,10,4796.0,36,44.284199999999984,0.041322080847651405,1.0,0.632119899,0.01735903025,0.01735903025,0.030536948,0.017654765,0.027120096
26,10,740.0,40,42.071049999999985,0.0,1.0,0.066324673,0.00147821705,0.00147821705,0.015878377,8.9879e-05,0.00981598
27,10,55980.0,400,433.9652200000008,9.297664805503304,1.0,4.73322783,0.011632287337500007,0.011632287337500007,0.025257964,0.009762165,0.017629154
28,10,2978.0,38,45.04156999999998,0.026703153172661517,1.0,0.357139455,0.009197208315789475,0.009197208315789475,0.024938091,0.00987966,0.021363324
29,10,2382.0,39,43.97051999999998,0.041629632437246614,1.0,0.292566902,0.007302250871794871,0.007302250871794871,0.025924091,9.4719e-05,0.021771612
30,10,6065.0,45,52.041569999999986,0.2996875749220806,1.0,0.624790576,0.013677431422222226,0.013677431422222226,0.02386663,0.013491065,0.019002477
31,15,291310.0,2070,2266.749749999983,34.84213409948331,1.0,30.785851249,0.014659913966666676,0.014659913966666676,0.048224686,0.012708448,0.023295455
32,15,1317.0,57,60.727889999999974,0.0,1.0,0.180726222,0.002991773280701754,0.002991773280701754,0.034756305,9.1652e-05,0.015590501
33,15,25807.0,187,203.15418999999991,2.383557233651333,1.0,2.060873145,0.010813906433155083,0.010813906433155083,0.025030177,0.009280392,0.016164546
34,15,33984.0,244,260.9826099999999,3.2045752371071226,1.0,2.97407166,0.011988513274590164,0.011988513274590164,0.023075853,0.010572015,0.01740183
35,15,18202.0,142,155.66892999999993,1.496482736832313,1.0,1.673162677,0.011567547619718305,0.011567547619718305,0.029623846,0.010057789,0.019016527
36,15,14667.0,107,113.62735999999998,0.7898215807438884,1.0,1.281429195,0.011764148168224294,0.011764148168224294,0.025522323,0.010685664,0.01760462
37,15,9316.0,76,90.08313999999994,0.44535642485708105,1.0,1.123040446,0.014592618552631583,0.014592618552631583,0.034783333,0.015402425,0.022475169
38,15,4258.0,58,67.11261999999995,0.08349092928604676,1.0,0.533090527,0.00900028253448276,0.00900028253448276,0.03930362,0.009127372,0.025427921
39,15,7482.0,62,71.52682999999996,0.16904850630395568,1.0,0.882454984,0.01402836748387097,0.01402836748387097,0.03301979,0.012836842,0.024247242
40,15,1788.0,60,64.14209999999997,0.009217024905477043,1.0,0.1758681,0.0027496141833333334,0.0027496141833333334,0.018654901,8.6239e-05,0.013127888
41,20,9343.0,103,109.21314999999996,0.3407657895447588,1.0,0.705656032,0.006668893524271845,0.006668893524271845,0.025463678,0.008653441,0.012511979
42,20,13839.0,142,147.79893999999996,0.7887400547518132,1.0,1.039926133,0.007113351704225354,0.007113351704225354,0.027558713,0.008739295,0.012339633
43,20,11733.0,113,120.86998999999994,0.4689313757302419,1.0,1.139012666,0.009891257938053096,0.009891257938053096,0.024212104,0.01041151,0.018158318
44,20,22158.0,178,197.4678699999999,1.4251086871088479,1.0,1.863581161,0.010261068286516852,0.010261068286516852,0.03000554,0.009250097,0.017597792
45,20,53477.0,417,456.76416000000114,4.650182705224864,1.0,5.049847285,0.011891750136690648,0.011891750136690648,0.034387185,0.010596516,0.018913507
46,20,20875.0,155,179.0241799999999,1.1386056979573684,1.0,2.597088331,0.016561947258064515,0.016561947258064515,0.032988113,0.016546823,0.024706456
47,20,40083.0,323,348.68102000000044,3.27688309012118,1.0,3.693709326,0.011228605105263158,0.011228605105263158,0.030980562,0.010214181,0.019031084
48,20,84653.0,642,694.6046700000021,7.42396374785039,1.0,8.509994781,0.013029355901869173,0.013029355901869173,0.033016071,0.011541845,0.021683238
49,20,4437.0,71,83.01208999999992,0.010078506956357704,1.0,0.476633969,0.006518769352112676,0.006518769352112676,0.02537456,9.4896e-05,0.018665843
50,20,6368.0,68,83.3257699999999,0.028931699076839883,1.0,0.817292254,0.011817136485294116,0.011817136485294116,0.026261846,0.01496236,0.021940587
51,25,8381.0,121,128.86998999999994,0.25992325290367935,1.0,0.811359274,0.006514572785123969,0.006514572785123969,0.026920705,0.000101351,0.015134345
52,25,6695.0,115,116.65683999999999,0.15339661070574037,1.0,0.526090868,0.004377261295652174,0.004377261295652174,0.018249528,9.5407e-05,0.010840051
53,25,24537.0,177,192.7399799999999,0.9029657201532313,1.0,2.24109243,0.01245718458757063,0.01245718458757063,0.035655588,0.011210358,0.018139067
54,25,95601.0,681,738.1609800000023,6.355497782870831,1.0,10.11190826,0.014650942822320134,0.014650942822320134,0.030356627,0.013945075,0.021141573
55,25,72609.0,534,581.2199400000015,4.62897622391169,1.0,7.091678937,0.013076379288389513,0.013076379288389513,0.03532545,0.011563574,0.021099657
56,25,3315.0,95,102.86998999999994,0.011524218765363638,1.0,0.435627972,0.004406650010526315,0.004406650010526315,0.024473108,9.201e-05,0.018531584
57,25,20069.0,189,205.1541899999999,1.0172883439202334,1.0,1.670841288,0.008631999634920633,0.008631999634920633,0.027693129,0.009084867,0.016043696
58,25,79846.0,606,665.6462400000023,5.425280796926605,1.0,7.851717897,0.012757989828382837,0.012757989828382837,0.039043183,0.011558348,0.020704198
59,25,6269.0,109,115.62735999999995,0.15218334911065665,1.0,0.642607725,0.005711772550458715,0.005711772550458715,0.029119066,9.2877e-05,0.016625836
60,25,40476.0,296,318.36734000000047,2.089325402216318,1.0,3.806482002,0.012651173898648645,0.012651173898648645,0.032427639,0.010552434,0.020532869
61,30,17661.0,161,176.7399799999999,0.4620868284773571,1.0,1.722564531,0.010482692086956524,0.010482692086956524,0.038518552,0.009506325,0.019860886
62,30,11525.0,144,149.38472999999996,0.21409543082849727,1.0,0.847240654,0.005689305458333331,0.005689305458333331,0.018836574,0.008646547,0.011268432
63,30,15255.0,135,155.71049999999985,0.27173939676083486,1.0,1.780861527,0.01298316682962963,0.01298316682962963,0.042527497,0.01010144,0.027885789
64,30,15155.0,175,187.4262999999999,0.5591183981765693,1.0,1.406228324,0.007837058411428573,0.007837058411428573,0.03436834,0.009227329,0.018191846
65,30,94363.0,703,757.261510000002,5.232758915858021,1.0,11.478371887,0.016135606839260287,0.016135606839260287,0.048376338,0.014750045,0.026084187
66,30,99408.0,708,765.9894000000021,5.2867950853982,1.0,10.115520113,0.014083878281073464,0.014083878281073464,0.039678227,0.012914106,0.021195581
67,30,52314.0,374,396.78155000000027,2.2236909240106293,1.0,5.852965305,0.015439347489304811,0.015439347489304811,0.038874894,0.014790359,0.022707379
68,30,66015.0,495,539.7346800000017,3.3865889696201434,1.0,7.117189879,0.014186446579797979,0.014186446579797979,0.030205404,0.01353847,0.021780799
69,30,9803.0,143,154.18366999999992,0.26294135956685144,1.0,0.891465736,0.006042598069930071,0.006042598069930071,0.02211435,0.00010545,0.014738944
