Teste,Bucket,Estados expandidos,Episódios de busca,Custo da trajetória,% Sol. Ótima,Ações por Episódio de Busca,Tempo Total Busca,Tempo Médio Episódio de Busca,Tempo Médio Busca por Ação,Tempo máximo de planejamento,Fifty,Ninety
1,0,835.0,2,2.82842,0.0,1.0,0.053138829,0.026411568,0.026411568,0.030173394,0.030173394,0.030173394
2,0,962.0,2,2.82842,0.0,1.0,0.062650614,0.031165272,0.031165272,0.031765662,0.031765662,0.031765662
3,0,482.0,2,2.4142099999999997,0.0,1.0,0.072955627,0.0362635715,0.0362635715,0.072398235,0.072398235,0.072398235
4,0,481.0,1,1.41421,0.0,1.0,0.076320879,0.076101203,0.076101203,0.076101203,0.076101203,0.076101203
5,0,963.0,3,3.8284199999999995,0.0,1.0,0.139369981,0.046260563666666664,0.046260563666666664,0.071588288,0.0670679,0.071588288
6,0,963.0,3,3.8284199999999995,0.0,1.0,0.203805402,0.06774333666666667,0.06774333666666667,0.115004782,0.088095803,0.115004782
7,0,963.0,3,3.8284199999999995,0.0,1.0,0.072217336,0.023860718,0.023860718,0.038049742,0.033403944,0.038049742
8,0,481.0,1,1.41421,0.0,1.0,0.037721191,0.03747998,0.03747998,0.03747998,0.03747998,0.03747998
9,0,963.0,3,3.8284199999999995,0.0,1.0,0.126614636,0.04199856,0.04199856,0.063521216,0.062347527,0.063521216
10,0,3.0,3,3.0,0.0,1.0,0.000911261,0.000105736,0.000105736,0.000129044,9.9327e-05,0.000129044
11,5,4339.0,19,22.727890000000006,0.0,1.0,0.475189991,0.024836178842105264,0.024836178842105264,0.089507133,0.000100731,0.072816838
12,5,4338.0,18,21.727890000000006,0.0,1.0,0.502204499,0.027718775222222224,0.027718775222222224,0.104839507,0.033668787,0.080663894
13,5,6735.0,15,20.798940000000005,0.0,1.0,0.493949949,0.03275928126666667,0.03275928126666667,0.044717272,0.03385369,0.037398999
14,5,7698.0,18,23.798940000000005,0.02523305705374549,1.0,0.573777875,0.03169795927777778,0.03169795927777778,0.043664395,0.0350075,0.041599675
15,5,4819.0,19,23.142100000000006,3.07034683870565e-16,1.0,0.427028298,0.02229146173684211,0.02229146173684211,0.059495255,0.033334174,0.05387307
16,5,8179.0,19,24.384730000000005,0.05046826805438303,1.0,0.613474762,0.03210436694736842,0.03210436694736842,0.055297945,0.033454239,0.043074223
17,5,5299.0,19,22.727890000000006,0.026455936880422658,1.0,0.493293068,0.02578755415789474,0.02578755415789474,0.068047444,0.033467585,0.064830514
18,5,7219.0,19,22.727890000000002,0.08379779310081738,1.0,0.547189408,0.02864055752631579,0.02864055752631579,0.044006112,0.034824688,0.042212334
19,5,3860.0,20,23.313680000000005,0.0,1.0,0.392238413,0.019432657949999998,0.019432657949999998,0.079568598,9.8479e-05,0.070912625
20,5,5297.0,17,20.727890000000006,0.02908286623539782,1.0,0.71359823,0.041803678058823526,0.041803678058823526,0.08784927,0.049381476,0.087793934
21,10,9635.0,35,42.45577999999999,0.013988024867387212,1.0,1.017157022,0.02888036762857143,0.02888036762857143,0.076773313,0.037441612,0.061010361
22,10,19240.0,40,50.76945999999997,0.26343103439694526,1.0,2.199557844,0.05481333482499999,0.05481333482499999,0.140569589,0.048557348,0.084687346
23,10,12518.0,38,41.72788999999999,0.0288879902752467,1.0,1.169218178,0.030589309657894748,0.030589309657894748,0.072352375,0.03531825,0.061919285
24,10,857.0,40,40.828419999999994,4.89855100668589e-07,1.0,0.060536597,0.001378803575,0.001378803575,0.030903108,6.256e-05,0.000101334
25,10,9158.0,38,44.21314999999999,0.027219016021708977,1.0,0.731701906,0.01910705765789474,0.01910705765789474,0.052576472,0.030075009,0.045659201
26,10,9154.0,34,41.041569999999986,0.014479258845455591,1.0,0.932741215,0.027255723941176466,0.027255723941176466,0.084857469,0.033039352,0.060873378
27,10,17318.0,38,45.455779999999976,0.1149429967426705,1.0,1.732200921,0.04540387881578948,0.04540387881578948,0.087030125,0.039397183,0.078495908
28,10,4360.0,40,42.89946999999998,0.013843506949285513,1.0,0.308034059,0.00756656895,0.00756656895,0.0371985,6.1651e-05,0.033413407
29,10,15874.0,34,44.355249999999984,0.05577070470006293,1.0,1.613841875,0.04726227370588235,0.04726227370588235,0.105350601,0.042721807,0.071895371
30,10,6762.0,42,44.48525999999998,0.055601405720170166,1.0,0.493656554,0.011600104357142857,0.011600104357142857,0.038072515,9.6997e-05,0.034580132
31,15,17328.0,48,61.25471999999995,0.019496598888542205,1.0,1.634610365,0.03386885474999999,0.03386885474999999,0.072421236,0.039024382,0.058047692
32,15,6779.0,59,63.14209999999997,0.01890412550467437,1.0,0.474257373,0.007903330084745763,0.007903330084745763,0.036268346,6.3653e-05,0.033028837
33,15,7259.0,59,63.55630999999997,0.01877877303445662,1.0,0.543878583,0.009081486983050849,0.009081486983050849,0.045451124,6.2084e-05,0.034692422
34,15,22131.0,51,64.25471999999995,0.0681650355834903,1.0,2.066441093,0.040290488921568626,0.040290488921568626,0.076126797,0.03643633,0.064709124
35,15,17343.0,63,72.11261999999995,0.13083067794058537,1.0,1.559300118,0.02458673782539682,0.02458673782539682,0.083131179,0.03356729,0.053427662
36,15,4856.0,56,60.14209999999997,0.0,1.0,0.79109614,0.013948632982142856,0.013948632982142856,0.103806857,8.9939e-05,0.074178043
