Teste,Bucket,Estados expandidos,Episódios de busca,Custo da trajetória,% Sol. Ótima,Ações por Episódio de Busca,Tempo Total Busca,Tempo Médio Episódio de Busca,Tempo Médio Busca por Ação,Tempo máximo de planejamento,Fifty,Ninety
1,0,4.0,1,3.8284199999999995,0.0,3.0,0.000965722,0.000390528,0.00013564233333333335,0.000390528,0.000390528,0.000390528
2,0,2.0,1,2.82842,0.0,2.0,0.000646658,0.000243411,0.000126313,0.000243411,0.000243411,0.000243411
3,0,6.0,1,3.4142099999999997,0.0,3.0,0.001209581,0.000571047,0.00019586133333333332,0.000571047,0.000571047,0.000571047
4,0,4.0,1,3.8284199999999995,0.0,3.0,0.000986625,0.00040806,0.00014133,0.00040806,0.00040806,0.00040806
5,0,2.0,1,2.0,0.0,2.0,0.000578366,0.000194039,0.00010154599999999999,0.000194039,0.000194039,0.000194039
6,0,3.0,1,3.0,0.0,3.0,0.000900442,0.000321894,0.00011275633333333332,0.000321894,0.000321894,0.000321894
7,0,1.0,1,1.41421,0.0,1.0,0.000304461,0.000101481,0.000101481,0.000101481,0.000101481,0.000101481
8,0,2.0,1,2.0,0.0,2.0,0.000567647,0.000192253,0.000100631,0.000192253,0.000192253,0.000192253
9,0,2.0,1,2.0,0.0,2.0,0.000660593,0.000242927,0.0001259275,0.000242927,0.000242927,0.000242927
10,0,4.0,1,3.8284199999999995,0.0,3.0,0.00099179,0.000396025,0.00013747233333333332,0.000396025,0.000396025,0.000396025
11,5,176.0,1,23.727890000000002,0.0,20.0,0.016807658,0.012762489,0.0006556728,0.012762489,0.012762489,0.012762489
12,5,171.0,1,22.727890000000002,0.0,19.0,0.016764278,0.013034949,0.0007030313157894735,0.013034949,0.013034949,0.013034949
13,5,136.0,1,21.242630000000002,1.4122565035549784e-06,20.0,0.015328571,0.011085982,0.0005720545999999999,0.011085982,0.011085982,0.011085982
14,5,23.0,1,23.0,0.0,23.0,0.006882252,0.001845948,9.968504347826087e-05,0.001845948,0.001845948,0.001845948
