Teste,Bucket,Estados expandidos,Episódios de busca,Custo da trajetória,% Sol. Ótima,Ações por Episódio de Busca,Tempo Total Busca,Tempo Médio Episódio de Busca,Tempo Médio Busca por Ação,Tempo máximo de planejamento,Fifty,Ninety
1,0,2.0,1,2.82842,0.0,2.0,0.000526454,0.000217015,0.000113046,0.000217015,0.000217015,0.000217015
2,0,2.0,1,2.82842,0.0,2.0,0.000542737,0.000244098,0.000126628,0.000244098,0.000244098,0.000244098
3,0,3.0,1,2.4142099999999997,0.0,2.0,0.000737025,0.000330721,0.0001697535,0.000330721,0.000330721,0.000330721
4,0,1.0,1,1.41421,0.0,1.0,0.00033924,0.000122974,0.000122974,0.000122974,0.000122974,0.000122974
5,0,4.0,1,3.8284199999999995,0.0,3.0,0.000969854,0.000401797,0.00013935633333333333,0.000401797,0.000401797,0.000401797
6,0,4.0,1,3.8284199999999995,0.0,3.0,0.00097917,0.000421372,0.0001458243333333333,0.000421372,0.000421372,0.000421372
7,0,4.0,1,3.8284199999999995,0.0,3.0,0.001006375,0.000409345,0.00014179433333333334,0.000409345,0.000409345,0.000409345
8,0,1.0,1,1.41421,0.0,1.0,0.000311442,9.9801e-05,9.9801e-05,9.9801e-05,9.9801e-05,9.9801e-05
9,0,4.0,1,3.8284199999999995,0.0,3.0,0.001014419,0.000406803,0.00014094166666666667,0.000406803,0.000406803,0.000406803
10,0,3.0,1,3.0,0.0,3.0,0.000868971,0.000314591,0.00011017333333333335,0.000314591,0.000314591,0.000314591
11,5,289.0,1,22.727890000000002,0.0,19.0,0.029899106,0.026190477,0.0013966418947368418,0.026190477,0.026190477,0.026190477
12,5,267.0,1,21.727890000000002,0.0,18.0,0.02787288,0.024443348,0.0013752400555555556,0.024443348,0.024443348,0.024443348
13,5,150.0,1,20.798940000000005,0.0,15.0,0.017853884,0.015250902,0.0010324929999999998,0.015250902,0.015250902,0.015250902
14,5,207.0,1,23.213150000000006,0.0,17.0,0.022493365,0.0195646,0.001167555705882353,0.0195646,0.0195646,0.0195646
15,5,306.0,1,23.142100000000003,1.535173419352825e-16,19.0,0.031525604,0.027772292,0.0014789128421052629,0.027772292,0.027772292,0.027772292
16,5,212.0,1,23.213150000000006,0.0,17.0,0.023541241,0.020383082,0.001214538411764706,0.020383082,0.020383082,0.020383082
17,5,276.0,1,22.142100000000003,1.6045062025736046e-16,18.0,0.029340457,0.02572868,0.0014454217222222225,0.02572868,0.02572868,0.02572868
18,5,189.0,1,20.970520000000004,0.0,16.0,0.021405347,0.018476111,0.0011707884374999999,0.018476111,0.018476111,0.018476111
19,5,299.0,1,23.31368,0.0,20.0,0.031259772,0.027261968,0.0013825643000000003,0.027261968,0.027261968,0.027261968
20,5,208.0,1,20.142100000000003,1.763824863743354e-16,16.0,0.022967551,0.020170602,0.0012752906874999993,0.020170602,0.020170602,0.020170602
21,10,1010.0,2,41.86998999999999,0.0,17.0,0.091754883,0.042524074,0.0025292440588235298,0.056109666,0.056109666,0.056109666
22,10,627.0,1,40.18366999999999,0.0,29.0,0.059254614,0.053409118,0.0018659837931034482,0.053409118,0.053409118,0.053409118
23,10,731.0,2,40.55630999999998,2.4657081592398357e-07,18.0,0.069479378,0.031057416,0.0017547254444444443,0.056110486,0.056110486,0.056110486
24,10,80.0,1,40.828419999999994,4.89855100668589e-07,40.0,0.015720091,0.009063888,0.00025980775,0.009063888,0.009063888,0.009063888
25,10,703.0,2,43.04156999999998,0.0,18.0,0.065783141,0.0296257435,0.0016754601944444442,0.055704652,0.055704652,0.055704652
26,10,920.0,2,43.284199999999984,0.06991333751897084,17.5,0.084201774,0.0386665095,0.0022369257714285715,0.055813056,0.055813056,0.055813056
27,10,661.0,2,42.76945999999999,0.049052725560221125,16.0,0.062996482,0.028388466,0.0018004094374999995,0.056628048,0.056628048,0.056628048
28,10,457.0,1,42.31367999999998,0.0,39.0,0.045369514,0.038894534,0.0010296121794871797,0.038894534,0.038894534,0.038894534
29,10,702.0,2,44.84050999999998,0.06732115909188237,16.0,0.067877879,0.030817399500000002,0.0019523962812500004,0.058092071,0.058092071,0.058092071
30,10,586.0,1,42.14209999999998,0.0,38.0,0.055396861,0.049049352,0.001322613263157894,0.049049352,0.049049352,0.049049352
31,15,2012.0,4,60.08313999999995,0.0,11.5,0.188038337,0.044529854,0.0039034412826086965,0.061303184,0.058161552,0.061303184
32,15,1029.0,2,61.970519999999965,0.0,28.5,0.096147815,0.0431643155,0.0015585595087719297,0.055592099,0.055592099,0.055592099
33,15,1155.0,2,62.38472999999996,0.0,28.5,0.105732729,0.0478998755,0.0017246173859649118,0.05526561,0.05526561,0.05526561
34,15,1689.0,3,60.15418999999995,0.0,14.666666666666666,0.164562867,0.04969275666666667,0.0035571877954545454,0.059929089,0.057700881,0.059929089
35,15,1890.0,3,63.76945999999994,0.0,17.666666666666668,0.172333717,0.053925535999999996,0.0030912917358490552,0.058850477,0.055484905,0.058850477
36,15,1524.0,3,62.14209999999997,0.03325457541389429,19.333333333333332,0.143683446,0.04369694700000001,0.0023031395344827593,0.057285223,0.057155693,0.057285223
37,15,2303.0,4,61.18366999999994,0.0,12.5,0.210238657,0.04999161625,0.0040333318,0.060603833,0.05748109,0.060603833
38,15,1519.0,3,69.11261999999999,0.08914583064117053,20.0,0.144050577,0.04332415466666667,0.0022092630166666693,0.058422678,0.054595206,0.058422678
39,15,1658.0,3,61.52682999999994,0.0,17.333333333333332,0.152743313,0.047583097666666664,0.0027833714999999986,0.058933288,0.055691816,0.058933288
40,15,1920.0,3,64.08313999999994,0.032212205214605896,16.666666666666668,0.181691036,0.057206851333333336,0.003467467179999999,0.059011883,0.056895363,0.059011883
41,20,3934.0,6,84.76945999999994,0.03451698842217071,12.333333333333334,0.365164864,0.0581341255,0.004761543540540543,0.061217679,0.059242229,0.061217679
42,20,2875.0,5,86.01208999999992,0.04877189003587159,14.8,0.266394616,0.0496766166,0.0034080700675675683,0.060597557,0.055130566,0.060597557
43,20,3378.0,6,88.6099699999999,0.05762917200295415,10.833333333333334,0.313569875,0.05000440566666666,0.004659703369230768,0.061970238,0.058934997,0.061970238
44,20,1554.0,3,83.89946999999998,0.0,27.0,0.153926571,0.044519840000000005,0.0017080891481481486,0.058340276,0.057622604,0.058340276
45,20,3505.0,6,86.73997999999992,0.048342702027190196,11.833333333333334,0.322778601,0.05110459183333333,0.004366589802816904,0.060839407,0.057933859,0.060839407
46,20,1887.0,3,85.45577999999996,0.034230533697054095,26.0,0.180984005,0.055389688,0.002184128423076922,0.057445228,0.055088009,0.057445228
47,20,2579.0,4,80.52682999999993,0.0,17.75,0.236044272,0.05560991875,0.00318332671830986,0.060431745,0.056276251,0.060431745
48,20,536.0,1,80.07104999999999,0.0,78.0,0.059911284,0.045097127,0.0006422462051282053,0.045097127,0.045097127,0.045097127
49,20,2194.0,4,81.6689299999999,0.0,17.0,0.206172562,0.04769592525,0.002854373220588235,0.060473992,0.05708513,0.060473992
50,20,3212.0,5,83.0831399999999,0.0,13.8,0.293607739,0.05601598259999999,0.004107736304347826,0.061232864,0.054970797,0.061232864
51,25,3357.0,6,106.6689299999999,0.03895947170031759,15.5,0.308583892,0.0482104915,0.0031764198172042997,0.059291422,0.057677614,0.059291422
