Teste,Bucket,Estados expandidos,Episódios de busca,Custo da trajetória,% Sol. Ótima,Ações por Episódio de Busca,Tempo Total Busca,Tempo Médio Episódio de Busca,Tempo Médio Busca por Ação,Tempo máximo de planejamento,Fifty,Ninety
1,0,4.0,1,3.8284199999999995,0.0,3.0,0.000999076,0.000410879,0.00014254566666666667,0.000410879,0.000410879,0.000410879
2,0,2.0,1,2.0,0.0,2.0,0.000625231,0.000239679,0.00012441699999999998,0.000239679,0.000239679,0.000239679
3,0,2.0,1,2.0,0.0,2.0,0.000667261,0.000238786,0.000123949,0.000238786,0.000238786,0.000238786
4,0,3.0,1,2.4142099999999997,0.0,2.0,0.000709327,0.000320441,0.000164619,0.000320441,0.000320441,0.000320441
5,0,5.0,1,3.4142099999999997,0.0,3.0,0.000999419,0.000425077,0.000147053,0.000425077,0.000425077,0.000425077
6,0,3.0,1,2.4142099999999997,0.0,2.0,0.000734941,0.000321974,0.0001655985,0.000321974,0.000321974,0.000321974
7,0,6.0,1,3.4142099999999997,0.0,3.0,0.001135297,0.000574975,0.000197094,0.000574975,0.000574975,0.000574975
8,0,2.0,1,2.82842,0.0,2.0,0.000621438,0.000242133,0.000125524,0.000242133,0.000242133,0.000242133
9,0,1.0,1,1.41421,0.0,1.0,0.000319584,0.000118596,0.000118596,0.000118596,0.000118596,0.000118596
10,0,2.0,1,2.0,0.0,2.0,0.000591076,0.000213098,0.000111174,0.000213098,0.000213098,0.000213098
11,5,147.0,1,23.24263,1.290733394666013e-06,22.0,0.016389401,0.011792319,0.0005553000000000001,0.011792319,0.011792319,0.011792319
12,5,253.0,1,23.485260000000004,0.0,21.0,0.024748735,0.020228574,0.0009821020476190475,0.020228574,0.020228574,0.020228574
13,5,205.0,1,21.485260000000004,0.0,19.0,0.021764155,0.017895048,0.0009616232631578947,0.017895048,0.017895048,0.017895048
14,5,127.0,1,22.24263,1.3487631841090641e-06,21.0,0.014226771,0.010206589,0.0005050092857142857,0.010206589,0.010206589,0.010206589
15,5,270.0,1,23.31368,0.0,20.0,0.024627195,0.020700322,0.0010533628999999998,0.020700322,0.020700322,0.020700322
16,5,114.0,1,23.07105,0.0,21.0,0.013149661,0.008963039,0.0004461643809523809,0.008963039,0.008963039,0.008963039
17,5,99.0,1,21.07105,0.0,19.0,0.011015165,0.007365912,0.0004053641052631578,0.007365912,0.007365912,0.007365912
18,5,162.0,1,20.727890000000002,0.0,17.0,0.016065465,0.012500787,0.0007516716470588235,0.012500787,0.012500787,0.012500787
19,5,259.0,1,22.31368,0.0,19.0,0.024505399,0.020369998,0.001089879842105263,0.020369998,0.020369998,0.020369998
20,5,212.0,1,20.970520000000004,0.0,16.0,0.020491935,0.017175743,0.0010898844375,0.017175743,0.017175743,0.017175743
21,10,731.0,1,43.86999,0.0,36.0,0.068338526,0.060375191,0.0017077885277777783,0.060375191,0.060375191,0.060375191
22,10,792.0,1,42.97051999999998,0.0,38.0,0.073382737,0.064736652,0.0017346759210526328,0.064736652,0.064736652,0.064736652
23,10,684.0,1,42.48526,0.0,40.0,0.065025644,0.056294452,0.001439779325,0.056294452,0.056294452,0.056294452
24,10,374.0,1,43.89946999999999,0.0,41.0,0.039291212,0.030105322,0.0007672381219512195,0.030105322,0.030105322,0.030105322
25,10,830.0,1,40.45577999999999,0.0,33.0,0.076145832,0.069401462,0.002132509181818182,0.069401462,0.069401462,0.069401462
26,10,674.0,1,43.69840999999998,0.0,35.0,0.063801993,0.056791341,0.0016520465714285712,0.056791341,0.056791341,0.056791341
27,10,824.0,1,42.45577999999998,0.0,35.0,0.074334906,0.067063825,0.0019452656857142858,0.067063825,0.067063825,0.067063825
28,10,371.0,1,42.48525999999999,0.0,40.0,0.037811893,0.029474525,0.0007700477500000001,0.029474525,0.029474525,0.029474525
29,10,152.0,1,42.24262999999999,7.101835584979647e-07,41.0,0.022051894,0.012654433,0.0003425147073170731,0.012654433,0.012654433,0.012654433
30,10,762.0,1,42.38472999999998,0.0,37.0,0.07063833,0.06241113,0.0017169686216216209,0.06241113,0.06241113,0.06241113
31,15,667.0,1,60.142099999999985,0.0,56.0,0.066106909,0.053250423,0.000994433607142857,0.053250423,0.053250423,0.053250423
32,15,1597.0,2,65.59787999999998,0.03144564294474631,27.0,0.147331194,0.0673374085,0.0025327020370370383,0.072134429,0.072134429,0.072134429
